# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.35271295886685
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.995361
# Detector.I1.voltage: -1650.001465
# Detector.I2.voltage: -1650.001221
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371049
# Scan.uid: f4eac43c-b79e-4e71-89c4-632303c06b18
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  05:31:27.515820
# Scan.end_time: 06/23/2023  05:32:01.815087
# Scan.name: CuGaO2-4th PP+O2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.5239896225
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 274.10036746660865
# SampleHeater.temperature2.readback: 273.6
# SampleHeater.voltage.setpoint: 0.6639905648372343
# SampleHeater.voltage.readback: 0.662
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.76
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.03662109375
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.09765625
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.10986328125
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.03662109375
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.467670e-05 -3.172857e-07 -2.103137e-07 -3.184604e-07 5.338761e-05 -2.246867e-04 -3.028345e-05 2.161669e-05
 8784.000000 -3.472085e-05 -3.150383e-07 -2.088636e-07 -3.197764e-07 5.433678e-05 -2.507202e-04 -2.861710e-05 2.708702e-05
 8789.000000 -3.465855e-05 -3.136096e-07 -2.080034e-07 -3.202612e-07 5.905498e-05 -2.460544e-04 -2.877909e-05 2.847354e-05
 8794.000000 -3.452351e-05 -3.126154e-07 -2.075737e-07 -3.198196e-07 5.792627e-05 -2.617699e-04 -1.971520e-05 2.809664e-05
 8799.000000 -3.405848e-05 -3.113783e-07 -2.070882e-07 -3.163398e-07 5.371428e-05 -2.836508e-04 -2.922470e-05 2.184302e-05
 8804.000000 -3.442582e-05 -3.124419e-07 -2.076708e-07 -3.201281e-07 5.733513e-05 -2.934187e-04 -2.185956e-05 1.515814e-05
 8809.000000 -3.439461e-05 -3.117183e-07 -2.072195e-07 -3.205303e-07 5.888045e-05 -2.786815e-04 -2.494453e-05 1.099548e-05
 8814.000000 -3.422206e-05 -3.119360e-07 -2.075047e-07 -3.194359e-07 6.318565e-05 -2.670818e-04 -2.621637e-05 1.506288e-05
 8819.000000 -3.411704e-05 -3.174374e-07 -2.115687e-07 -3.190235e-07 6.013555e-05 -2.818536e-04 -1.650764e-05 2.245614e-05
 8824.000000 -3.409104e-05 -3.185689e-07 -2.127651e-07 -3.195064e-07 5.298267e-05 -2.800806e-04 -2.684285e-05 2.747511e-05
 8829.000000 -3.406719e-05 -3.184745e-07 -2.126934e-07 -3.201797e-07 4.965593e-05 -2.471976e-04 -2.293036e-05 3.056246e-05
 8834.000000 -3.400024e-05 -3.188202e-07 -2.131314e-07 -3.203715e-07 5.665585e-05 -2.443527e-04 -2.800027e-05 3.811920e-05
 8839.000000 -3.389379e-05 -3.182691e-07 -2.127856e-07 -3.205904e-07 6.352592e-05 -2.645287e-04 -2.468821e-05 3.568312e-05
 8844.000000 -3.382208e-05 -3.182776e-07 -2.127179e-07 -3.213380e-07 5.542614e-05 -2.936949e-04 -2.051736e-05 2.791731e-05
 8849.000000 -3.369163e-05 -3.191826e-07 -2.135397e-07 -3.210587e-07 5.628523e-05 -2.838175e-04 -2.641975e-05 1.788848e-05
 8854.000000 -3.357715e-05 -3.198398e-07 -2.142732e-07 -3.207607e-07 5.715581e-05 -2.984082e-04 -1.306850e-05 2.294745e-05
 8859.000000 -3.349621e-05 -3.206624e-07 -2.149012e-07 -3.209924e-07 5.871340e-05 -3.292372e-04 -2.345009e-05 1.717079e-05
 8864.000000 -3.333395e-05 -3.236383e-07 -2.169127e-07 -3.205903e-07 6.257068e-05 -3.127755e-04 -2.792093e-05 1.228341e-05
 8869.000000 -3.316510e-05 -3.258174e-07 -2.186497e-07 -3.199256e-07 7.102811e-05 -2.965726e-04 -2.652685e-05 9.492828e-06
 8874.000000 -3.313407e-05 -3.243931e-07 -2.178783e-07 -3.205231e-07 6.748655e-05 -2.977958e-04 -2.473621e-05 1.629496e-05
 8879.000000 -3.303765e-05 -3.251258e-07 -2.186734e-07 -3.206525e-07 5.870558e-05 -2.950081e-04 -2.510176e-05 2.184222e-05
 8884.000000 -3.283570e-05 -3.237086e-07 -2.177673e-07 -3.200324e-07 5.791907e-05 -2.733130e-04 -3.097592e-05 1.386222e-05
 8889.000000 -3.255812e-05 -3.246641e-07 -2.185299e-07 -3.188630e-07 6.509030e-05 -2.663085e-04 -3.707067e-05 1.823961e-05
 8894.000000 -3.270921e-05 -3.291395e-07 -2.214442e-07 -3.204982e-07 6.374210e-05 -2.484389e-04 -2.357192e-05 2.768618e-05
 8899.000000 -3.263976e-05 -3.291160e-07 -2.213726e-07 -3.204568e-07 6.348219e-05 -2.203960e-04 -2.764425e-05 1.827658e-05
 8904.000000 -3.250539e-05 -3.309690e-07 -2.227158e-07 -3.197010e-07 7.716253e-05 -2.316463e-04 -3.696179e-05 1.484899e-05
 8909.000000 -3.235382e-05 -3.324635e-07 -2.241336e-07 -3.186013e-07 7.889329e-05 -2.363732e-04 -2.804173e-05 2.170764e-05
 8914.000000 -3.210047e-05 -3.317247e-07 -2.238093e-07 -3.166794e-07 7.893064e-05 -2.339356e-04 -2.593075e-05 1.747075e-05
 8919.000000 -3.202406e-05 -3.330246e-07 -2.248209e-07 -3.168613e-07 7.328300e-05 -2.168568e-04 -2.317780e-05 1.713586e-05
 8924.000000 -3.185642e-05 -3.342010e-07 -2.255367e-07 -3.164793e-07 5.979020e-05 -2.248860e-04 -2.227246e-05 9.599844e-06
 8929.000000 -3.187185e-05 -3.375219e-07 -2.278200e-07 -3.179744e-07 5.861206e-05 -2.224772e-04 -2.330097e-05 1.109424e-05
 8934.000000 -3.173644e-05 -3.418247e-07 -2.308576e-07 -3.179001e-07 5.329040e-05 -2.337951e-04 -1.900734e-05 9.788784e-06
 8939.000000 -3.156644e-05 -3.443643e-07 -2.326044e-07 -3.173319e-07 5.415385e-05 -2.460699e-04 -2.884276e-05 1.294006e-05
 8944.000000 -3.146122e-05 -3.439623e-07 -2.321446e-07 -3.173638e-07 5.263555e-05 -2.387048e-04 -2.915038e-05 1.430139e-05
 8949.000000 -3.138278e-05 -3.427850e-07 -2.310400e-07 -3.177744e-07 4.393908e-05 -2.409869e-04 -2.562411e-05 6.800876e-06
 8953.000000 -3.122537e-05 -3.452501e-07 -2.325144e-07 -3.172071e-07 3.979772e-05 -2.504555e-04 -2.416652e-05 1.565240e-05
 8956.000000 -3.122021e-05 -3.429686e-07 -2.306078e-07 -3.179848e-07 4.748414e-05 -2.574618e-04 -3.449025e-05 1.467623e-05
 8958.000000 -3.114796e-05 -3.437122e-07 -2.310307e-07 -3.176794e-07 5.458056e-05 -2.605965e-04 -3.835166e-05 1.213508e-05
 8959.000000 -3.102590e-05 -3.464319e-07 -2.329345e-07 -3.167298e-07 5.300818e-05 -2.491659e-04 -3.679406e-05 1.395782e-06
 8959.200000 -3.106139e-05 -3.452522e-07 -2.319371e-07 -3.170683e-07 6.397145e-05 -2.362255e-04 -3.375778e-05 7.555990e-08
 8959.400000 -3.105988e-05 -3.436809e-07 -2.306956e-07 -3.169376e-07 6.726471e-05 -2.213268e-04 -2.714672e-05 1.232979e-06
