# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.497036447966
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.002808
# Detector.I1.voltage: -1649.999756
# Detector.I2.voltage: -1649.998779
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371061
# Scan.uid: 73afa9c6-0b18-44a0-9159-f7d34a0d331e
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  05:43:23.099104
# Scan.end_time: 06/23/2023  05:43:57.752254
# Scan.name: CuGaO2-4th PP+O2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.524046843
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 300.0
# SampleHeater.temperature2.readback: 300.40000000000003
# SampleHeater.voltage.setpoint: 0.6794342994069243
# SampleHeater.voltage.readback: 0.675
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 11.1
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.048828125
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.09765625
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.10986328125
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0406901054084301
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.447790e-05 -3.124731e-07 -2.070789e-07 -3.172590e-07 9.386371e-06 -2.808944e-04 -4.396440e-05 1.820288e-05
 8784.000000 -3.457912e-05 -3.085661e-07 -2.045744e-07 -3.192547e-07 1.176876e-05 -2.827252e-04 -5.136149e-05 1.852053e-05
 8789.000000 -3.451577e-05 -3.061531e-07 -2.030030e-07 -3.196794e-07 5.838632e-06 -2.975519e-04 -3.743527e-05 1.744854e-05
 8794.000000 -3.431168e-05 -3.044361e-07 -2.019373e-07 -3.185165e-07 1.295016e-06 -2.911950e-04 -5.470120e-05 1.691937e-05
 8799.000000 -3.390123e-05 -3.019752e-07 -2.006395e-07 -3.153976e-07 8.557077e-06 -2.894412e-04 -5.040951e-05 2.516847e-05
 8804.000000 -3.414833e-05 -3.062308e-07 -2.036162e-07 -3.180762e-07 8.482894e-06 -2.826353e-04 -4.630581e-05 3.355468e-05
 8809.000000 -3.389072e-05 -3.109993e-07 -2.070751e-07 -3.163552e-07 3.745965e-06 -2.907950e-04 -6.125520e-05 2.228563e-05
 8814.000000 -3.387891e-05 -3.080808e-07 -2.052875e-07 -3.167476e-07 9.602128e-06 -2.781688e-04 -6.018649e-05 1.929352e-05
 8819.000000 -3.376343e-05 -3.136826e-07 -2.089481e-07 -3.161835e-07 7.787363e-06 -2.750892e-04 -5.402396e-05 1.523789e-05
 8824.000000 -3.390258e-05 -3.114340e-07 -2.076089e-07 -3.182382e-07 1.045840e-05 -2.528179e-04 -5.954845e-05 1.861247e-05
 8829.000000 -3.391434e-05 -3.099152e-07 -2.066432e-07 -3.195584e-07 8.039021e-06 -2.786261e-04 -5.706487e-05 2.060077e-05
 8834.000000 -3.385246e-05 -3.096679e-07 -2.067193e-07 -3.201300e-07 1.043434e-05 -2.873723e-04 -5.802818e-05 3.034364e-05
 8839.000000 -3.376851e-05 -3.101543e-07 -2.072508e-07 -3.204490e-07 1.281209e-05 -2.962113e-04 -6.271373e-05 3.188549e-05
 8844.000000 -3.362886e-05 -3.106082e-07 -2.079493e-07 -3.205259e-07 4.292865e-06 -2.879804e-04 -7.253611e-05 1.930511e-05
 8849.000000 -3.354506e-05 -3.111229e-07 -2.081859e-07 -3.208620e-07 8.311499e-06 -3.087034e-04 -7.712099e-05 1.339001e-05
 8854.000000 -3.344541e-05 -3.118570e-07 -2.088087e-07 -3.210023e-07 1.159544e-05 -3.073199e-04 -7.233547e-05 2.322769e-05
 8859.000000 -3.334308e-05 -3.128161e-07 -2.095234e-07 -3.211599e-07 2.866619e-07 -2.927999e-04 -6.263380e-05 3.348455e-05
 8864.000000 -3.325418e-05 -3.140844e-07 -2.105787e-07 -3.214431e-07 1.456818e-06 -2.893863e-04 -6.718762e-05 2.174624e-05
 8869.000000 -3.313065e-05 -3.157065e-07 -2.117061e-07 -3.212528e-07 3.427447e-06 -2.991066e-04 -6.228645e-05 1.579067e-05
 8874.000000 -3.303127e-05 -3.180018e-07 -2.135573e-07 -3.209930e-07 1.231989e-05 -2.939591e-04 -5.969669e-05 8.811574e-06
 8879.000000 -3.293224e-05 -3.187509e-07 -2.143411e-07 -3.208908e-07 1.292504e-05 -2.872437e-04 -4.979510e-05 8.472121e-06
 8884.000000 -3.270304e-05 -3.183729e-07 -2.138639e-07 -3.198270e-07 1.388308e-05 -2.904504e-04 -4.919204e-05 8.394350e-06
 8889.000000 -3.241071e-05 -3.202131e-07 -2.151813e-07 -3.184629e-07 1.284802e-05 -3.033038e-04 -4.663336e-05 1.601612e-05
 8894.000000 -3.261682e-05 -3.223512e-07 -2.168980e-07 -3.207615e-07 1.090246e-05 -3.005793e-04 -4.557612e-05 2.098357e-05
 8899.000000 -3.244257e-05 -3.256646e-07 -2.194063e-07 -3.197871e-07 8.531454e-06 -3.078801e-04 -5.425435e-05 2.184735e-05
 8904.000000 -3.225515e-05 -3.286234e-07 -2.213763e-07 -3.185982e-07 3.592234e-06 -2.829938e-04 -5.064473e-05 2.184780e-05
 8909.000000 -3.223262e-05 -3.272736e-07 -2.206188e-07 -3.188437e-07 3.913311e-06 -2.493493e-04 -5.471642e-05 1.751562e-05
 8914.000000 -3.189323e-05 -3.297644e-07 -2.222751e-07 -3.158870e-07 -2.295533e-06 -2.585771e-04 -5.477093e-05 1.502923e-05
 8919.000000 -3.189767e-05 -3.295269e-07 -2.222955e-07 -3.169272e-07 -2.249945e-06 -2.484364e-04 -4.893009e-05 2.276717e-05
 8924.000000 -3.176371e-05 -3.292790e-07 -2.223772e-07 -3.164998e-07 2.691004e-08 -2.774793e-04 -4.025905e-05 1.229187e-05
 8929.000000 -3.178770e-05 -3.317223e-07 -2.240310e-07 -3.181990e-07 7.576938e-06 -2.633199e-04 -3.991328e-05 1.962122e-05
 8934.000000 -3.166827e-05 -3.347674e-07 -2.258399e-07 -3.185609e-07 7.903468e-06 -2.812009e-04 -4.288612e-05 2.239648e-05
 8939.000000 -3.148289e-05 -3.377288e-07 -2.279643e-07 -3.179970e-07 1.865193e-05 -2.601185e-04 -4.483229e-05 2.432817e-05
 8944.000000 -3.132977e-05 -3.398819e-07 -2.292364e-07 -3.175970e-07 1.187470e-05 -2.523315e-04 -5.268207e-05 2.825245e-05
 8949.000000 -3.128325e-05 -3.369992e-07 -2.271715e-07 -3.185750e-07 1.577138e-05 -2.852902e-04 -5.661035e-05 3.091254e-05
 8953.000000 -3.117070e-05 -3.397813e-07 -2.288367e-07 -3.183920e-07 1.406955e-05 -2.730354e-04 -5.883028e-05 2.462752e-05
 8956.000000 -3.114010e-05 -3.398513e-07 -2.285838e-07 -3.189018e-07 1.337193e-05 -2.523196e-04 -5.362532e-05 2.652127e-05
 8958.000000 -3.112260e-05 -3.399474e-07 -2.284325e-07 -3.191958e-07 1.947423e-05 -2.578362e-04 -5.177099e-05 2.859172e-05
 8959.000000 -3.111106e-05 -3.396010e-07 -2.280736e-07 -3.195501e-07 1.479049e-05 -2.447925e-04 -4.166161e-05 2.097005e-05
 8959.200000 -3.111055e-05 -3.386184e-07 -2.272639e-07 -3.197823e-07 1.125377e-05 -2.358646e-04 -4.751407e-05 2.450999e-05
 8959.400000 -3.111595e-05 -3.389874e-07 -2.275278e-07 -3.200062e-07 1.396875e-05 -2.465128e-04 -5.340028e-05 2.304297e-05
