# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.0630516234454
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.002563
# Detector.I1.voltage: -1650.001343
# Detector.I2.voltage: -1650.00061
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371073
# Scan.uid: a6274329-6620-46f8-8105-89cba9a050f0
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  05:55:25.538491
# Scan.end_time: 06/23/2023  05:55:59.824738
# Scan.name: CuGaO2-4th PP+O2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.524008696
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 333.9269686142604
# SampleHeater.temperature2.readback: 334.8
# SampleHeater.voltage.setpoint: 0.747571918735105
# SampleHeater.voltage.readback: 0.755
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.82
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.048828125
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.10986328125
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0406901054084301
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.422018e-05 -3.078717e-07 -2.041206e-07 -3.166270e-07 4.641456e-05 -2.827236e-04 -3.655694e-05 2.710862e-05
 8784.000000 -3.436252e-05 -3.056554e-07 -2.026635e-07 -3.186453e-07 4.949406e-05 -2.731032e-04 -3.029460e-05 2.095309e-05
 8789.000000 -3.432511e-05 -3.026649e-07 -2.008736e-07 -3.191597e-07 4.555210e-05 -2.695294e-04 -2.934352e-05 2.855844e-05
 8794.000000 -3.415822e-05 -2.999573e-07 -1.991066e-07 -3.182350e-07 4.338506e-05 -2.683818e-04 -3.576255e-05 3.297884e-05
 8799.000000 -3.375753e-05 -2.967450e-07 -1.972214e-07 -3.154567e-07 4.510581e-05 -2.784495e-04 -3.985152e-05 3.824241e-05
 8804.000000 -3.405294e-05 -3.004567e-07 -1.996528e-07 -3.185100e-07 5.317315e-05 -3.099730e-04 -4.117391e-05 3.037083e-05
 8809.000000 -3.395635e-05 -3.027877e-07 -2.015054e-07 -3.180976e-07 4.667663e-05 -3.060697e-04 -3.880046e-05 3.084064e-05
 8814.000000 -3.380778e-05 -3.020920e-07 -2.012041e-07 -3.171443e-07 5.657981e-05 -2.819970e-04 -4.579935e-05 2.755072e-05
 8819.000000 -3.373473e-05 -3.061679e-07 -2.039294e-07 -3.170112e-07 4.747464e-05 -2.708868e-04 -3.563937e-05 3.008787e-05
 8824.000000 -3.371132e-05 -3.058674e-07 -2.038125e-07 -3.176478e-07 4.530123e-05 -2.513130e-04 -3.795985e-05 2.933716e-05
 8829.000000 -3.367904e-05 -3.048988e-07 -2.032005e-07 -3.186177e-07 5.180190e-05 -2.642141e-04 -3.691508e-05 2.669724e-05
 8834.000000 -3.356385e-05 -3.045082e-07 -2.030078e-07 -3.187164e-07 4.371761e-05 -2.868936e-04 -4.364241e-05 1.922297e-05
 8839.000000 -3.344713e-05 -3.051286e-07 -2.037375e-07 -3.186004e-07 4.508353e-05 -2.902504e-04 -4.450720e-05 2.196352e-05
 8844.000000 -3.333638e-05 -3.064785e-07 -2.048795e-07 -3.187719e-07 4.432356e-05 -2.977769e-04 -4.608852e-05 2.974396e-05
 8849.000000 -3.322348e-05 -3.070535e-07 -2.054198e-07 -3.188637e-07 4.220544e-05 -3.377868e-04 -4.503794e-05 2.815295e-05
 8854.000000 -3.301732e-05 -3.093563e-07 -2.072981e-07 -3.181453e-07 4.404004e-05 -3.300491e-04 -4.281457e-05 2.780459e-05
 8859.000000 -3.286264e-05 -3.109372e-07 -2.083461e-07 -3.182237e-07 4.102995e-05 -2.921306e-04 -4.077599e-05 3.276485e-05
 8864.000000 -3.288863e-05 -3.086064e-07 -2.066169e-07 -3.197793e-07 3.976770e-05 -3.150032e-04 -3.461210e-05 3.073481e-05
 8869.000000 -3.281910e-05 -3.070658e-07 -2.057583e-07 -3.201945e-07 4.135348e-05 -3.415036e-04 -3.298930e-05 3.488054e-05
 8874.000000 -3.264417e-05 -3.095915e-07 -2.074771e-07 -3.190649e-07 4.442138e-05 -3.260886e-04 -3.608150e-05 4.053209e-05
 8879.000000 -3.258904e-05 -3.083068e-07 -2.070937e-07 -3.198355e-07 4.108035e-05 -2.968501e-04 -3.943210e-05 4.796204e-05
 8884.000000 -3.234615e-05 -3.069822e-07 -2.063316e-07 -3.183259e-07 3.551602e-05 -2.988808e-04 -3.577482e-05 4.490307e-05
 8889.000000 -3.215455e-05 -3.073326e-07 -2.067102e-07 -3.176860e-07 3.512251e-05 -3.017471e-04 -3.312824e-05 3.182962e-05
 8894.000000 -3.229505e-05 -3.113288e-07 -2.095162e-07 -3.191875e-07 3.420201e-05 -3.134716e-04 -4.491609e-05 2.466051e-05
 8899.000000 -3.215776e-05 -3.128060e-07 -2.104959e-07 -3.182470e-07 2.899895e-05 -3.269176e-04 -4.221389e-05 3.022200e-05
 8904.000000 -3.189152e-05 -3.169635e-07 -2.134955e-07 -3.158939e-07 3.744951e-05 -3.191506e-04 -4.864639e-05 2.328982e-05
 8909.000000 -3.181277e-05 -3.166131e-07 -2.134968e-07 -3.156283e-07 3.355644e-05 -3.041042e-04 -4.190472e-05 1.510421e-05
 8914.000000 -3.168781e-05 -3.139517e-07 -2.118121e-07 -3.152549e-07 4.423192e-05 -3.030313e-04 -4.699155e-05 7.775066e-06
 8919.000000 -3.161729e-05 -3.161455e-07 -2.132172e-07 -3.157596e-07 3.663538e-05 -2.901131e-04 -3.906769e-05 1.824043e-05
 8924.000000 -3.141694e-05 -3.182632e-07 -2.145728e-07 -3.148719e-07 3.252103e-05 -3.022421e-04 -2.778133e-05 2.544523e-05
 8929.000000 -3.143284e-05 -3.220802e-07 -2.172156e-07 -3.164745e-07 3.389455e-05 -2.980247e-04 -2.444515e-05 2.567358e-05
 8934.000000 -3.138005e-05 -3.229187e-07 -2.177914e-07 -3.173596e-07 4.261701e-05 -2.950040e-04 -2.817547e-05 3.249943e-05
 8939.000000 -3.123107e-05 -3.245144e-07 -2.187811e-07 -3.171381e-07 3.835513e-05 -3.125151e-04 -3.551682e-05 3.839167e-05
 8944.000000 -3.108665e-05 -3.249019e-07 -2.191367e-07 -3.166299e-07 4.008053e-05 -3.302050e-04 -3.494323e-05 4.274088e-05
 8949.000000 -3.097677e-05 -3.231940e-07 -2.178722e-07 -3.166993e-07 4.185699e-05 -3.283725e-04 -3.445903e-05 3.151815e-05
 8953.000000 -3.083837e-05 -3.242076e-07 -2.182972e-07 -3.163297e-07 3.922806e-05 -3.191147e-04 -4.339689e-05 2.919302e-05
 8956.000000 -3.083168e-05 -3.233013e-07 -2.174483e-07 -3.173973e-07 3.567485e-05 -3.103874e-04 -4.316664e-05 2.913321e-05
 8958.000000 -3.076040e-05 -3.247107e-07 -2.183035e-07 -3.173208e-07 3.231495e-05 -3.300897e-04 -4.145535e-05 2.928857e-05
 8959.000000 -3.063315e-05 -3.303508e-07 -2.221881e-07 -3.160438e-07 3.929054e-05 -3.260792e-04 -5.112587e-05 2.664736e-05
 8959.200000 -3.063742e-05 -3.319273e-07 -2.233107e-07 -3.161754e-07 4.160399e-05 -3.396990e-04 -5.883938e-05 3.143602e-05
 8959.400000 -3.066525e-05 -3.280022e-07 -2.202467e-07 -3.165834e-07 4.244119e-05 -3.482653e-04 -5.493128e-05 2.541308e-05
