# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.499974280242
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.994873
# Detector.I1.voltage: -1650.00061
# Detector.I2.voltage: -1650.000488
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371087
# Scan.uid: 64715aa9-0997-4740-ad1a-7d02486d308d
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  06:09:23.533292
# Scan.end_time: 06/23/2023  06:09:57.613726
# Scan.name: CuGaO2-4th PP+O2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.5239896225
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 400.0
# SampleHeater.temperature2.readback: 400.20000000000005
# SampleHeater.voltage.setpoint: 0.8910810373654392
# SampleHeater.voltage.readback: 0.886
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.83
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.06103515625
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.10986328125
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0406901054084301
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.452667e-05 -3.204953e-07 -2.124538e-07 -3.191894e-07 5.107114e-05 -4.939293e-04 -3.250924e-05 4.480042e-05
 8784.000000 -3.460902e-05 -3.166217e-07 -2.100435e-07 -3.208074e-07 5.253838e-05 -5.022540e-04 -3.192694e-05 3.358936e-05
 8789.000000 -3.457934e-05 -3.144118e-07 -2.087283e-07 -3.214384e-07 4.739321e-05 -5.002085e-04 -3.469728e-05 -2.943860e-06
 8794.000000 -3.444376e-05 -3.129390e-07 -2.079453e-07 -3.210341e-07 4.352422e-05 -4.865955e-04 -4.095769e-05 -1.560113e-06
 8799.000000 -3.403884e-05 -3.108751e-07 -2.066382e-07 -3.181595e-07 3.734495e-05 -4.953341e-04 -4.262727e-05 -4.378955e-06
 8804.000000 -3.424465e-05 -3.144517e-07 -2.089955e-07 -3.208930e-07 3.211946e-05 -4.844270e-04 -3.669539e-05 -1.785387e-05
 8809.000000 -3.414106e-05 -3.141686e-07 -2.090302e-07 -3.205648e-07 2.996585e-05 -4.833743e-04 -3.139665e-05 1.126875e-05
 8814.000000 -3.397237e-05 -3.123794e-07 -2.081313e-07 -3.193951e-07 2.672030e-05 -4.931493e-04 -2.927594e-05 4.475457e-05
 8819.000000 -3.401277e-05 -3.134313e-07 -2.090597e-07 -3.201878e-07 3.108205e-05 -5.126097e-04 -2.625078e-05 4.953407e-05
 8824.000000 -3.398011e-05 -3.132163e-07 -2.089609e-07 -3.208962e-07 3.571988e-05 -5.205360e-04 -2.625581e-05 4.950201e-05
 8829.000000 -3.390156e-05 -3.140561e-07 -2.096000e-07 -3.212590e-07 4.397306e-05 -5.276269e-04 -2.812217e-05 4.211818e-05
 8834.000000 -3.380402e-05 -3.137876e-07 -2.095345e-07 -3.218641e-07 4.819584e-05 -5.232401e-04 -2.720737e-05 1.800624e-05
 8839.000000 -3.371075e-05 -3.131459e-07 -2.089656e-07 -3.220359e-07 4.557945e-05 -5.292908e-04 -3.777589e-05 8.483299e-06
 8844.000000 -3.358569e-05 -3.136283e-07 -2.096920e-07 -3.219130e-07 3.670618e-05 -5.186081e-04 -3.529444e-05 -1.804090e-06
 8849.000000 -3.342562e-05 -3.140695e-07 -2.100922e-07 -3.213596e-07 4.212881e-05 -5.204605e-04 -3.695889e-05 -1.080974e-05
 8854.000000 -3.335426e-05 -3.136268e-07 -2.101009e-07 -3.219593e-07 4.706291e-05 -5.182899e-04 -3.510472e-05 -1.115450e-05
 8859.000000 -3.322893e-05 -3.151353e-07 -2.111298e-07 -3.219227e-07 4.601495e-05 -5.064415e-04 -2.804217e-05 -5.054393e-06
 8864.000000 -3.318491e-05 -3.162213e-07 -2.118237e-07 -3.224615e-07 4.195027e-05 -4.947685e-04 -3.124639e-05 -4.313777e-06
 8869.000000 -3.311293e-05 -3.169267e-07 -2.123739e-07 -3.226995e-07 4.281243e-05 -4.563022e-04 -3.563544e-05 -1.774937e-05
 8874.000000 -3.294488e-05 -3.193462e-07 -2.142482e-07 -3.214997e-07 4.888841e-05 -4.816785e-04 -4.708601e-05 -1.755869e-05
 8879.000000 -3.282696e-05 -3.214879e-07 -2.160324e-07 -3.208337e-07 5.242763e-05 -4.881090e-04 -3.741043e-05 -1.252509e-05
 8884.000000 -3.257562e-05 -3.215161e-07 -2.161021e-07 -3.197144e-07 4.215765e-05 -4.936226e-04 -3.583848e-05 -7.800033e-06
 8889.000000 -3.235947e-05 -3.218037e-07 -2.164735e-07 -3.193575e-07 4.350294e-05 -4.985269e-04 -3.998422e-05 -4.866223e-06
 8894.000000 -3.254334e-05 -3.250668e-07 -2.185514e-07 -3.213597e-07 4.052524e-05 -5.051854e-04 -3.916395e-05 -5.068854e-06
 8899.000000 -3.242338e-05 -3.266816e-07 -2.199494e-07 -3.207114e-07 4.399059e-05 -5.071789e-04 -4.000702e-05 -1.013134e-05
 8904.000000 -3.221361e-05 -3.299016e-07 -2.223510e-07 -3.189092e-07 5.037304e-05 -4.968127e-04 -4.329334e-05 -2.287315e-05
 8909.000000 -3.200784e-05 -3.320636e-07 -2.240464e-07 -3.171642e-07 4.700109e-05 -5.016901e-04 -3.889489e-05 -2.429932e-05
 8914.000000 -3.185460e-05 -3.294964e-07 -2.221295e-07 -3.169260e-07 4.845887e-05 -5.109702e-04 -4.550679e-05 -3.165128e-05
 8919.000000 -3.184464e-05 -3.293156e-07 -2.220328e-07 -3.179097e-07 4.651884e-05 -5.074818e-04 -4.549564e-05 -3.129799e-05
 8924.000000 -3.158696e-05 -3.327393e-07 -2.243764e-07 -3.162360e-07 4.217145e-05 -5.073982e-04 -4.276695e-05 -2.271058e-05
 8929.000000 -3.167812e-05 -3.333211e-07 -2.249134e-07 -3.184564e-07 3.938675e-05 -5.046367e-04 -3.773992e-05 -2.164892e-05
 8934.000000 -3.151586e-05 -3.379047e-07 -2.279715e-07 -3.181195e-07 3.196157e-05 -4.826314e-04 -3.316658e-05 -1.093905e-05
 8939.000000 -3.141434e-05 -3.391263e-07 -2.288892e-07 -3.183098e-07 2.927351e-05 -5.045914e-04 -3.139440e-05 -6.303513e-06
 8944.000000 -3.135171e-05 -3.378333e-07 -2.278869e-07 -3.189163e-07 3.238563e-05 -5.190851e-04 -3.319713e-05 -2.055113e-05
 8949.000000 -3.115292e-05 -3.385872e-07 -2.281853e-07 -3.180289e-07 4.372347e-05 -5.193203e-04 -3.379435e-05 2.478972e-05
 8953.000000 -3.112550e-05 -3.370572e-07 -2.270315e-07 -3.186372e-07 4.540411e-05 -5.065615e-04 -2.428471e-05 4.192113e-05
 8956.000000 -3.105670e-05 -3.367793e-07 -2.264556e-07 -3.189017e-07 4.447639e-05 -5.264864e-04 -2.936266e-05 3.207969e-05
 8958.000000 -3.101435e-05 -3.368517e-07 -2.263192e-07 -3.190109e-07 3.496967e-05 -5.328665e-04 -2.120593e-05 -2.491228e-07
 8959.000000 -3.100586e-05 -3.374304e-07 -2.264816e-07 -3.195152e-07 2.763552e-05 -5.251652e-04 -2.528474e-05 -1.219488e-06
 8959.200000 -3.100103e-05 -3.375963e-07 -2.263135e-07 -3.197281e-07 2.610346e-05 -5.212716e-04 -1.949193e-05 -5.141914e-06
 8959.400000 -3.091134e-05 -3.402919e-07 -2.281914e-07 -3.186522e-07 1.655458e-05 -5.207909e-04 -2.428489e-05 -5.509634e-06
