# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.36306389564896
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.998657
# Detector.I1.voltage: -1650.003052
# Detector.I2.voltage: -1650.002808
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371099
# Scan.uid: c4e57201-39f2-41e1-b038-802064d86333
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  06:21:19.583044
# Scan.end_time: 06/23/2023  06:21:53.861761
# Scan.name: CuGaO2-4th PP+O2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.5239896225
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 349.4766877094905
# SampleHeater.temperature2.readback: 351.6
# SampleHeater.voltage.setpoint: 0.6785565983127428
# SampleHeater.voltage.readback: 0.676
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.05
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.63
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.06103515625
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.08544921875
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.06103515625
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0406901054084301
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.414613e-05 -3.002480e-07 -1.989810e-07 -3.127255e-07 -3.634772e-06 -5.343928e-04 -5.145880e-05 1.977309e-05
 8784.000000 -3.427596e-05 -2.977903e-07 -1.974066e-07 -3.147978e-07 1.739610e-06 -5.173370e-04 -5.062082e-05 2.879972e-05
 8789.000000 -3.424567e-05 -2.950891e-07 -1.956971e-07 -3.154865e-07 7.513230e-06 -5.112482e-04 -4.641932e-05 2.696610e-05
 8794.000000 -3.405056e-05 -2.937024e-07 -1.950977e-07 -3.144050e-07 -3.152501e-06 -5.262529e-04 -4.972245e-05 2.406481e-05
 8799.000000 -3.363997e-05 -2.904541e-07 -1.930540e-07 -3.115116e-07 2.539497e-06 -5.199533e-04 -5.736294e-05 3.479972e-05
 8804.000000 -3.385770e-05 -2.951941e-07 -1.962647e-07 -3.141249e-07 6.201044e-06 -5.193865e-04 -5.871693e-05 3.573328e-05
 8809.000000 -3.382908e-05 -2.947805e-07 -1.959258e-07 -3.146563e-07 1.248430e-06 -5.293836e-04 -4.900113e-05 3.026271e-05
 8814.000000 -3.369393e-05 -2.925917e-07 -1.947655e-07 -3.138832e-07 -3.343536e-06 -5.332551e-04 -4.224561e-05 2.120373e-05
 8819.000000 -3.364921e-05 -2.956245e-07 -1.971365e-07 -3.138652e-07 5.634384e-06 -5.345663e-04 -4.838155e-05 1.740505e-05
 8824.000000 -3.364175e-05 -2.958940e-07 -1.974282e-07 -3.143357e-07 1.039107e-05 -5.301105e-04 -5.630007e-05 1.905813e-05
 8829.000000 -3.358560e-05 -2.967172e-07 -1.980502e-07 -3.147502e-07 4.142005e-06 -5.375087e-04 -4.358508e-05 2.457094e-05
 8834.000000 -3.351143e-05 -2.972003e-07 -1.981636e-07 -3.149992e-07 2.553870e-06 -5.427386e-04 -4.916330e-05 2.007076e-05
 8839.000000 -3.339609e-05 -2.985018e-07 -1.992419e-07 -3.150065e-07 5.223808e-07 -5.589132e-04 -5.376391e-05 1.470047e-05
 8844.000000 -3.320936e-05 -3.023144e-07 -2.020867e-07 -3.139990e-07 -5.117366e-07 -5.707611e-04 -5.634735e-05 1.019062e-05
 8849.000000 -3.316374e-05 -3.006516e-07 -2.011115e-07 -3.148776e-07 1.102417e-05 -5.685134e-04 -6.423330e-05 2.404393e-05
 8854.000000 -3.311671e-05 -3.000544e-07 -2.011464e-07 -3.158190e-07 1.430955e-05 -5.602436e-04 -5.984372e-05 2.180961e-05
 8859.000000 -3.300066e-05 -3.005733e-07 -2.014342e-07 -3.162841e-07 8.381568e-06 -5.608985e-04 -6.192632e-05 2.099029e-05
 8864.000000 -3.291515e-05 -3.010461e-07 -2.016874e-07 -3.165264e-07 -1.221317e-06 -5.699902e-04 -5.992245e-05 1.756500e-05
 8869.000000 -3.279799e-05 -3.032792e-07 -2.032872e-07 -3.162954e-07 -2.661547e-06 -5.759107e-04 -4.927980e-05 7.325558e-06
 8874.000000 -3.269693e-05 -3.044674e-07 -2.042280e-07 -3.164694e-07 -1.001455e-05 -5.766505e-04 -5.742108e-05 1.158813e-05
 8879.000000 -3.255323e-05 -3.067916e-07 -2.056983e-07 -3.160101e-07 2.935835e-06 -6.096213e-04 -6.256456e-05 2.029726e-05
 8884.000000 -3.234349e-05 -3.053719e-07 -2.051107e-07 -3.149751e-07 9.285970e-06 -5.875289e-04 -5.625637e-05 2.591477e-05
 8889.000000 -3.198795e-05 -3.083029e-07 -2.071957e-07 -3.130921e-07 2.852852e-06 -6.015374e-04 -5.591500e-05 2.766545e-05
 8894.000000 -3.221116e-05 -3.105199e-07 -2.088597e-07 -3.157157e-07 -2.231237e-07 -6.215852e-04 -6.120942e-05 2.451284e-05
 8899.000000 -3.208755e-05 -3.118439e-07 -2.097045e-07 -3.151372e-07 -5.912594e-07 -6.372966e-04 -5.736220e-05 1.298799e-05
 8904.000000 -3.203408e-05 -3.114456e-07 -2.095294e-07 -3.150752e-07 1.707496e-05 -6.345084e-04 -5.244170e-05 1.411623e-05
 8909.000000 -3.192993e-05 -3.108922e-07 -2.091914e-07 -3.143964e-07 1.781073e-05 -6.206422e-04 -5.397440e-05 9.300004e-06
 8914.000000 -3.168769e-05 -3.107633e-07 -2.093011e-07 -3.127387e-07 1.788854e-05 -6.147700e-04 -4.952194e-05 4.804065e-06
 8919.000000 -3.158654e-05 -3.120870e-07 -2.104483e-07 -3.126557e-07 1.227098e-05 -6.067111e-04 -5.257417e-05 1.419734e-05
 8924.000000 -3.140413e-05 -3.133250e-07 -2.112747e-07 -3.119427e-07 9.171263e-06 -6.062302e-04 -5.223606e-05 1.676073e-05
 8929.000000 -3.140462e-05 -3.166330e-07 -2.137437e-07 -3.134181e-07 8.934491e-06 -5.920623e-04 -6.046655e-05 1.460911e-05
 8934.000000 -3.136577e-05 -3.171268e-07 -2.139207e-07 -3.146096e-07 2.092763e-05 -6.008676e-04 -6.221400e-05 1.551228e-05
 8939.000000 -3.126335e-05 -3.181278e-07 -2.146318e-07 -3.149077e-07 1.164768e-05 -6.014741e-04 -6.138297e-05 1.393664e-05
 8944.000000 -3.111384e-05 -3.198114e-07 -2.158578e-07 -3.144714e-07 1.255313e-06 -6.209910e-04 -6.952478e-05 1.737788e-05
 8949.000000 -3.089243e-05 -3.228352e-07 -2.176729e-07 -3.131231e-07 -4.616252e-06 -6.123385e-04 -6.449634e-05 1.771870e-05
 8953.000000 -3.085558e-05 -3.209374e-07 -2.161666e-07 -3.139537e-07 -1.048863e-06 -6.034921e-04 -5.903042e-05 2.134123e-05
 8956.000000 -3.082520e-05 -3.206479e-07 -2.156129e-07 -3.148904e-07 -3.447215e-06 -5.736543e-04 -5.673118e-05 1.352784e-05
 8958.000000 -3.073968e-05 -3.221687e-07 -2.165286e-07 -3.145165e-07 6.890277e-06 -5.643551e-04 -6.190946e-05 8.113337e-06
 8959.000000 -3.074115e-05 -3.212263e-07 -2.157638e-07 -3.146733e-07 1.458555e-05 -5.624420e-04 -5.555073e-05 9.929671e-06
 8959.200000 -3.070321e-05 -3.229696e-07 -2.168682e-07 -3.142028e-07 2.292713e-05 -5.491630e-04 -5.487152e-05 8.022417e-07
 8959.400000 -3.067576e-05 -3.213465e-07 -2.158384e-07 -3.144639e-07 2.884931e-05 -5.374124e-04 -6.267444e-05 2.294763e-06
