# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.450697473419
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -349.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.999512
# Detector.I1.voltage: -1650.00061
# Detector.I2.voltage: -1650.002197
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371101
# Scan.uid: c27d7e37-b7a6-4308-8cfc-ed1cbffdf525
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  06:23:20.526969
# Scan.end_time: 06/23/2023  06:23:55.372954
# Scan.name: CuGaO2-4th PP+O2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.524027769499998
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 200.04974007606506
# SampleHeater.temperature2.readback: 199.4
# SampleHeater.voltage.setpoint: 0.4266543480517271
# SampleHeater.voltage.readback: 0.427
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.700000000000001
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.06103515625
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.01220703125
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.08544921875
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.06103515625
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0447591133415699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.426003e-05 -3.011581e-07 -1.997444e-07 -3.111900e-07 1.772961e-05 -6.119943e-04 -7.352358e-05 1.380515e-05
 8784.000000 -3.434232e-05 -2.987196e-07 -1.981357e-07 -3.125271e-07 1.843715e-05 -6.163477e-04 -6.732064e-05 1.138731e-05
 8789.000000 -3.429712e-05 -2.976576e-07 -1.976046e-07 -3.125394e-07 2.795430e-05 -6.131818e-04 -6.992673e-05 1.028857e-05
 8794.000000 -3.418459e-05 -2.943116e-07 -1.953598e-07 -3.125050e-07 2.062755e-05 -6.147334e-04 -6.080834e-05 1.098041e-05
 8799.000000 -3.376532e-05 -2.913785e-07 -1.938018e-07 -3.093139e-07 2.323820e-05 -6.158391e-04 -6.658151e-05 1.152119e-05
 8804.000000 -3.394355e-05 -2.978203e-07 -1.983882e-07 -3.112893e-07 1.818255e-05 -6.028546e-04 -6.698747e-05 9.726814e-06
 8809.000000 -3.395358e-05 -2.965707e-07 -1.973834e-07 -3.123821e-07 2.517789e-05 -6.142356e-04 -7.089312e-05 1.523567e-06
 8814.000000 -3.379238e-05 -2.958850e-07 -1.969169e-07 -3.114280e-07 2.667290e-05 -6.157390e-04 -7.216486e-05 -9.298610e-06
 8819.000000 -3.381960e-05 -2.968145e-07 -1.975764e-07 -3.123023e-07 3.569134e-05 -5.781164e-04 -7.538416e-05 -9.251198e-06
 8824.000000 -3.367200e-05 -2.983449e-07 -1.989073e-07 -3.118139e-07 3.016811e-05 -5.965234e-04 -7.222237e-05 6.584387e-06
 8829.000000 -3.357568e-05 -2.990637e-07 -1.995312e-07 -3.119345e-07 3.222806e-05 -5.745971e-04 -7.849126e-05 1.384112e-05
 8834.000000 -3.353439e-05 -2.976565e-07 -1.989075e-07 -3.124168e-07 3.856783e-05 -5.635544e-04 -6.884907e-05 1.155474e-05
 8839.000000 -3.339506e-05 -2.977232e-07 -1.989203e-07 -3.123225e-07 3.823651e-05 -5.978212e-04 -7.380899e-05 9.157261e-06
 8844.000000 -3.328957e-05 -2.976879e-07 -1.991726e-07 -3.123698e-07 4.018903e-05 -5.992329e-04 -7.154858e-05 -1.500117e-07
 8849.000000 -3.316222e-05 -2.989125e-07 -2.002887e-07 -3.122486e-07 3.807679e-05 -6.068423e-04 -7.299520e-05 -6.509624e-06
 8854.000000 -3.302910e-05 -3.011961e-07 -2.019417e-07 -3.121843e-07 3.120009e-05 -6.263403e-04 -7.938266e-05 5.166588e-06
 8859.000000 -3.301445e-05 -3.001076e-07 -2.009286e-07 -3.135009e-07 3.032908e-05 -6.131190e-04 -8.137320e-05 -1.164783e-06
 8864.000000 -3.294878e-05 -3.008564e-07 -2.015812e-07 -3.138541e-07 3.184173e-05 -6.149438e-04 -8.392541e-05 4.750051e-06
 8869.000000 -3.282189e-05 -3.019668e-07 -2.023766e-07 -3.134363e-07 3.650957e-05 -6.221317e-04 -6.866544e-05 9.415210e-06
 8874.000000 -3.274428e-05 -3.016461e-07 -2.022994e-07 -3.134660e-07 3.330530e-05 -6.181951e-04 -6.932710e-05 8.363125e-06
 8879.000000 -3.263404e-05 -3.024279e-07 -2.030622e-07 -3.129833e-07 2.811414e-05 -6.042839e-04 -7.641248e-05 2.644495e-06
 8884.000000 -3.236608e-05 -3.027086e-07 -2.035181e-07 -3.113925e-07 1.902306e-05 -5.835803e-04 -8.433832e-05 4.129939e-06
 8889.000000 -3.211873e-05 -3.044493e-07 -2.049288e-07 -3.101530e-07 2.849398e-05 -5.853143e-04 -7.317372e-05 4.529561e-06
 8894.000000 -3.224756e-05 -3.083118e-07 -2.074900e-07 -3.117443e-07 2.839097e-05 -5.731953e-04 -7.872323e-05 1.971392e-05
 8899.000000 -3.219784e-05 -3.076712e-07 -2.072681e-07 -3.121723e-07 2.555795e-05 -6.140438e-04 -8.814298e-05 5.513182e-05
 8904.000000 -3.211511e-05 -3.080809e-07 -2.074329e-07 -3.121973e-07 3.042862e-05 -6.273025e-04 -9.546970e-05 6.048677e-05
 8909.000000 -3.198229e-05 -3.098927e-07 -2.086544e-07 -3.115748e-07 3.559807e-05 -6.398271e-04 -9.004119e-05 5.789310e-05
 8914.000000 -3.173306e-05 -3.104961e-07 -2.093232e-07 -3.097246e-07 2.922855e-05 -6.211051e-04 -9.140596e-05 4.909282e-05
 8919.000000 -3.166153e-05 -3.114122e-07 -2.098435e-07 -3.100884e-07 1.984171e-05 -6.155493e-04 -8.320760e-05 4.658737e-05
 8924.000000 -3.145686e-05 -3.131574e-07 -2.111390e-07 -3.092031e-07 1.906977e-05 -6.184162e-04 -8.023788e-05 4.281294e-05
 8929.000000 -3.150962e-05 -3.146076e-07 -2.121076e-07 -3.108710e-07 2.920791e-05 -6.064869e-04 -7.963594e-05 3.764426e-05
 8934.000000 -3.140038e-05 -3.172965e-07 -2.139880e-07 -3.112257e-07 2.464041e-05 -6.041157e-04 -8.537362e-05 4.059594e-05
 8939.000000 -3.129191e-05 -3.183887e-07 -2.148366e-07 -3.117312e-07 2.671179e-05 -6.000855e-04 -8.650712e-05 4.283234e-05
 8944.000000 -3.113469e-05 -3.200634e-07 -2.159162e-07 -3.113387e-07 2.079663e-05 -5.773374e-04 -7.043786e-05 3.373132e-05
 8949.000000 -3.102153e-05 -3.199197e-07 -2.155850e-07 -3.110859e-07 2.039338e-05 -6.002155e-04 -6.656624e-05 3.494993e-05
 8953.000000 -3.088441e-05 -3.210516e-07 -2.161870e-07 -3.107139e-07 1.671246e-05 -6.283010e-04 -7.779007e-05 3.353848e-05
 8956.000000 -3.086576e-05 -3.194681e-07 -2.149140e-07 -3.115546e-07 1.637454e-05 -6.374030e-04 -7.535593e-05 2.960055e-05
 8958.000000 -3.086146e-05 -3.188903e-07 -2.143560e-07 -3.121269e-07 2.725423e-05 -6.355742e-04 -6.014841e-05 2.605326e-05
 8959.000000 -3.080960e-05 -3.198622e-07 -2.149006e-07 -3.116122e-07 3.016176e-05 -6.331513e-04 -5.701081e-05 2.738554e-05
 8959.200000 -3.088815e-05 -3.178396e-07 -2.135797e-07 -3.125291e-07 2.566722e-05 -6.213134e-04 -5.827965e-05 2.337572e-05
 8959.400000 -3.086916e-05 -3.189863e-07 -2.142392e-07 -3.122724e-07 1.866663e-05 -6.167183e-04 -7.385382e-05 2.152196e-05
