# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.8213999114131
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.004272
# Detector.I1.voltage: -1650.003418
# Detector.I2.voltage: -1650.00415
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370981
# Scan.uid: 2d48aa6a-25a5-4a65-a892-f6887fa32516
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  04:23:32.510787
# Scan.end_time: 06/23/2023  04:24:06.677447
# Scan.name: CuGaO2-4th PP+O2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.524027769499998
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 36.93162373525125
# SampleHeater.temperature2.readback: 33.1
# SampleHeater.voltage.setpoint: 0.2521868819941678
# SampleHeater.voltage.readback: 0.25
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 11.02
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0244140625
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0895182266831398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.048828125
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.467560e-05 -3.327921e-07 -2.206408e-07 -3.134564e-07 8.738544e-05 4.286402e-04 -4.128500e-05 9.149964e-05
 8784.000000 -3.477615e-05 -3.276208e-07 -2.174062e-07 -3.150866e-07 8.690698e-05 4.128454e-04 -4.144221e-05 8.334352e-05
 8789.000000 -3.464338e-05 -3.273248e-07 -2.176207e-07 -3.147177e-07 9.176285e-05 4.088662e-04 -3.618862e-05 9.141408e-05
 8794.000000 -3.447199e-05 -3.264825e-07 -2.170720e-07 -3.140129e-07 8.583013e-05 4.235442e-04 -4.217042e-05 8.968818e-05
 8799.000000 -3.416645e-05 -3.193438e-07 -2.122080e-07 -3.122019e-07 8.575622e-05 4.589825e-04 -3.477619e-05 9.410960e-05
 8804.000000 -3.446039e-05 -3.223201e-07 -2.145488e-07 -3.152866e-07 8.137040e-05 4.354123e-04 -3.033506e-05 8.097009e-05
 8809.000000 -3.436797e-05 -3.235599e-07 -2.154373e-07 -3.150484e-07 8.338942e-05 4.393261e-04 -2.668527e-05 8.060645e-05
 8814.000000 -3.421631e-05 -3.223856e-07 -2.147235e-07 -3.140956e-07 8.431200e-05 4.200830e-04 -5.044311e-05 7.302834e-05
 8819.000000 -3.421596e-05 -3.241508e-07 -2.159796e-07 -3.145795e-07 9.066017e-05 4.362691e-04 -5.296052e-05 7.690839e-05
 8824.000000 -3.418607e-05 -3.255749e-07 -2.171134e-07 -3.150757e-07 9.104598e-05 4.386125e-04 -4.408465e-05 8.043346e-05
 8829.000000 -3.406631e-05 -3.273798e-07 -2.187190e-07 -3.150506e-07 8.725815e-05 4.333108e-04 -4.415424e-05 9.062994e-05
 8834.000000 -3.394684e-05 -3.279832e-07 -2.193374e-07 -3.151654e-07 8.771058e-05 4.277901e-04 -5.118155e-05 9.187214e-05
 8839.000000 -3.391185e-05 -3.266248e-07 -2.185670e-07 -3.159172e-07 8.845071e-05 4.376004e-04 -4.324197e-05 9.149946e-05
 8844.000000 -3.380076e-05 -3.281640e-07 -2.196651e-07 -3.160004e-07 9.168848e-05 4.365577e-04 -3.876548e-05 9.044637e-05
 8849.000000 -3.368410e-05 -3.299154e-07 -2.208828e-07 -3.159600e-07 9.885051e-05 4.408959e-04 -3.629524e-05 8.572667e-05
 8854.000000 -3.355478e-05 -3.317204e-07 -2.222124e-07 -3.158954e-07 8.676629e-05 4.387449e-04 -3.039304e-05 8.280151e-05
 8859.000000 -3.342114e-05 -3.343123e-07 -2.241206e-07 -3.157578e-07 9.165670e-05 4.661185e-04 -3.850852e-05 8.676663e-05
 8864.000000 -3.330824e-05 -3.366031e-07 -2.259683e-07 -3.155421e-07 8.902614e-05 4.668964e-04 -3.800791e-05 8.822298e-05
 8869.000000 -3.328698e-05 -3.347961e-07 -2.246089e-07 -3.163095e-07 9.381110e-05 4.686306e-04 -2.818635e-05 7.935471e-05
 8874.000000 -3.315226e-05 -3.350515e-07 -2.247998e-07 -3.160609e-07 9.811422e-05 4.672335e-04 -2.688440e-05 6.990408e-05
 8879.000000 -3.302770e-05 -3.364654e-07 -2.257444e-07 -3.156839e-07 1.000998e-04 4.793272e-04 -2.164948e-05 8.103440e-05
 8884.000000 -3.279252e-05 -3.372250e-07 -2.265803e-07 -3.145024e-07 9.532947e-05 4.903238e-04 -2.596573e-05 7.586340e-05
 8889.000000 -3.259231e-05 -3.364849e-07 -2.263810e-07 -3.140949e-07 9.476465e-05 5.007622e-04 -2.211228e-05 6.987217e-05
 8894.000000 -3.269293e-05 -3.428304e-07 -2.309165e-07 -3.155093e-07 1.021247e-04 4.669534e-04 -2.683432e-05 7.912607e-05
 8899.000000 -3.252163e-05 -3.463814e-07 -2.332821e-07 -3.142629e-07 1.055240e-04 4.594229e-04 -2.951368e-05 8.324533e-05
 8904.000000 -3.239263e-05 -3.482209e-07 -2.346479e-07 -3.134547e-07 1.015030e-04 4.618006e-04 -3.624825e-05 8.596663e-05
 8909.000000 -3.231088e-05 -3.480572e-07 -2.345504e-07 -3.132993e-07 1.005823e-04 4.692705e-04 -3.727150e-05 8.515586e-05
 8914.000000 -3.207138e-05 -3.479849e-07 -2.346823e-07 -3.115587e-07 9.133426e-05 4.721426e-04 -4.292801e-05 9.416136e-05
 8919.000000 -3.194093e-05 -3.506557e-07 -2.365984e-07 -3.113677e-07 9.570531e-05 4.645229e-04 -3.793828e-05 9.765037e-05
 8924.000000 -3.190172e-05 -3.483708e-07 -2.348800e-07 -3.120559e-07 1.032987e-04 4.575561e-04 -3.818910e-05 9.288610e-05
 8929.000000 -3.180657e-05 -3.538256e-07 -2.386842e-07 -3.124784e-07 1.007292e-04 4.463985e-04 -3.440939e-05 9.677032e-05
 8934.000000 -3.178603e-05 -3.533294e-07 -2.386347e-07 -3.136147e-07 9.806952e-05 4.510236e-04 -2.969421e-05 8.870543e-05
 8939.000000 -3.155990e-05 -3.556066e-07 -2.402178e-07 -3.126140e-07 8.843584e-05 4.531170e-04 -3.165075e-05 8.889041e-05
 8944.000000 -3.143225e-05 -3.551543e-07 -2.397526e-07 -3.122973e-07 9.169704e-05 4.174757e-04 -3.245812e-05 9.728407e-05
 8949.000000 -3.139331e-05 -3.546907e-07 -2.392764e-07 -3.129949e-07 8.956045e-05 4.066949e-04 -3.639671e-05 8.411501e-05
 8953.000000 -3.132778e-05 -3.535263e-07 -2.381897e-07 -3.135008e-07 9.544668e-05 3.978061e-04 -3.068902e-05 8.664767e-05
 8956.000000 -3.127593e-05 -3.534248e-07 -2.379048e-07 -3.137726e-07 9.693944e-05 4.015457e-04 -3.215697e-05 9.165759e-05
 8958.000000 -3.126331e-05 -3.525081e-07 -2.370872e-07 -3.142048e-07 1.006802e-04 4.265120e-04 -3.298372e-05 9.544494e-05
 8959.000000 -3.125044e-05 -3.523007e-07 -2.365390e-07 -3.142453e-07 1.084192e-04 4.106441e-04 -3.858308e-05 9.305050e-05
 8959.200000 -3.124703e-05 -3.519600e-07 -2.362579e-07 -3.144459e-07 1.049371e-04 4.013840e-04 -3.314195e-05 9.678469e-05
 8959.400000 -3.121046e-05 -3.533231e-07 -2.372272e-07 -3.141230e-07 9.611719e-05 3.961212e-04 -4.630566e-05 8.795642e-05
 8959.600000 -3.121476e-05 -3.535746e-07 -2.374136e-07 -3.140642e-07 9.776173e-05 3.905122e-04 -2.624233e-05 1.009336e-04
