# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.4956450992909
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.000244
# Detector.I1.voltage: -1650.000244
# Detector.I2.voltage: -1650.00061
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370982
# Scan.uid: 6b2dbf16-9338-4d94-989e-f22788d85aff
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  04:24:33.510511
# Scan.end_time: 06/23/2023  04:25:09.173922
# Scan.name: CuGaO2-4th PP+O2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.5239896225
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 43.761109527540796
# SampleHeater.temperature2.readback: 40.0
# SampleHeater.voltage.setpoint: 0.28457307034209406
# SampleHeater.voltage.readback: 0.29
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 11.040000000000001
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0244140625
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.08544921875
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.048828125
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.998020e-05 -7.016646e-07 -2.071676e-07 -9.996622e-07 1.041843e-04 4.748006e-04 -3.316604e-05 2.923597e-05
10172.000000 -2.986805e-05 -6.981610e-07 -2.049889e-07 -9.973098e-07 1.017619e-04 4.430248e-04 -4.251561e-05 2.016311e-05
10177.000000 -2.975877e-05 -6.991781e-07 -2.033231e-07 -9.939853e-07 9.952702e-05 4.218138e-04 -3.879986e-05 2.127717e-05
10182.000000 -2.971965e-05 -6.989184e-07 -1.995883e-07 -9.947596e-07 1.039817e-04 4.306609e-04 -3.788424e-05 1.561733e-05
10187.000000 -2.971994e-05 -6.968230e-07 -1.918558e-07 -9.978002e-07 9.719739e-05 4.445498e-04 -3.718896e-05 2.090909e-05
10192.000000 -2.978839e-05 -6.995633e-07 -1.763731e-07 -1.002440e-06 9.791189e-05 4.148141e-04 -3.160876e-05 2.579100e-05
10197.000000 -2.976994e-05 -7.032112e-07 -1.303658e-07 -1.004169e-06 9.077151e-05 4.142567e-04 -3.890478e-05 3.108618e-05
10202.000000 -2.972038e-05 -7.049727e-07 -4.149613e-08 -1.005147e-06 9.000227e-05 4.102152e-04 -4.095991e-05 1.735102e-05
10207.000000 -2.967970e-05 -7.069117e-07 -1.753130e-08 -1.006122e-06 7.948604e-05 4.026226e-04 -3.013197e-05 2.072702e-05
10212.000000 -2.967145e-05 -7.085993e-07 -3.597196e-08 -1.008122e-06 7.523937e-05 4.123824e-04 -2.367164e-05 2.203887e-05
10217.000000 -2.961930e-05 -7.113844e-07 -4.651841e-08 -1.008672e-06 7.774094e-05 4.420686e-04 -2.444252e-05 1.769856e-05
10222.000000 -2.950917e-05 -7.113338e-07 -5.473577e-08 -1.007338e-06 8.186256e-05 4.395457e-04 -2.479926e-05 2.474329e-05
10227.000000 -2.953612e-05 -7.145583e-07 -6.039097e-08 -1.010966e-06 8.206107e-05 4.389994e-04 -3.218929e-05 1.857879e-05
10232.000000 -2.948798e-05 -7.171268e-07 -6.260451e-08 -1.012041e-06 9.126659e-05 4.207572e-04 -2.676403e-05 1.803775e-05
10237.000000 -2.951371e-05 -7.206785e-07 -6.422251e-08 -1.016307e-06 8.223144e-05 4.498321e-04 -3.275098e-05 9.197173e-06
10242.000000 -2.945177e-05 -7.231772e-07 -6.559888e-08 -1.016558e-06 8.071443e-05 4.557096e-04 -3.654940e-05 1.408103e-05
10247.000000 -2.940471e-05 -7.251505e-07 -6.856515e-08 -1.017420e-06 7.480245e-05 4.384439e-04 -3.462515e-05 1.722023e-05
10252.000000 -2.939872e-05 -7.290787e-07 -6.857765e-08 -1.019785e-06 8.412323e-05 4.140920e-04 -2.596119e-05 2.248560e-05
10257.000000 -2.937067e-05 -7.311027e-07 -6.605499e-08 -1.021238e-06 9.402595e-05 4.310056e-04 -2.097662e-05 3.015594e-05
10262.000000 -2.927570e-05 -7.315702e-07 -6.546180e-08 -1.020669e-06 9.877382e-05 4.171919e-04 -2.537474e-05 2.847630e-05
10267.000000 -2.928819e-05 -7.345174e-07 -6.660417e-08 -1.024085e-06 9.048355e-05 4.107808e-04 -3.257197e-05 2.515432e-05
10272.000000 -2.919590e-05 -7.341905e-07 -6.702070e-08 -1.023639e-06 8.993996e-05 4.236737e-04 -3.420243e-05 3.543555e-05
10277.000000 -2.913928e-05 -7.367706e-07 -6.664444e-08 -1.024462e-06 9.317684e-05 4.318809e-04 -2.499749e-05 4.094629e-05
10282.000000 -2.903000e-05 -7.385644e-07 -6.581256e-08 -1.023930e-06 1.012125e-04 4.247100e-04 -2.692660e-05 4.087717e-05
10287.000000 -2.910461e-05 -7.446531e-07 -6.677540e-08 -1.029659e-06 1.034033e-04 4.209932e-04 -2.371982e-05 4.376778e-05
10292.000000 -2.905355e-05 -7.461059e-07 -6.882871e-08 -1.031065e-06 9.084120e-05 4.440105e-04 -1.936610e-05 3.153083e-05
10297.000000 -2.903638e-05 -7.481230e-07 -6.987015e-08 -1.033618e-06 9.193390e-05 4.558022e-04 -2.520267e-05 2.304955e-05
10302.000000 -2.902201e-05 -7.513453e-07 -6.985733e-08 -1.036024e-06 9.497380e-05 4.571684e-04 -1.646198e-05 3.399917e-05
10307.000000 -2.893107e-05 -7.524926e-07 -6.992049e-08 -1.035467e-06 9.920275e-05 4.326449e-04 -2.380453e-05 4.035955e-05
10312.000000 -2.894201e-05 -7.577537e-07 -7.048010e-08 -1.039221e-06 1.069030e-04 4.533409e-04 -2.940368e-05 4.827040e-05
10317.000000 -2.888560e-05 -7.592606e-07 -7.002669e-08 -1.040372e-06 9.463787e-05 4.669454e-04 -3.493001e-05 4.639069e-05
10322.000000 -2.889794e-05 -7.639066e-07 -6.958970e-08 -1.044601e-06 1.002263e-04 4.514830e-04 -3.294850e-05 3.854123e-05
10327.000000 -2.882919e-05 -7.647978e-07 -6.892835e-08 -1.045849e-06 9.479189e-05 4.354604e-04 -2.200793e-05 4.190678e-05
10332.000000 -2.871222e-05 -7.664202e-07 -6.858261e-08 -1.045921e-06 9.071007e-05 4.422382e-04 -3.241838e-05 4.426840e-05
10337.000000 -2.881561e-05 -7.738088e-07 -6.908019e-08 -1.053368e-06 9.097258e-05 4.485384e-04 -4.591330e-05 2.756967e-05
10341.000000 -2.877560e-05 -7.756436e-07 -6.969222e-08 -1.055333e-06 8.393712e-05 4.247931e-04 -4.864880e-05 2.838940e-05
10344.000000 -2.870213e-05 -7.741210e-07 -7.007267e-08 -1.055581e-06 8.819962e-05 4.054053e-04 -4.118732e-05 2.608966e-05
10346.000000 -2.866900e-05 -7.730115e-07 -7.045320e-08 -1.056772e-06 7.541284e-05 4.166800e-04 -5.216221e-05 2.744434e-05
10347.000000 -2.869979e-05 -7.747527e-07 -7.114994e-08 -1.059172e-06 8.033646e-05 4.279569e-04 -5.007091e-05 3.228735e-05
10347.200000 -2.867648e-05 -7.734909e-07 -7.130836e-08 -1.058602e-06 7.831232e-05 4.178885e-04 -4.821580e-05 3.014305e-05
10347.400000 -2.869421e-05 -7.755350e-07 -7.165514e-08 -1.059126e-06 7.668995e-05 4.245376e-04 -5.642824e-05 2.129230e-05
10347.600000 -2.871102e-05 -7.757961e-07 -7.176226e-08 -1.060417e-06 7.665241e-05 4.213399e-04 -4.387731e-05 3.696773e-05
10347.800000 -2.872941e-05 -7.766876e-07 -7.193889e-08 -1.061229e-06 6.503479e-05 4.136982e-04 -5.024231e-05 3.557438e-05
