# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.53998951870136
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.002075
# Detector.I1.voltage: -1650.001831
# Detector.I2.voltage: -1649.999268
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370998
# Scan.uid: 030ec8d1-434a-4a7e-9008-3ff12b3c327d
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  04:40:35.577179
# Scan.end_time: 06/23/2023  04:41:08.541763
# Scan.name: CuGaO2-4th PP+O2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.524008696
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 100.0
# SampleHeater.temperature2.readback: 101.7
# SampleHeater.voltage.setpoint: 0.3159115627949435
# SampleHeater.voltage.readback: 0.322
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 11.200000000000001
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.048828125
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.02848307229578495
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0895182266831398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.994865e-05 -6.932717e-07 -2.006225e-07 -1.000051e-06 7.604250e-05 2.188277e-04 -3.132444e-05 7.714267e-05
10172.000000 -2.982419e-05 -6.862464e-07 -1.976502e-07 -9.973330e-07 6.983105e-05 2.299676e-04 -3.925902e-05 8.267382e-05
10177.000000 -2.971481e-05 -6.855920e-07 -1.956022e-07 -9.946209e-07 7.230945e-05 2.235232e-04 -3.570776e-05 7.884626e-05
10182.000000 -2.961696e-05 -6.854533e-07 -1.920922e-07 -9.932975e-07 7.335412e-05 2.298656e-04 -3.956324e-05 8.713052e-05
10187.000000 -2.966663e-05 -6.866201e-07 -1.853396e-07 -9.980685e-07 7.573558e-05 2.250582e-04 -4.696148e-05 7.988948e-05
10192.000000 -2.976466e-05 -6.910149e-07 -1.699435e-07 -1.004079e-06 6.870676e-05 2.390965e-04 -4.496211e-05 7.038778e-05
10197.000000 -2.973283e-05 -6.937777e-07 -1.246477e-07 -1.005452e-06 7.276642e-05 2.347366e-04 -3.696923e-05 7.180506e-05
10202.000000 -2.963901e-05 -6.954938e-07 -3.961237e-08 -1.004644e-06 7.290678e-05 2.187630e-04 -3.568191e-05 7.047498e-05
10207.000000 -2.958470e-05 -6.973444e-07 -1.690629e-08 -1.004803e-06 6.544233e-05 2.143655e-04 -3.787605e-05 3.426465e-05
10212.000000 -2.961539e-05 -6.998072e-07 -3.455235e-08 -1.008538e-06 6.684851e-05 2.054891e-04 -4.132240e-05 2.536318e-05
10217.000000 -2.961586e-05 -7.025804e-07 -4.465702e-08 -1.011056e-06 6.502776e-05 2.142730e-04 -3.369722e-05 1.867100e-05
10222.000000 -2.955705e-05 -7.045352e-07 -5.237406e-08 -1.011426e-06 7.137810e-05 2.163598e-04 -3.247081e-05 2.641917e-05
10227.000000 -2.952145e-05 -7.063175e-07 -5.782977e-08 -1.012720e-06 6.409816e-05 2.113541e-04 -4.201074e-05 4.027241e-05
10232.000000 -2.945845e-05 -7.081421e-07 -6.036797e-08 -1.012828e-06 6.411286e-05 2.057808e-04 -4.440061e-05 3.546057e-05
10237.000000 -2.946324e-05 -7.112052e-07 -6.202677e-08 -1.015774e-06 6.684364e-05 2.160628e-04 -4.075713e-05 2.752701e-05
10242.000000 -2.941615e-05 -7.127301e-07 -6.297859e-08 -1.016890e-06 6.276739e-05 2.201626e-04 -4.957436e-05 2.602410e-05
10247.000000 -2.933312e-05 -7.136148e-07 -6.546252e-08 -1.016841e-06 5.761660e-05 2.096224e-04 -4.770781e-05 3.623403e-05
10252.000000 -2.934534e-05 -7.169161e-07 -6.503996e-08 -1.019973e-06 5.592345e-05 2.102142e-04 -5.066949e-05 3.498357e-05
10257.000000 -2.931482e-05 -7.197134e-07 -6.268389e-08 -1.021414e-06 5.423834e-05 1.994691e-04 -4.927170e-05 2.814226e-05
10262.000000 -2.916469e-05 -7.196667e-07 -6.228693e-08 -1.019127e-06 5.741340e-05 1.974590e-04 -4.490699e-05 3.797802e-05
10267.000000 -2.919839e-05 -7.226166e-07 -6.360117e-08 -1.023390e-06 5.938771e-05 1.917219e-04 -4.961796e-05 4.341370e-05
10272.000000 -2.916848e-05 -7.254713e-07 -6.415890e-08 -1.024768e-06 6.628588e-05 1.868065e-04 -3.640365e-05 4.558550e-05
10277.000000 -2.916020e-05 -7.286427e-07 -6.407191e-08 -1.027646e-06 6.974777e-05 1.988076e-04 -4.238765e-05 3.516321e-05
10282.000000 -2.903302e-05 -7.285783e-07 -6.306013e-08 -1.026592e-06 5.921332e-05 2.014258e-04 -4.292168e-05 3.840054e-05
10287.000000 -2.908186e-05 -7.330124e-07 -6.411347e-08 -1.031355e-06 6.085896e-05 1.695784e-04 -3.932757e-05 3.269947e-05
10292.000000 -2.903165e-05 -7.351109e-07 -6.620074e-08 -1.032443e-06 5.671013e-05 1.751767e-04 -2.646260e-05 2.655693e-05
10297.000000 -2.896584e-05 -7.372484e-07 -6.728340e-08 -1.032624e-06 6.140661e-05 2.203039e-04 -2.879879e-05 2.559258e-05
10302.000000 -2.899645e-05 -7.414913e-07 -6.729788e-08 -1.036892e-06 6.972114e-05 2.134353e-04 -4.089278e-05 2.759628e-05
10307.000000 -2.896091e-05 -7.448869e-07 -6.733087e-08 -1.038442e-06 7.074887e-05 2.162532e-04 -4.781757e-05 2.897381e-05
10312.000000 -2.891135e-05 -7.473431e-07 -6.755579e-08 -1.039701e-06 6.778507e-05 2.140449e-04 -3.121182e-05 3.420503e-05
10317.000000 -2.888548e-05 -7.500530e-07 -6.707827e-08 -1.041863e-06 5.752148e-05 2.203267e-04 -3.754840e-05 3.287527e-05
10322.000000 -2.885299e-05 -7.525992e-07 -6.678812e-08 -1.044152e-06 5.879690e-05 2.463054e-04 -2.969797e-05 2.715878e-05
10327.000000 -2.880821e-05 -7.548947e-07 -6.640382e-08 -1.046258e-06 6.052364e-05 2.575127e-04 -2.119580e-05 2.569133e-05
10332.000000 -2.868192e-05 -7.548679e-07 -6.567138e-08 -1.046231e-06 5.691202e-05 2.704496e-04 -2.347492e-05 2.603517e-05
10337.000000 -2.876374e-05 -7.593358e-07 -6.583547e-08 -1.052986e-06 5.280594e-05 2.864777e-04 -3.555846e-05 3.357042e-05
10341.000000 -2.872697e-05 -7.597121e-07 -6.644268e-08 -1.055130e-06 6.769639e-05 2.611924e-04 -2.917370e-05 3.644159e-05
10344.000000 -2.866451e-05 -7.594458e-07 -6.714450e-08 -1.055589e-06 6.960231e-05 2.468941e-04 -3.248018e-05 4.361696e-05
10346.000000 -2.866610e-05 -7.603276e-07 -6.795414e-08 -1.058167e-06 6.903229e-05 2.391215e-04 -2.974345e-05 4.412169e-05
10347.000000 -2.867012e-05 -7.609232e-07 -6.823555e-08 -1.059689e-06 7.069279e-05 2.301279e-04 -2.164604e-05 4.865454e-05
10347.200000 -2.867408e-05 -7.619815e-07 -6.826277e-08 -1.060256e-06 6.590145e-05 2.371794e-04 -2.171310e-05 5.128313e-05
10347.400000 -2.865046e-05 -7.612339e-07 -6.826572e-08 -1.059552e-06 6.505135e-05 2.404560e-04 -1.197337e-05 3.834990e-05
10347.600000 -2.865384e-05 -7.619961e-07 -6.854596e-08 -1.059969e-06 7.138743e-05 2.392868e-04 -7.801041e-06 3.231309e-05
10347.800000 -2.865219e-05 -7.603098e-07 -6.824505e-08 -1.059923e-06 8.122870e-05 2.136161e-04 -8.672585e-06 3.203448e-05
