# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.6275258767264
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.000122
# Detector.I1.voltage: -1650.002075
# Detector.I2.voltage: -1649.998901
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371000
# Scan.uid: d7850897-f890-4f93-a403-2647a997d10f
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  04:42:35.010694
# Scan.end_time: 06/23/2023  04:43:08.345881
# Scan.name: CuGaO2-4th PP+O2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.524027769499998
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 100.0
# SampleHeater.temperature2.readback: 99.60000000000001
# SampleHeater.voltage.setpoint: 0.3296067696305918
# SampleHeater.voltage.readback: 0.329
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 11.24
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.048828125
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.02848307229578495
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.048828125
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0895182266831398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.048828125
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.06103515625
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1057942733168602
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.982645e-05 -6.806768e-07 -1.977448e-07 -9.939903e-07 7.217619e-05 1.519883e-04 -1.577624e-05 2.385247e-05
10172.000000 -2.975331e-05 -6.764092e-07 -1.957403e-07 -9.929158e-07 6.750458e-05 1.866292e-04 -1.606569e-05 2.593670e-05
10177.000000 -2.965274e-05 -6.756421e-07 -1.934596e-07 -9.905393e-07 7.038258e-05 1.990764e-04 -1.740459e-05 2.488935e-05
10182.000000 -2.955896e-05 -6.748837e-07 -1.894556e-07 -9.895757e-07 7.463048e-05 1.937848e-04 -1.722437e-05 3.261689e-05
10187.000000 -2.961428e-05 -6.760666e-07 -1.830213e-07 -9.944351e-07 7.940270e-05 2.223360e-04 -3.515172e-05 2.833618e-05
10192.000000 -2.969928e-05 -6.800909e-07 -1.681280e-07 -9.996960e-07 7.422373e-05 2.073584e-04 -3.954331e-05 2.354075e-05
10197.000000 -2.966521e-05 -6.833005e-07 -1.239157e-07 -1.000981e-06 7.903062e-05 1.858717e-04 -3.929552e-05 3.101886e-05
10202.000000 -2.960474e-05 -6.840526e-07 -3.952840e-08 -1.001305e-06 7.340141e-05 2.135611e-04 -3.978783e-05 6.312037e-05
10207.000000 -2.958034e-05 -6.863119e-07 -1.665601e-08 -1.002639e-06 7.379378e-05 2.132437e-04 -3.099270e-05 7.462775e-05
10212.000000 -2.958719e-05 -6.876091e-07 -3.389593e-08 -1.005622e-06 7.334053e-05 1.941244e-04 -3.659246e-05 7.015995e-05
10217.000000 -2.955744e-05 -6.893548e-07 -4.390847e-08 -1.007049e-06 7.077719e-05 1.802827e-04 -3.639756e-05 6.934697e-05
10222.000000 -2.951150e-05 -6.908228e-07 -5.176612e-08 -1.007844e-06 7.185405e-05 1.822334e-04 -2.880398e-05 7.901712e-05
10227.000000 -2.946079e-05 -6.927519e-07 -5.693957e-08 -1.008255e-06 6.947357e-05 1.687369e-04 -1.908191e-05 7.867838e-05
10232.000000 -2.938111e-05 -6.950893e-07 -5.922512e-08 -1.007812e-06 7.218301e-05 1.589398e-04 -3.191464e-05 7.316372e-05
10237.000000 -2.938637e-05 -6.981076e-07 -6.091713e-08 -1.010699e-06 7.934297e-05 1.538184e-04 -2.986025e-05 7.708563e-05
10242.000000 -2.930100e-05 -7.001775e-07 -6.206231e-08 -1.010156e-06 8.333923e-05 1.556161e-04 -4.203616e-05 7.997284e-05
10247.000000 -2.928844e-05 -7.025155e-07 -6.491385e-08 -1.012735e-06 8.046921e-05 1.570635e-04 -4.432364e-05 7.806308e-05
10252.000000 -2.929726e-05 -7.052205e-07 -6.476779e-08 -1.015830e-06 7.793454e-05 1.805686e-04 -4.488046e-05 5.311904e-05
10257.000000 -2.925389e-05 -7.072938e-07 -6.232041e-08 -1.017477e-06 8.525704e-05 2.019757e-04 -3.490138e-05 2.156876e-05
10262.000000 -2.911668e-05 -7.081172e-07 -6.176686e-08 -1.015187e-06 8.140029e-05 1.855804e-04 -3.492328e-05 2.517070e-05
10267.000000 -2.916177e-05 -7.139338e-07 -6.305545e-08 -1.020046e-06 8.496966e-05 1.833156e-04 -3.297278e-05 2.057471e-05
10272.000000 -2.916395e-05 -7.171451e-07 -6.394973e-08 -1.022811e-06 8.241803e-05 1.990625e-04 -2.750949e-05 2.735967e-05
10277.000000 -2.904061e-05 -7.181533e-07 -6.374772e-08 -1.021355e-06 8.268005e-05 2.145493e-04 -2.345557e-05 2.217829e-05
10282.000000 -2.886877e-05 -7.176460e-07 -6.283169e-08 -1.018301e-06 8.428348e-05 2.072585e-04 -2.442793e-05 1.506656e-05
10287.000000 -2.889686e-05 -7.206855e-07 -6.364666e-08 -1.022233e-06 7.426560e-05 1.961173e-04 -2.326738e-05 1.824729e-05
10292.000000 -2.872763e-05 -7.204770e-07 -6.511966e-08 -1.018423e-06 7.736128e-05 1.944831e-04 -1.943347e-05 2.587309e-05
10297.000000 -2.883041e-05 -7.258973e-07 -6.648121e-08 -1.025464e-06 8.447336e-05 1.730602e-04 -1.913845e-05 2.563021e-05
10302.000000 -2.892911e-05 -7.311829e-07 -6.677685e-08 -1.032061e-06 8.412452e-05 1.758691e-04 -1.864281e-05 2.816147e-05
10307.000000 -2.887861e-05 -7.330523e-07 -6.684472e-08 -1.033077e-06 7.744639e-05 1.667689e-04 -9.926837e-06 2.991368e-05
10312.000000 -2.884394e-05 -7.364954e-07 -6.700814e-08 -1.035067e-06 7.770484e-05 1.806176e-04 -1.022490e-05 2.844009e-05
10317.000000 -2.881426e-05 -7.397103e-07 -6.675248e-08 -1.037282e-06 8.969242e-05 1.798109e-04 -2.434739e-05 2.828176e-05
10322.000000 -2.874782e-05 -7.411928e-07 -6.629806e-08 -1.038274e-06 9.072723e-05 1.681257e-04 -1.987292e-05 2.628306e-05
10327.000000 -2.873234e-05 -7.448511e-07 -6.594162e-08 -1.041784e-06 8.533364e-05 1.543689e-04 -1.843964e-05 3.152689e-05
10332.000000 -2.861680e-05 -7.447599e-07 -6.523886e-08 -1.042272e-06 8.190042e-05 1.551104e-04 -7.924737e-06 2.548476e-05
10337.000000 -2.869994e-05 -7.491933e-07 -6.539014e-08 -1.048506e-06 7.404382e-05 1.261272e-04 -1.114165e-05 2.434295e-05
10341.000000 -2.865557e-05 -7.476470e-07 -6.561806e-08 -1.050621e-06 7.538807e-05 1.490361e-04 -1.093216e-05 2.867642e-05
10344.000000 -2.862157e-05 -7.468303e-07 -6.631618e-08 -1.052769e-06 8.387041e-05 1.572425e-04 -5.070725e-06 2.438883e-05
10346.000000 -2.858816e-05 -7.472655e-07 -6.686785e-08 -1.053676e-06 7.584335e-05 1.488380e-04 -1.367887e-05 2.647847e-05
10347.000000 -2.850641e-05 -7.457418e-07 -6.733034e-08 -1.051616e-06 8.073522e-05 1.891124e-04 -1.785076e-05 3.120441e-05
10347.200000 -2.852418e-05 -7.461901e-07 -6.740840e-08 -1.052618e-06 8.252994e-05 1.988523e-04 -1.935583e-05 3.200541e-05
10347.400000 -2.857083e-05 -7.470735e-07 -6.760742e-08 -1.054741e-06 7.860716e-05 1.843011e-04 -2.426315e-05 2.427873e-05
10347.600000 -2.858204e-05 -7.477241e-07 -6.801762e-08 -1.055627e-06 7.727896e-05 1.784816e-04 -1.769447e-05 1.894649e-05
10347.800000 -2.858153e-05 -7.482474e-07 -6.790963e-08 -1.055538e-06 8.481212e-05 1.514134e-04 -6.804382e-06 1.009398e-05
10348.000000 -2.857183e-05 -7.478499e-07 -6.789006e-08 -1.055960e-06 8.988126e-05 1.528550e-04 -4.837861e-06 2.688697e-05
10348.200000 -2.859374e-05 -7.498882e-07 -6.809036e-08 -1.056701e-06 8.216119e-05 1.863017e-04 -3.805044e-06 4.096499e-05
10348.400000 -2.856268e-05 -7.476107e-07 -6.797566e-08 -1.055893e-06 8.322696e-05 1.837308e-04 1.522147e-05 8.395539e-05
10348.600000 -2.858442e-05 -7.491086e-07 -6.821216e-08 -1.056974e-06 8.889444e-05 2.045006e-04 -6.059864e-06 7.652438e-05
10348.800000 -2.859985e-05 -7.503160e-07 -6.853236e-08 -1.057643e-06 8.420981e-05 1.880495e-04 -1.843250e-05 7.312147e-05
10349.000000 -2.855994e-05 -7.489721e-07 -6.842202e-08 -1.056527e-06 8.199792e-05 1.982980e-04 -1.107950e-05 8.570786e-05
10349.200000 -2.852923e-05 -7.461031e-07 -6.834122e-08 -1.056133e-06 7.283531e-05 2.060014e-04 -1.154269e-05 8.483463e-05
