# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.07112704643873
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.001831
# Detector.I1.voltage: -1650.002563
# Detector.I2.voltage: -1650.002075
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371006
# Scan.uid: 3a968e01-4a79-4c4e-afa1-6e27a6ac9900
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  04:48:34.507586
# Scan.end_time: 06/23/2023  04:49:07.365963
# Scan.name: CuGaO2-4th PP+O2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.524027769499998
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 119.50107516845067
# SampleHeater.temperature2.readback: 120.60000000000001
# SampleHeater.voltage.setpoint: 0.3593805702593249
# SampleHeater.voltage.readback: 0.362
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.98
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0732421875
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.048828125
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0895182266831398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.048828125
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1057942733168602
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.985798e-05 -6.991040e-07 -2.019423e-07 -9.995393e-07 6.968226e-05 2.868909e-04 -2.871654e-05 2.996713e-05
10172.000000 -2.976446e-05 -6.947512e-07 -1.997685e-07 -9.977255e-07 7.078877e-05 2.890921e-04 -2.499003e-05 2.576692e-05
10177.000000 -2.968727e-05 -6.940102e-07 -1.975669e-07 -9.960536e-07 7.003600e-05 2.882195e-04 -2.148781e-05 2.143852e-05
10182.000000 -2.949964e-05 -6.907652e-07 -1.929782e-07 -9.914435e-07 6.625824e-05 2.842798e-04 -2.367874e-05 2.864212e-05
10187.000000 -2.956026e-05 -6.920665e-07 -1.862604e-07 -9.971863e-07 7.051184e-05 2.706447e-04 -2.349215e-05 3.213892e-05
10192.000000 -2.955602e-05 -6.951317e-07 -1.707397e-07 -9.989764e-07 6.127688e-05 2.641748e-04 -1.294290e-05 2.663268e-05
10197.000000 -2.946871e-05 -6.970686e-07 -1.256205e-07 -9.975573e-07 6.118146e-05 2.655671e-04 -1.417800e-05 3.385031e-05
10202.000000 -2.951096e-05 -7.018627e-07 -3.991804e-08 -1.002274e-06 6.249612e-05 2.378817e-04 -2.687260e-05 3.609199e-05
10207.000000 -2.958161e-05 -7.049179e-07 -1.670169e-08 -1.007765e-06 5.942196e-05 2.264758e-04 -3.373275e-05 3.862148e-05
10212.000000 -2.956416e-05 -7.074684e-07 -3.459866e-08 -1.009374e-06 5.928696e-05 2.208440e-04 -4.168165e-05 4.280580e-05
10217.000000 -2.952820e-05 -7.096951e-07 -4.460910e-08 -1.010336e-06 5.619021e-05 2.468564e-04 -4.383511e-05 3.416780e-05
10222.000000 -2.949411e-05 -7.122587e-07 -5.248709e-08 -1.011506e-06 5.872737e-05 2.335010e-04 -4.094877e-05 4.028265e-05
10227.000000 -2.948699e-05 -7.150806e-07 -5.809162e-08 -1.014089e-06 6.366273e-05 2.382917e-04 -3.439816e-05 3.961362e-05
10232.000000 -2.940107e-05 -7.160219e-07 -6.029177e-08 -1.013347e-06 5.873910e-05 2.169565e-04 -4.193289e-05 4.146108e-05
10237.000000 -2.941052e-05 -7.187513e-07 -6.211711e-08 -1.016643e-06 6.699495e-05 2.335807e-04 -4.254678e-05 3.054101e-05
10242.000000 -2.939243e-05 -7.213619e-07 -6.351362e-08 -1.018760e-06 7.391846e-05 2.228056e-04 -4.349936e-05 2.975344e-05
10247.000000 -2.928870e-05 -7.231343e-07 -6.609385e-08 -1.017598e-06 6.877781e-05 2.179735e-04 -4.659232e-05 3.389422e-05
10252.000000 -2.913910e-05 -7.240727e-07 -6.554246e-08 -1.013926e-06 7.200617e-05 2.210204e-04 -4.159944e-05 3.006050e-05
10257.000000 -2.919827e-05 -7.267382e-07 -6.321483e-08 -1.019428e-06 5.711018e-05 1.965236e-04 -4.305978e-05 2.823108e-05
10262.000000 -2.916231e-05 -7.280003e-07 -6.288997e-08 -1.021189e-06 6.852018e-05 2.261009e-04 -4.593570e-05 3.949570e-05
10267.000000 -2.911006e-05 -7.299592e-07 -6.402939e-08 -1.022106e-06 6.625863e-05 2.379530e-04 -3.583183e-05 3.672917e-05
10272.000000 -2.911305e-05 -7.334451e-07 -6.462333e-08 -1.025106e-06 6.101626e-05 2.384531e-04 -3.580711e-05 3.249628e-05
10277.000000 -2.906202e-05 -7.350141e-07 -6.448949e-08 -1.026435e-06 6.017638e-05 2.123802e-04 -3.804590e-05 2.516124e-05
10282.000000 -2.896878e-05 -7.371847e-07 -6.367601e-08 -1.026648e-06 5.886656e-05 2.079461e-04 -4.738526e-05 2.961238e-05
10287.000000 -2.902888e-05 -7.421013e-07 -6.468684e-08 -1.031494e-06 5.683990e-05 1.887754e-04 -4.496802e-05 3.657261e-05
10292.000000 -2.893228e-05 -7.432394e-07 -6.649126e-08 -1.030329e-06 7.211357e-05 1.874084e-04 -4.931944e-05 3.784132e-05
10297.000000 -2.891414e-05 -7.466480e-07 -6.765660e-08 -1.032799e-06 7.841108e-05 1.947501e-04 -4.464902e-05 4.458985e-05
10302.000000 -2.890521e-05 -7.495678e-07 -6.754943e-08 -1.035251e-06 7.460319e-05 2.034218e-04 -3.831886e-05 2.399923e-05
10307.000000 -2.884270e-05 -7.516298e-07 -6.782389e-08 -1.035645e-06 7.181003e-05 1.987686e-04 -3.065636e-05 2.208227e-05
10312.000000 -2.881887e-05 -7.549101e-07 -6.808246e-08 -1.037910e-06 6.689004e-05 1.869149e-04 -3.114011e-05 2.328716e-05
10317.000000 -2.873051e-05 -7.564224e-07 -6.761070e-08 -1.037664e-06 6.626568e-05 1.864303e-04 -3.987214e-05 2.472286e-05
10322.000000 -2.881429e-05 -7.623494e-07 -6.754952e-08 -1.045393e-06 6.828105e-05 2.007675e-04 -4.285159e-05 2.764422e-05
10327.000000 -2.876501e-05 -7.639814e-07 -6.682282e-08 -1.047518e-06 7.158691e-05 1.858894e-04 -4.782359e-05 2.503953e-05
10332.000000 -2.860841e-05 -7.623595e-07 -6.620588e-08 -1.045795e-06 8.108978e-05 2.021935e-04 -4.193370e-05 3.043464e-05
10337.000000 -2.872015e-05 -7.691458e-07 -6.659834e-08 -1.053511e-06 8.338780e-05 2.007147e-04 -2.487963e-05 4.057354e-05
10341.000000 -2.869481e-05 -7.711606e-07 -6.730874e-08 -1.056070e-06 8.001834e-05 1.951917e-04 -2.593575e-05 7.658635e-05
10344.000000 -2.865754e-05 -7.714923e-07 -6.804233e-08 -1.057906e-06 7.479219e-05 1.989748e-04 -2.938182e-05 4.590285e-05
10346.000000 -2.864115e-05 -7.716958e-07 -6.870205e-08 -1.059806e-06 8.487607e-05 1.839048e-04 -2.924340e-05 3.247143e-05
10347.000000 -2.864788e-05 -7.717782e-07 -6.913843e-08 -1.061620e-06 8.462750e-05 1.605749e-04 -2.749028e-05 2.833175e-05
10347.200000 -2.864831e-05 -7.723891e-07 -6.934757e-08 -1.061840e-06 8.258334e-05 1.625358e-04 -2.632332e-05 1.878802e-05
10347.400000 -2.861531e-05 -7.694069e-07 -6.897248e-08 -1.060779e-06 8.761596e-05 1.421200e-04 -2.128555e-05 2.035706e-05
10347.600000 -2.860048e-05 -7.692856e-07 -6.921540e-08 -1.059958e-06 8.507529e-05 1.657388e-04 -1.735423e-05 2.341679e-05
10347.800000 -2.861420e-05 -7.714049e-07 -6.970100e-08 -1.061045e-06 7.620017e-05 1.638578e-04 -2.587088e-05 2.010032e-05
