# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.89728257531465
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -347.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.999268
# Detector.I1.voltage: -1649.99939
# Detector.I2.voltage: -1650.000244
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371010
# Scan.uid: df480ba0-8c47-4a26-88c7-7e485cf05d93
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  04:52:32.081185
# Scan.end_time: 06/23/2023  04:53:06.683087
# Scan.name: CuGaO2-4th PP+O2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.524046843
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 139.27208008368808
# SampleHeater.temperature2.readback: 140.3
# SampleHeater.voltage.setpoint: 0.3753156667369661
# SampleHeater.voltage.readback: 0.368
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.89
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.02848307229578495
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0732421875
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.048828125
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0935872420668602
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1057942733168602
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.984075e-05 -7.083076e-07 -2.032596e-07 -9.982478e-07 6.165950e-05 6.226648e-05 -4.403124e-05 7.147941e-05
10172.000000 -2.977283e-05 -7.034069e-07 -2.009596e-07 -9.974760e-07 6.627040e-05 5.174498e-05 -3.774088e-05 6.951862e-05
10177.000000 -2.970261e-05 -7.043801e-07 -1.992458e-07 -9.959805e-07 6.861585e-05 4.524178e-05 -4.175296e-05 6.481410e-05
10182.000000 -2.967722e-05 -7.057163e-07 -1.961216e-07 -9.980706e-07 6.521448e-05 6.018714e-05 -4.240136e-05 3.192948e-05
10187.000000 -2.960016e-05 -7.056011e-07 -1.887389e-07 -9.980396e-07 5.995526e-05 6.037250e-05 -3.554595e-05 2.853336e-05
10192.000000 -2.966297e-05 -7.095867e-07 -1.731985e-07 -1.002422e-06 5.643788e-05 8.538182e-05 -3.187982e-05 3.418766e-05
10197.000000 -2.961748e-05 -7.104697e-07 -1.274437e-07 -1.003023e-06 6.475343e-05 8.955927e-05 -4.148601e-05 3.099174e-05
10202.000000 -2.964518e-05 -7.124535e-07 -4.059001e-08 -1.006886e-06 6.684146e-05 9.262370e-05 -4.052270e-05 3.443279e-05
10207.000000 -2.963562e-05 -7.144713e-07 -1.682658e-08 -1.009282e-06 6.679611e-05 7.840430e-05 -4.631281e-05 3.700205e-05
10212.000000 -2.960729e-05 -7.171641e-07 -3.460557e-08 -1.010450e-06 6.324182e-05 7.146171e-05 -3.760753e-05 3.570736e-05
10217.000000 -2.955765e-05 -7.190161e-07 -4.483027e-08 -1.011221e-06 6.692715e-05 6.364892e-05 -2.909196e-05 3.173044e-05
10222.000000 -2.953707e-05 -7.224719e-07 -5.297003e-08 -1.012994e-06 6.836007e-05 7.197526e-05 -2.302909e-05 2.136228e-05
10227.000000 -2.938026e-05 -7.221472e-07 -5.853883e-08 -1.009171e-06 6.905679e-05 8.310581e-05 -1.565801e-05 2.707467e-05
10232.000000 -2.936909e-05 -7.251982e-07 -6.087331e-08 -1.011648e-06 6.597323e-05 1.028918e-04 -2.361731e-05 3.167192e-05
10237.000000 -2.944458e-05 -7.291090e-07 -6.272689e-08 -1.017395e-06 6.932753e-05 8.797939e-05 -1.225241e-05 3.189975e-05
10242.000000 -2.938715e-05 -7.306218e-07 -6.372274e-08 -1.018300e-06 6.367452e-05 9.519145e-05 -2.114317e-05 1.907441e-05
10247.000000 -2.929378e-05 -7.316966e-07 -6.630461e-08 -1.017786e-06 6.061464e-05 9.513723e-05 -2.588489e-05 2.179900e-05
10252.000000 -2.930355e-05 -7.347950e-07 -6.592021e-08 -1.021183e-06 6.866828e-05 9.128606e-05 -2.601465e-05 1.685961e-05
10257.000000 -2.921060e-05 -7.350033e-07 -6.356972e-08 -1.020274e-06 5.978987e-05 8.321900e-05 -2.313592e-05 2.294385e-05
10262.000000 -2.916570e-05 -7.368694e-07 -6.315701e-08 -1.022149e-06 6.169478e-05 7.814534e-05 -2.175838e-05 2.969716e-05
10267.000000 -2.923785e-05 -7.413727e-07 -6.451596e-08 -1.028270e-06 5.913860e-05 8.666183e-05 -2.340186e-05 3.339435e-05
10272.000000 -2.922785e-05 -7.444438e-07 -6.524973e-08 -1.030566e-06 5.410988e-05 8.395094e-05 -3.127189e-05 2.954101e-05
10277.000000 -2.908890e-05 -7.439010e-07 -6.488381e-08 -1.027591e-06 5.596347e-05 7.609558e-05 -2.836025e-05 2.157595e-05
10282.000000 -2.898186e-05 -7.449672e-07 -6.425372e-08 -1.026923e-06 5.683413e-05 9.975452e-05 -2.763695e-05 3.333642e-05
10287.000000 -2.900089e-05 -7.481552e-07 -6.490209e-08 -1.030400e-06 5.361884e-05 1.149971e-04 -3.312749e-05 2.138432e-05
10292.000000 -2.895780e-05 -7.504600e-07 -6.666817e-08 -1.031434e-06 5.370394e-05 9.967567e-05 -3.188848e-05 2.956595e-05
10297.000000 -2.895918e-05 -7.541058e-07 -6.780141e-08 -1.034777e-06 4.800197e-05 1.240286e-04 -2.227551e-05 6.168289e-05
10302.000000 -2.896841e-05 -7.578496e-07 -6.783976e-08 -1.037750e-06 4.593723e-05 1.115364e-04 -2.485785e-05 6.104219e-05
10307.000000 -2.886541e-05 -7.580133e-07 -6.793460e-08 -1.036348e-06 5.608360e-05 8.248417e-05 -2.510230e-05 6.915483e-05
10312.000000 -2.883683e-05 -7.607750e-07 -6.801017e-08 -1.038590e-06 5.432053e-05 9.818468e-05 -2.980665e-05 6.938267e-05
10317.000000 -2.883844e-05 -7.640906e-07 -6.763496e-08 -1.042786e-06 5.776996e-05 9.869109e-05 -2.667121e-05 6.078613e-05
10322.000000 -2.881928e-05 -7.668750e-07 -6.744170e-08 -1.046032e-06 5.025603e-05 8.821325e-05 -2.595610e-05 6.131048e-05
10327.000000 -2.876881e-05 -7.683737e-07 -6.693204e-08 -1.048098e-06 4.587153e-05 8.053378e-05 -2.886552e-05 5.673011e-05
10332.000000 -2.864190e-05 -7.687958e-07 -6.635146e-08 -1.047638e-06 5.355711e-05 6.802421e-05 -2.207248e-05 1.700084e-05
10337.000000 -2.868727e-05 -7.724856e-07 -6.660611e-08 -1.052250e-06 5.744962e-05 4.427851e-05 -9.621904e-06 1.233107e-05
10341.000000 -2.868429e-05 -7.742982e-07 -6.705173e-08 -1.056428e-06 5.825177e-05 6.193011e-05 -1.904388e-05 3.008112e-05
10344.000000 -2.864103e-05 -7.733995e-07 -6.760984e-08 -1.058185e-06 5.405924e-05 8.300944e-05 -2.963572e-05 6.205643e-05
10346.000000 -2.856582e-05 -7.721675e-07 -6.808961e-08 -1.057274e-06 4.618554e-05 9.423018e-05 -2.060563e-05 6.347852e-05
10347.000000 -2.853880e-05 -7.703605e-07 -6.843458e-08 -1.056917e-06 4.756564e-05 1.159811e-04 -2.717456e-05 5.817680e-05
10347.200000 -2.861177e-05 -7.741846e-07 -6.890091e-08 -1.060826e-06 4.484810e-05 1.226005e-04 -3.065500e-05 6.594644e-05
10347.400000 -2.863778e-05 -7.745620e-07 -6.883933e-08 -1.062126e-06 4.033329e-05 1.343874e-04 -3.594282e-05 6.036580e-05
10347.600000 -2.863513e-05 -7.745076e-07 -6.905118e-08 -1.062383e-06 4.335550e-05 1.304616e-04 -4.106215e-05 6.002200e-05
10347.800000 -2.858606e-05 -7.736705e-07 -6.897109e-08 -1.060181e-06 4.951240e-05 1.281452e-04 -3.465080e-05 6.706341e-05
