# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.3636851476284
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.998535
# Detector.I1.voltage: -1649.998901
# Detector.I2.voltage: -1650.000366
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371018
# Scan.uid: 4389bec7-eef4-459a-ae0f-f48df20d3c80
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  05:00:30.518866
# Scan.end_time: 06/23/2023  05:01:04.576126
# Scan.name: CuGaO2-4th PP+O2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.524027769499998
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 179.16143834590912
# SampleHeater.temperature2.readback: 181.0
# SampleHeater.voltage.setpoint: 0.4354148309263128
# SampleHeater.voltage.readback: 0.441
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.93
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0732421875
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.048828125
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0935872420668602
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1057942733168602
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.996059e-05 -7.107990e-07 -2.053214e-07 -1.002643e-06 6.488499e-05 7.203670e-05 -6.580879e-05 1.814381e-05
10172.000000 -2.984940e-05 -7.063027e-07 -2.030441e-07 -1.000654e-06 6.486105e-05 7.168883e-05 -7.113075e-05 3.489353e-05
10177.000000 -2.976096e-05 -7.053737e-07 -2.008451e-07 -9.987530e-07 6.998482e-05 7.391045e-05 -7.061021e-05 8.506922e-06
10182.000000 -2.975698e-05 -7.071609e-07 -1.975348e-07 -1.001159e-06 6.708950e-05 9.581991e-05 -7.095262e-05 3.671856e-06
10187.000000 -2.975400e-05 -7.070441e-07 -1.900832e-07 -1.004207e-06 6.369839e-05 1.116874e-04 -7.836292e-05 9.596514e-06
10192.000000 -2.981676e-05 -7.094103e-07 -1.742670e-07 -1.008815e-06 6.399207e-05 7.344988e-05 -7.941783e-05 1.648234e-05
10197.000000 -2.980205e-05 -7.113950e-07 -1.279960e-07 -1.010646e-06 7.051159e-05 5.231653e-05 -8.005293e-05 1.079595e-05
10202.000000 -2.974630e-05 -7.121325e-07 -4.055015e-08 -1.010887e-06 6.450402e-05 2.462386e-05 -8.367880e-05 1.647114e-05
10207.000000 -2.968377e-05 -7.125069e-07 -1.689924e-08 -1.011149e-06 5.902288e-05 8.253791e-06 -9.208190e-05 2.216372e-05
10212.000000 -2.965642e-05 -7.130594e-07 -3.462495e-08 -1.012633e-06 6.341803e-05 1.489006e-05 -9.733815e-05 2.368671e-05
10217.000000 -2.965328e-05 -7.161742e-07 -4.502773e-08 -1.015076e-06 6.867214e-05 1.883959e-05 -9.314160e-05 1.476590e-05
10222.000000 -2.960341e-05 -7.175252e-07 -5.309596e-08 -1.015594e-06 6.882536e-05 1.666648e-05 -8.999205e-05 2.159586e-05
10227.000000 -2.957567e-05 -7.199315e-07 -5.875615e-08 -1.017272e-06 7.009863e-05 1.778373e-05 -8.768187e-05 2.089989e-05
10232.000000 -2.942601e-05 -7.208921e-07 -6.064020e-08 -1.014303e-06 5.964972e-05 1.220208e-05 -8.277036e-05 2.619488e-05
10237.000000 -2.947121e-05 -7.246004e-07 -6.226848e-08 -1.019083e-06 5.686616e-05 2.221763e-05 -8.441782e-05 1.982258e-05
10242.000000 -2.946845e-05 -7.284588e-07 -6.367616e-08 -1.021810e-06 5.191935e-05 5.006977e-06 -8.155932e-05 4.796806e-05
10247.000000 -2.940119e-05 -7.302537e-07 -6.668243e-08 -1.022465e-06 5.330993e-05 3.578901e-06 -8.201196e-05 7.076626e-05
10252.000000 -2.938438e-05 -7.330979e-07 -6.650311e-08 -1.024768e-06 5.737862e-05 1.582103e-05 -8.076587e-05 7.777900e-05
10257.000000 -2.934497e-05 -7.358253e-07 -6.409174e-08 -1.026258e-06 5.775392e-05 2.655370e-05 -7.583449e-05 7.597889e-05
10262.000000 -2.925633e-05 -7.368687e-07 -6.368800e-08 -1.025913e-06 5.777579e-05 1.836352e-05 -8.302734e-05 6.357828e-05
10267.000000 -2.929202e-05 -7.410202e-07 -6.496135e-08 -1.030337e-06 5.336417e-05 2.988792e-05 -7.923580e-05 6.777278e-05
10272.000000 -2.925899e-05 -7.428829e-07 -6.566997e-08 -1.031845e-06 5.864981e-05 3.023178e-05 -6.693075e-05 7.605171e-05
10277.000000 -2.920680e-05 -7.457242e-07 -6.532270e-08 -1.033047e-06 6.320177e-05 3.616133e-05 -7.927175e-05 8.162836e-05
10282.000000 -2.907236e-05 -7.468039e-07 -6.472229e-08 -1.031303e-06 6.327397e-05 5.868188e-05 -7.326640e-05 7.231891e-05
10287.000000 -2.911917e-05 -7.511180e-07 -6.546892e-08 -1.035954e-06 6.593486e-05 7.858737e-05 -6.207054e-05 6.875818e-05
10292.000000 -2.907393e-05 -7.540699e-07 -6.743609e-08 -1.037392e-06 5.979571e-05 5.468407e-05 -6.763250e-05 6.009062e-05
10297.000000 -2.904874e-05 -7.573098e-07 -6.831719e-08 -1.039123e-06 5.899947e-05 4.605968e-05 -6.505746e-05 6.982880e-05
10302.000000 -2.905211e-05 -7.610936e-07 -6.859247e-08 -1.042183e-06 6.326499e-05 1.431637e-05 -5.536489e-05 7.608774e-05
10307.000000 -2.897730e-05 -7.622781e-07 -6.884993e-08 -1.042229e-06 6.171414e-05 5.124010e-06 -5.484294e-05 7.360408e-05
10312.000000 -2.892328e-05 -7.648024e-07 -6.901053e-08 -1.043190e-06 5.964360e-05 -6.829519e-06 -5.475406e-05 7.525149e-05
10317.000000 -2.884346e-05 -7.650992e-07 -6.862615e-08 -1.042588e-06 6.010406e-05 2.348105e-05 -5.745938e-05 6.238153e-05
10322.000000 -2.883542e-05 -7.676227e-07 -6.819204e-08 -1.046370e-06 6.288569e-05 3.036944e-05 -5.562793e-05 6.308521e-05
10327.000000 -2.883592e-05 -7.710325e-07 -6.771444e-08 -1.050429e-06 5.573542e-05 1.589006e-05 -5.920616e-05 5.902846e-05
10332.000000 -2.871451e-05 -7.708172e-07 -6.707755e-08 -1.050261e-06 5.458786e-05 1.947005e-05 -5.569538e-05 5.014492e-05
10337.000000 -2.878369e-05 -7.751822e-07 -6.727975e-08 -1.056404e-06 5.995652e-05 4.145847e-05 -5.997206e-05 3.475275e-05
10341.000000 -2.876882e-05 -7.766477e-07 -6.773278e-08 -1.059699e-06 5.765046e-05 3.769803e-05 -6.270615e-05 5.512599e-05
10344.000000 -2.869848e-05 -7.744914e-07 -6.829825e-08 -1.060168e-06 6.300699e-05 2.458514e-05 -6.589739e-05 6.991760e-05
10346.000000 -2.868103e-05 -7.735947e-07 -6.904598e-08 -1.062003e-06 7.031041e-05 1.580825e-05 -7.291598e-05 7.242661e-05
10347.000000 -2.868326e-05 -7.747390e-07 -6.953450e-08 -1.063329e-06 6.520278e-05 1.243158e-05 -7.204153e-05 7.192239e-05
10347.200000 -2.869225e-05 -7.763426e-07 -6.956665e-08 -1.064185e-06 6.737574e-05 7.024656e-06 -8.333343e-05 6.990944e-05
10347.400000 -2.869076e-05 -7.775244e-07 -6.995628e-08 -1.064589e-06 6.527469e-05 2.108125e-05 -6.423730e-05 6.971996e-05
10347.600000 -2.868757e-05 -7.757875e-07 -6.996276e-08 -1.064403e-06 6.547433e-05 1.478887e-06 -7.170299e-05 6.526093e-05
10347.800000 -2.868854e-05 -7.753517e-07 -6.980167e-08 -1.065094e-06 5.495479e-05 1.060602e-05 -7.629901e-05 5.661208e-05
