# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.58495336471384
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.001831
# Detector.I1.voltage: -1650.003174
# Detector.I2.voltage: -1650.003174
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371024
# Scan.uid: f79af610-fe2b-4338-9942-c2133d0a0e23
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  05:06:32.525414
# Scan.end_time: 06/23/2023  05:07:07.611814
# Scan.name: CuGaO2-4th PP+O2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.524027769499998
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 200.0
# SampleHeater.temperature2.readback: 199.3
# SampleHeater.voltage.setpoint: 0.5305222471998432
# SampleHeater.voltage.readback: 0.525
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 11.05
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.048828125
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.03662109375
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0732421875
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.048828125
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0935872420668602
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1057942733168602
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.03662109375
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.976434e-05 -6.948898e-07 -2.007750e-07 -1.003467e-06 3.230197e-05 -1.015806e-04 -4.712276e-05 8.820320e-06
10172.000000 -2.964885e-05 -6.893843e-07 -1.981853e-07 -1.001350e-06 3.455180e-05 -9.379438e-05 -4.052313e-05 1.332646e-05
10177.000000 -2.955388e-05 -6.902130e-07 -1.966052e-07 -9.992351e-07 4.642632e-05 -7.670246e-05 -4.269289e-05 9.190198e-06
10182.000000 -2.947348e-05 -6.910335e-07 -1.932936e-07 -9.987905e-07 5.663613e-05 -8.321879e-05 -3.050202e-05 3.644730e-06
10187.000000 -2.952992e-05 -6.916843e-07 -1.862409e-07 -1.004597e-06 4.692704e-05 -8.621810e-05 -2.719468e-05 1.291840e-05
10192.000000 -2.954858e-05 -6.944564e-07 -1.703587e-07 -1.007308e-06 3.747196e-05 -9.768171e-05 -2.729393e-05 1.492455e-05
10197.000000 -2.959491e-05 -6.965654e-07 -1.248967e-07 -1.012077e-06 3.753703e-05 -8.126008e-05 -2.703720e-05 1.884518e-05
10202.000000 -2.957448e-05 -6.992478e-07 -3.921238e-08 -1.013935e-06 3.973345e-05 -7.156681e-05 -3.391972e-05 9.326875e-06
10207.000000 -2.957290e-05 -7.011995e-07 -1.663048e-08 -1.016752e-06 3.719963e-05 -6.662269e-05 -3.996157e-05 -3.117401e-06
10212.000000 -2.954047e-05 -7.042400e-07 -3.460948e-08 -1.017756e-06 4.455933e-05 -7.317094e-05 -3.700364e-05 -6.495220e-06
10217.000000 -2.947193e-05 -7.059806e-07 -4.459457e-08 -1.017605e-06 4.421139e-05 -8.104046e-05 -3.701192e-05 -7.363196e-06
10222.000000 -2.947670e-05 -7.076718e-07 -5.220975e-08 -1.020362e-06 3.584613e-05 -7.432133e-05 -3.474157e-05 -2.953447e-06
10227.000000 -2.941711e-05 -7.089703e-07 -5.762075e-08 -1.020572e-06 3.410746e-05 -8.180827e-05 -3.019637e-05 4.342854e-06
10232.000000 -2.930201e-05 -7.129289e-07 -6.012527e-08 -1.021203e-06 3.911281e-05 -8.673477e-05 -4.333757e-05 9.816922e-06
10237.000000 -2.921206e-05 -7.129116e-07 -6.157622e-08 -1.016673e-06 4.701123e-05 -6.000765e-05 -4.755048e-05 6.749689e-06
10242.000000 -2.909422e-05 -7.130531e-07 -6.257147e-08 -1.014042e-06 4.314874e-05 -5.582912e-05 -4.702799e-05 7.048150e-06
10247.000000 -2.911916e-05 -7.135874e-07 -6.520006e-08 -1.018846e-06 4.960886e-05 -8.332047e-05 -5.044780e-05 4.047761e-06
10252.000000 -2.916534e-05 -7.157509e-07 -6.480178e-08 -1.024082e-06 4.468952e-05 -9.052724e-05 -4.332672e-05 3.720228e-07
10257.000000 -2.911427e-05 -7.179067e-07 -6.257653e-08 -1.024796e-06 4.383727e-05 -9.283061e-05 -3.759506e-05 1.793444e-06
10262.000000 -2.900930e-05 -7.190320e-07 -6.214915e-08 -1.023671e-06 5.234407e-05 -7.710242e-05 -5.272367e-05 -5.167085e-06
10267.000000 -2.900162e-05 -7.223641e-07 -6.339540e-08 -1.025928e-06 5.124898e-05 -8.106389e-05 -5.260956e-05 -3.250584e-06
10272.000000 -2.892768e-05 -7.247244e-07 -6.404543e-08 -1.025651e-06 4.406846e-05 -6.643133e-05 -5.033302e-05 1.684998e-06
10277.000000 -2.869208e-05 -7.239799e-07 -6.381821e-08 -1.018061e-06 4.998786e-05 -6.402131e-05 -4.431094e-05 -3.712294e-06
10282.000000 -2.857466e-05 -7.247028e-07 -6.286131e-08 -1.017229e-06 4.722261e-05 -6.867145e-05 -5.234734e-05 -1.450492e-05
10287.000000 -2.879737e-05 -7.314965e-07 -6.365436e-08 -1.030047e-06 4.415267e-05 -6.032315e-05 -4.954523e-05 -1.420815e-05
10292.000000 -2.868120e-05 -7.322185e-07 -6.580718e-08 -1.028174e-06 4.413656e-05 -6.543082e-05 -3.800675e-05 -6.408128e-06
10297.000000 -2.861851e-05 -7.349419e-07 -6.705998e-08 -1.028305e-06 4.590796e-05 -7.096406e-05 -3.861262e-05 -1.085324e-05
10302.000000 -2.858165e-05 -7.379210e-07 -6.682354e-08 -1.028830e-06 5.374612e-05 -8.535676e-05 -4.093223e-05 -1.328104e-05
10307.000000 -2.856090e-05 -7.410953e-07 -6.706971e-08 -1.030614e-06 5.927140e-05 -8.736847e-05 -4.070572e-05 -1.525116e-05
10312.000000 -2.856643e-05 -7.447597e-07 -6.720030e-08 -1.033611e-06 6.230301e-05 -8.560715e-05 -4.146616e-05 -1.415896e-05
10317.000000 -2.871370e-05 -7.494493e-07 -6.685033e-08 -1.044415e-06 6.199513e-05 -8.208177e-05 -4.692816e-05 -1.550185e-05
10322.000000 -2.866802e-05 -7.516215e-07 -6.654079e-08 -1.046092e-06 5.802992e-05 -9.180197e-05 -5.604312e-05 -5.955916e-06
10327.000000 -2.860792e-05 -7.533912e-07 -6.604095e-08 -1.047148e-06 5.159076e-05 -7.625936e-05 -5.860121e-05 -1.306864e-06
10332.000000 -2.846467e-05 -7.517228e-07 -6.531353e-08 -1.046185e-06 4.982898e-05 -1.107461e-04 -4.562690e-05 -3.776991e-06
10337.000000 -2.856492e-05 -7.566314e-07 -6.562725e-08 -1.053930e-06 5.330725e-05 -9.437272e-05 -4.135602e-05 7.479799e-06
10341.000000 -2.847319e-05 -7.573247e-07 -6.623778e-08 -1.053258e-06 5.293155e-05 -7.281963e-05 -3.267290e-05 3.732027e-06
10344.000000 -2.850712e-05 -7.586964e-07 -6.700158e-08 -1.058657e-06 6.462335e-05 -7.970559e-05 -4.816545e-05 2.106585e-07
10346.000000 -2.853620e-05 -7.613200e-07 -6.800866e-08 -1.062761e-06 6.952357e-05 -7.226407e-05 -5.318210e-05 -1.044727e-05
10347.000000 -2.850954e-05 -7.621804e-07 -6.840682e-08 -1.062539e-06 5.963099e-05 -4.196673e-05 -5.126741e-05 -2.027799e-05
10347.200000 -2.851367e-05 -7.623294e-07 -6.843825e-08 -1.063076e-06 5.610956e-05 -4.129566e-05 -6.453902e-05 -2.226135e-05
10347.400000 -2.852064e-05 -7.622085e-07 -6.844506e-08 -1.063540e-06 5.919276e-05 -6.187330e-05 -6.307092e-05 -1.701341e-05
10347.600000 -2.847548e-05 -7.612045e-07 -6.845936e-08 -1.062358e-06 6.036146e-05 -5.662058e-05 -5.619895e-05 -1.181256e-05
