# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.04638541941205
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.999146
# Detector.I1.voltage: -1650.001221
# Detector.I2.voltage: -1649.998169
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371026
# Scan.uid: f5f114c1-d6c9-4a92-af5e-910fa4548277
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  05:08:32.551632
# Scan.end_time: 06/23/2023  05:09:08.346065
# Scan.name: CuGaO2-4th PP+O2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.5239896225
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 200.0
# SampleHeater.temperature2.readback: 202.0
# SampleHeater.voltage.setpoint: 0.447467322669991
# SampleHeater.voltage.readback: 0.447
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 11.01
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.048828125
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0732421875
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0935872420668602
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1057942733168602
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.03662109375
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.974507e-05 -6.825238e-07 -1.972010e-07 -1.002285e-06 3.376918e-05 -3.655170e-06 -5.699846e-05 -1.615733e-06
10172.000000 -2.963849e-05 -6.785176e-07 -1.951027e-07 -1.000477e-06 3.898701e-05 4.474358e-06 -6.445876e-05 -3.948735e-06
10177.000000 -2.955972e-05 -6.811231e-07 -1.938550e-07 -9.993181e-07 4.653251e-05 3.160566e-05 -6.975760e-05 -2.468368e-07
10182.000000 -2.950600e-05 -6.823569e-07 -1.908015e-07 -1.000632e-06 4.402878e-05 2.295676e-05 -6.985290e-05 1.841254e-06
10187.000000 -2.951984e-05 -6.826592e-07 -1.838000e-07 -1.004423e-06 3.571445e-05 4.655842e-05 -7.088375e-05 -3.919932e-06
10192.000000 -2.957248e-05 -6.864154e-07 -1.683592e-07 -1.008280e-06 2.798280e-05 7.943465e-05 -7.654119e-05 -1.105166e-05
10197.000000 -2.953874e-05 -6.879308e-07 -1.232142e-07 -1.008939e-06 3.178597e-05 1.031286e-04 -7.246332e-05 -4.534963e-06
10202.000000 -2.949735e-05 -6.899786e-07 -3.885832e-08 -1.010075e-06 4.086528e-05 1.099952e-04 -6.148711e-05 -2.622531e-07
10207.000000 -2.942838e-05 -6.931000e-07 -1.665202e-08 -1.009347e-06 4.996289e-05 9.726943e-05 -6.112518e-05 -3.621981e-06
10212.000000 -2.937717e-05 -6.953215e-07 -3.411901e-08 -1.009600e-06 5.866857e-05 1.021097e-04 -5.612298e-05 -2.311215e-06
10217.000000 -2.938562e-05 -6.966641e-07 -4.410811e-08 -1.012535e-06 4.886936e-05 9.241602e-05 -4.627888e-05 -1.494199e-06
10222.000000 -2.932751e-05 -6.979839e-07 -5.195293e-08 -1.012200e-06 4.562142e-05 9.009297e-05 -4.426487e-05 -2.902384e-06
10227.000000 -2.931517e-05 -6.984955e-07 -5.714859e-08 -1.014491e-06 4.034076e-05 8.255027e-05 -5.191154e-05 -7.591337e-06
10232.000000 -2.920032e-05 -6.993664e-07 -5.931130e-08 -1.012357e-06 4.677218e-05 7.742986e-05 -5.430066e-05 -2.781126e-06
10237.000000 -2.913746e-05 -7.007957e-07 -6.066018e-08 -1.012477e-06 5.651476e-05 7.285656e-05 -5.707727e-05 3.039075e-06
10242.000000 -2.908821e-05 -7.020458e-07 -6.187276e-08 -1.013414e-06 7.170497e-05 6.127520e-05 -5.515275e-05 9.573726e-06
10247.000000 -2.907445e-05 -7.032734e-07 -6.436381e-08 -1.016393e-06 6.306543e-05 6.481142e-05 -5.438128e-05 1.330543e-06
10252.000000 -2.896509e-05 -7.037352e-07 -6.385700e-08 -1.014352e-06 5.010912e-05 7.377675e-05 -5.770349e-05 1.070074e-06
10257.000000 -2.901680e-05 -7.067069e-07 -6.151469e-08 -1.020234e-06 4.627251e-05 6.982280e-05 -5.637578e-05 -4.426463e-06
10262.000000 -2.894403e-05 -7.088685e-07 -6.134321e-08 -1.020425e-06 4.948080e-05 6.853320e-05 -5.231374e-05 -9.767480e-06
10267.000000 -2.898086e-05 -7.133095e-07 -6.286884e-08 -1.024265e-06 5.923456e-05 8.043621e-05 -4.545522e-05 -8.600196e-06
10272.000000 -2.903856e-05 -7.163365e-07 -6.363261e-08 -1.030425e-06 4.848343e-05 7.467880e-05 -4.443816e-05 5.534027e-06
10277.000000 -2.898917e-05 -7.177647e-07 -6.309952e-08 -1.031721e-06 5.285473e-05 8.663492e-05 -5.162433e-05 1.163816e-06
10282.000000 -2.882022e-05 -7.189575e-07 -6.238839e-08 -1.028298e-06 5.202053e-05 9.594783e-05 -5.093945e-05 -6.906520e-07
10287.000000 -2.886068e-05 -7.231547e-07 -6.327501e-08 -1.032620e-06 5.474233e-05 1.202752e-04 -5.421256e-05 1.670907e-06
10292.000000 -2.888661e-05 -7.260766e-07 -6.538306e-08 -1.037002e-06 5.330869e-05 1.066366e-04 -4.664502e-05 -3.595394e-06
10297.000000 -2.881931e-05 -7.279723e-07 -6.629161e-08 -1.037342e-06 4.892764e-05 9.147100e-05 -5.063026e-05 -1.649014e-05
10302.000000 -2.883619e-05 -7.317565e-07 -6.607323e-08 -1.040855e-06 5.317840e-05 9.926894e-05 -4.458942e-05 -5.096022e-06
10307.000000 -2.876861e-05 -7.348250e-07 -6.612155e-08 -1.040655e-06 5.073541e-05 1.007810e-04 -5.039546e-05 -1.249768e-05
10312.000000 -2.876000e-05 -7.381898e-07 -6.649256e-08 -1.043504e-06 4.916323e-05 7.465189e-05 -5.452579e-05 1.471149e-05
10317.000000 -2.872878e-05 -7.416074e-07 -6.645175e-08 -1.045427e-06 5.254749e-05 7.336439e-05 -6.350284e-05 4.519901e-05
10322.000000 -2.857492e-05 -7.436502e-07 -6.608304e-08 -1.041452e-06 5.329325e-05 5.878100e-05 -6.156932e-05 4.785702e-05
10327.000000 -2.855982e-05 -7.474012e-07 -6.577386e-08 -1.044590e-06 5.264877e-05 7.192086e-05 -5.842946e-05 3.701153e-05
10332.000000 -2.852565e-05 -7.485074e-07 -6.505543e-08 -1.048986e-06 4.960392e-05 9.757724e-05 -5.501275e-05 2.703664e-05
10337.000000 -2.865322e-05 -7.539846e-07 -6.541115e-08 -1.057968e-06 5.068772e-05 6.048907e-05 -5.847906e-05 8.411045e-06
10341.000000 -2.859937e-05 -7.545839e-07 -6.589380e-08 -1.059397e-06 4.183203e-05 8.411410e-06 -6.197371e-05 6.597265e-06
10344.000000 -2.854896e-05 -7.549432e-07 -6.662897e-08 -1.060644e-06 3.731532e-05 -3.080770e-05 -6.706759e-05 -5.045089e-07
10346.000000 -2.856654e-05 -7.562664e-07 -6.738103e-08 -1.063937e-06 4.127565e-05 -6.083097e-05 -6.566758e-05 1.480196e-06
10347.000000 -2.855232e-05 -7.556404e-07 -6.788190e-08 -1.064636e-06 4.507960e-05 -7.633202e-05 -6.569344e-05 -5.816574e-07
10347.200000 -2.857143e-05 -7.554089e-07 -6.809072e-08 -1.065431e-06 4.272476e-05 -6.995496e-05 -7.516906e-05 3.687860e-06
10347.400000 -2.856504e-05 -7.563994e-07 -6.819604e-08 -1.065781e-06 3.538134e-05 -7.946282e-05 -6.640054e-05 -5.715907e-07
10347.600000 -2.855343e-05 -7.559205e-07 -6.826323e-08 -1.065520e-06 3.678220e-05 -7.504437e-05 -6.197383e-05 -6.982044e-06
