# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.19157410487315
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.997925
# Detector.I1.voltage: -1650.001343
# Detector.I2.voltage: -1650.001709
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371038
# Scan.uid: 5d46417e-01e1-4105-9d51-88b02284a652
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  05:20:26.547337
# Scan.end_time: 06/23/2023  05:21:00.366773
# Scan.name: CuGaO2-4th PP+O2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.523970548999998
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 218.78385786215463
# SampleHeater.temperature2.readback: 219.3
# SampleHeater.voltage.setpoint: 0.552037699241082
# SampleHeater.voltage.readback: 0.553
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.950000000000001
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.03662109375
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0935872420668602
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1057942733168602
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0406901054084301
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.978167e-05 -6.813384e-07 -1.972459e-07 -1.003140e-06 1.770170e-05 -1.271355e-04 -2.659821e-05 4.308684e-05
10172.000000 -2.966361e-05 -6.777296e-07 -1.953936e-07 -1.001122e-06 2.578246e-05 -8.516600e-05 -2.385183e-05 4.432111e-05
10177.000000 -2.963231e-05 -6.769662e-07 -1.930294e-07 -1.002396e-06 2.226004e-05 -8.942002e-05 -2.454654e-05 3.391045e-05
10182.000000 -2.958528e-05 -6.766280e-07 -1.894293e-07 -1.003806e-06 1.762391e-05 -8.749767e-05 -2.834368e-05 3.155610e-05
10187.000000 -2.951251e-05 -6.770950e-07 -1.827225e-07 -1.003124e-06 2.398977e-05 -8.436658e-05 -2.963937e-05 3.023908e-05
10192.000000 -2.960653e-05 -6.806235e-07 -1.676916e-07 -1.009290e-06 2.702024e-05 -9.398404e-05 -2.479662e-05 3.232559e-05
10197.000000 -2.961335e-05 -6.840467e-07 -1.231196e-07 -1.011749e-06 2.479104e-05 -9.732254e-05 -2.737782e-05 1.924285e-05
10202.000000 -2.958948e-05 -6.857509e-07 -3.874374e-08 -1.013446e-06 2.111398e-05 -1.103099e-04 -2.533392e-05 2.092300e-05
10207.000000 -2.957820e-05 -6.876918e-07 -1.656649e-08 -1.015543e-06 2.198941e-05 -1.030221e-04 -2.270852e-05 2.714724e-05
10212.000000 -2.955222e-05 -6.898798e-07 -3.390176e-08 -1.017341e-06 1.672207e-05 -7.090854e-05 -2.966817e-05 2.780521e-05
10217.000000 -2.951101e-05 -6.924814e-07 -4.378944e-08 -1.018352e-06 1.562272e-05 -8.603597e-05 -2.901397e-05 2.208712e-05
10222.000000 -2.947799e-05 -6.946298e-07 -5.180478e-08 -1.019455e-06 2.281920e-05 -7.061281e-05 -3.833646e-05 1.734865e-05
10227.000000 -2.941321e-05 -6.969106e-07 -5.699272e-08 -1.019118e-06 2.351866e-05 -8.832899e-05 -3.754938e-05 2.088904e-05
10232.000000 -2.935625e-05 -6.985310e-07 -5.912176e-08 -1.019859e-06 2.374412e-05 -9.525263e-05 -3.405054e-05 2.242608e-05
10237.000000 -2.932310e-05 -7.003702e-07 -6.075002e-08 -1.021390e-06 3.031145e-05 -1.007832e-04 -3.503650e-05 1.590269e-05
10242.000000 -2.930885e-05 -7.022423e-07 -6.200575e-08 -1.024355e-06 3.073056e-05 -1.149982e-04 -3.654019e-05 2.342674e-05
10247.000000 -2.920265e-05 -7.037909e-07 -6.443228e-08 -1.023115e-06 2.980994e-05 -1.301787e-04 -3.942058e-05 3.440701e-05
10252.000000 -2.923691e-05 -7.057551e-07 -6.396493e-08 -1.027713e-06 2.193555e-05 -8.897605e-05 -4.757195e-05 3.432315e-05
10257.000000 -2.911078e-05 -7.085733e-07 -6.169730e-08 -1.024843e-06 2.404229e-05 -7.411561e-05 -4.944080e-05 3.285484e-05
10262.000000 -2.899857e-05 -7.097658e-07 -6.140232e-08 -1.023050e-06 3.240600e-05 -7.384296e-05 -3.343112e-05 3.781710e-05
10267.000000 -2.911122e-05 -7.137955e-07 -6.277922e-08 -1.030963e-06 2.970694e-05 -6.203057e-05 -3.689888e-05 4.242474e-05
10272.000000 -2.916278e-05 -7.157672e-07 -6.359472e-08 -1.037020e-06 3.258027e-05 -5.920679e-05 -4.305300e-05 4.034636e-05
10277.000000 -2.907986e-05 -7.175927e-07 -6.333216e-08 -1.036605e-06 3.195544e-05 -5.261007e-05 -4.650033e-05 4.323821e-05
10282.000000 -2.894144e-05 -7.184053e-07 -6.229115e-08 -1.034504e-06 3.248867e-05 -2.275495e-05 -3.489137e-05 4.211706e-05
10287.000000 -2.896803e-05 -7.226918e-07 -6.305590e-08 -1.038336e-06 3.787269e-05 -3.182819e-05 -3.328451e-05 4.470440e-05
10292.000000 -2.890130e-05 -7.250216e-07 -6.510098e-08 -1.038166e-06 4.053611e-05 -3.538313e-05 -4.165719e-05 4.053377e-05
10297.000000 -2.893533e-05 -7.277280e-07 -6.595604e-08 -1.042987e-06 4.215863e-05 -3.036271e-05 -3.869512e-05 4.780565e-05
10302.000000 -2.894855e-05 -7.313357e-07 -6.626928e-08 -1.046400e-06 4.259266e-05 2.473846e-06 -4.483699e-05 5.514292e-05
10307.000000 -2.888505e-05 -7.334659e-07 -6.637831e-08 -1.046591e-06 3.773843e-05 1.561294e-05 -4.528074e-05 4.776745e-05
10312.000000 -2.882882e-05 -7.356630e-07 -6.646558e-08 -1.046984e-06 3.179011e-05 4.876604e-07 -4.461736e-05 3.420624e-05
10317.000000 -2.874520e-05 -7.379364e-07 -6.631907e-08 -1.046794e-06 3.594402e-05 1.089675e-05 -3.870052e-05 4.257956e-05
10322.000000 -2.875439e-05 -7.401572e-07 -6.571657e-08 -1.051501e-06 3.421391e-05 -1.935080e-06 -3.630356e-05 6.238122e-05
10327.000000 -2.874453e-05 -7.433134e-07 -6.535042e-08 -1.054849e-06 3.562251e-05 -3.115470e-05 -3.887615e-05 8.326797e-05
10332.000000 -2.857168e-05 -7.421051e-07 -6.473311e-08 -1.052674e-06 3.359977e-05 -4.490778e-05 -4.721280e-05 8.363888e-05
10337.000000 -2.868987e-05 -7.473211e-07 -6.505754e-08 -1.061222e-06 2.899663e-05 -7.340719e-05 -5.108457e-05 7.767696e-05
10341.000000 -2.864760e-05 -7.490686e-07 -6.558570e-08 -1.063233e-06 2.004566e-05 -4.936423e-05 -5.100991e-05 7.350807e-05
10344.000000 -2.860063e-05 -7.493040e-07 -6.630585e-08 -1.064604e-06 2.301623e-05 -5.207560e-05 -4.684371e-05 6.959508e-05
10346.000000 -2.855757e-05 -7.500519e-07 -6.711576e-08 -1.065029e-06 2.663838e-05 -4.724011e-05 -5.161903e-05 7.765277e-05
10347.000000 -2.852254e-05 -7.509570e-07 -6.737658e-08 -1.064664e-06 2.512709e-05 -6.523374e-05 -4.146952e-05 4.200445e-05
10347.200000 -2.859237e-05 -7.527205e-07 -6.743498e-08 -1.068080e-06 2.749413e-05 -5.761910e-05 -4.949903e-05 3.097172e-05
10347.400000 -2.861218e-05 -7.528813e-07 -6.752143e-08 -1.069570e-06 2.749569e-05 -3.220110e-05 -5.965849e-05 2.614158e-05
10347.600000 -2.858771e-05 -7.528135e-07 -6.770731e-08 -1.067623e-06 3.100098e-05 -6.336074e-05 -4.170244e-05 4.174609e-05
