# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.9005044997659
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -349.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.000732
# Detector.I1.voltage: -1650.003418
# Detector.I2.voltage: -1650.002197
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371040
# Scan.uid: 7eafc525-aac9-49b0-a070-7f91f0a04a97
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  05:22:26.087105
# Scan.end_time: 06/23/2023  05:23:01.088650
# Scan.name: CuGaO2-4th PP+O2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.524008696
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 228.7658059000969
# SampleHeater.temperature2.readback: 229.3
# SampleHeater.voltage.setpoint: 0.5455560029991205
# SampleHeater.voltage.readback: 0.545
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.88
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.03662109375
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.09765625
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.10986328125
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.03662109375
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.974631e-05 -6.727158e-07 -1.954340e-07 -1.003412e-06 -4.882819e-06 -7.269959e-05 -4.936803e-05 3.557047e-05
10172.000000 -2.960938e-05 -6.692405e-07 -1.934352e-07 -1.000621e-06 -7.657245e-06 -6.674125e-05 -5.432253e-05 2.875247e-05
10177.000000 -2.954801e-05 -6.687580e-07 -1.912792e-07 -1.000475e-06 3.251254e-06 -4.327903e-05 -4.994110e-05 2.432859e-05
10182.000000 -2.943040e-05 -6.674414e-07 -1.874519e-07 -9.984846e-07 6.385404e-06 -4.423346e-05 -4.199831e-05 1.758943e-05
10187.000000 -2.942844e-05 -6.682125e-07 -1.810720e-07 -1.001173e-06 6.189410e-06 -3.887357e-05 -4.660289e-05 9.478890e-06
10192.000000 -2.942026e-05 -6.721802e-07 -1.662001e-07 -1.002350e-06 5.165019e-06 -3.584084e-05 -5.629444e-05 1.204569e-05
10197.000000 -2.937552e-05 -6.733637e-07 -1.218572e-07 -1.002778e-06 1.038870e-05 -2.334464e-05 -4.825496e-05 1.265034e-05
10202.000000 -2.941106e-05 -6.732407e-07 -3.841403e-08 -1.007915e-06 4.953479e-06 -3.906950e-05 -4.880448e-05 9.103946e-06
10207.000000 -2.944545e-05 -6.741154e-07 -1.619282e-08 -1.012358e-06 -6.087970e-07 -3.328766e-05 -4.362104e-05 1.296472e-05
10212.000000 -2.941560e-05 -6.753934e-07 -3.335948e-08 -1.013873e-06 -5.152416e-06 -2.432838e-05 -5.062349e-05 1.290303e-05
10217.000000 -2.929381e-05 -6.768043e-07 -4.333092e-08 -1.010653e-06 -1.819935e-06 -5.105881e-05 -5.021592e-05 1.283180e-05
10222.000000 -2.902018e-05 -6.782488e-07 -5.116801e-08 -1.000935e-06 -3.600526e-06 -4.629341e-05 -5.063478e-05 1.400821e-05
10227.000000 -2.920043e-05 -6.813405e-07 -5.621812e-08 -1.011863e-06 -1.527846e-06 -4.437207e-05 -5.118629e-05 1.570808e-05
10232.000000 -2.913524e-05 -6.841758e-07 -5.824728e-08 -1.011883e-06 -8.849191e-06 -2.687841e-05 -5.141195e-05 1.717473e-05
10237.000000 -2.910314e-05 -6.877202e-07 -5.988633e-08 -1.013449e-06 -6.149353e-06 -3.322821e-05 -5.855353e-05 1.682009e-05
10242.000000 -2.914924e-05 -6.896943e-07 -6.102742e-08 -1.019147e-06 -2.586601e-06 -4.580624e-05 -5.560437e-05 1.692074e-05
10247.000000 -2.916105e-05 -6.909131e-07 -6.345554e-08 -1.023505e-06 1.884600e-07 -7.293865e-05 -5.839535e-05 2.041426e-05
10252.000000 -2.915357e-05 -6.938214e-07 -6.338435e-08 -1.025715e-06 -7.452950e-06 -6.246326e-05 -6.116712e-05 2.594280e-05
10257.000000 -2.910866e-05 -6.958801e-07 -6.098412e-08 -1.026576e-06 -3.778879e-06 -5.891864e-05 -6.308546e-05 2.472084e-05
10262.000000 -2.898850e-05 -6.966711e-07 -6.070117e-08 -1.024756e-06 -5.988074e-06 -6.342066e-05 -6.141631e-05 1.170994e-05
10267.000000 -2.904810e-05 -7.000184e-07 -6.195316e-08 -1.030002e-06 -6.829978e-06 -4.606523e-05 -4.216146e-05 1.415181e-05
10272.000000 -2.902009e-05 -7.023279e-07 -6.279491e-08 -1.031654e-06 -1.042333e-05 -7.856744e-05 -4.299618e-05 1.252085e-05
10277.000000 -2.889551e-05 -7.046247e-07 -6.249745e-08 -1.029315e-06 1.977958e-07 -5.206712e-05 -5.648799e-05 1.724252e-05
10282.000000 -2.876377e-05 -7.048176e-07 -6.164350e-08 -1.027859e-06 7.921527e-06 -4.438733e-05 -4.784013e-05 3.202021e-05
10287.000000 -2.881186e-05 -7.080721e-07 -6.213721e-08 -1.033079e-06 -6.383531e-06 -3.302994e-05 -5.891676e-05 3.205733e-05
10292.000000 -2.879649e-05 -7.111572e-07 -6.429647e-08 -1.035444e-06 -3.631837e-06 -2.656684e-05 -5.627728e-05 3.795759e-05
10297.000000 -2.878854e-05 -7.139958e-07 -6.513466e-08 -1.038033e-06 -6.216186e-07 -5.497016e-05 -5.898754e-05 3.289515e-05
10302.000000 -2.879295e-05 -7.169843e-07 -6.508384e-08 -1.041233e-06 -6.453710e-06 -7.876844e-05 -5.664711e-05 3.180322e-05
10307.000000 -2.871974e-05 -7.194191e-07 -6.556253e-08 -1.040657e-06 -3.127778e-06 -7.287518e-05 -4.888996e-05 3.640194e-05
10312.000000 -2.870567e-05 -7.217492e-07 -6.570602e-08 -1.043188e-06 5.028481e-06 -7.399745e-05 -4.790255e-05 4.019790e-05
10317.000000 -2.868558e-05 -7.238382e-07 -6.546324e-08 -1.045969e-06 1.235113e-06 -6.379811e-05 -5.453189e-05 3.394027e-05
10322.000000 -2.860619e-05 -7.255878e-07 -6.494652e-08 -1.046311e-06 -6.720632e-06 -8.804836e-05 -5.617458e-05 3.359913e-05
10327.000000 -2.858460e-05 -7.273977e-07 -6.427194e-08 -1.049510e-06 -1.090915e-05 -8.582523e-05 -4.923947e-05 3.710009e-05
10332.000000 -2.847709e-05 -7.283171e-07 -6.386773e-08 -1.049769e-06 -4.967874e-07 -9.556554e-05 -5.799559e-05 4.054715e-05
10337.000000 -2.857200e-05 -7.341061e-07 -6.419903e-08 -1.057116e-06 5.377247e-06 -7.178646e-05 -6.160069e-05 2.990755e-05
10341.000000 -2.854191e-05 -7.374172e-07 -6.478650e-08 -1.059443e-06 1.155979e-05 -6.187816e-05 -6.173422e-05 3.040677e-05
10344.000000 -2.855714e-05 -7.375064e-07 -6.533506e-08 -1.063214e-06 1.201889e-05 -6.566688e-05 -6.286191e-05 2.604706e-05
10346.000000 -2.852306e-05 -7.378270e-07 -6.613823e-08 -1.064269e-06 1.537306e-05 -7.435920e-05 -6.139395e-05 2.286601e-05
10347.000000 -2.849657e-05 -7.378790e-07 -6.679536e-08 -1.064553e-06 2.064780e-05 -8.810937e-05 -6.449550e-05 2.568893e-05
10347.200000 -2.850167e-05 -7.369922e-07 -6.687835e-08 -1.065165e-06 1.890486e-05 -9.888360e-05 -6.948268e-05 3.214528e-05
10347.400000 -2.850535e-05 -7.374349e-07 -6.700885e-08 -1.065476e-06 1.856650e-05 -8.743713e-05 -7.047142e-05 2.368285e-05
10347.600000 -2.850846e-05 -7.404526e-07 -6.750562e-08 -1.065494e-06 2.255006e-05 -8.697509e-05 -5.192096e-05 2.440224e-05
