# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.2268517750596
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.002319
# Detector.I1.voltage: -1650.00061
# Detector.I2.voltage: -1650.001465
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371042
# Scan.uid: 0b7392d5-5ed3-4ade-847d-61ffffc20125
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  05:24:29.050891
# Scan.end_time: 06/23/2023  05:25:01.562986
# Scan.name: CuGaO2-4th PP+O2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.524027769499998
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 239.04172984759012
# SampleHeater.temperature2.readback: 240.10000000000002
# SampleHeater.voltage.setpoint: 0.545777358333896
# SampleHeater.voltage.readback: 0.545
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.82
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.03662109375
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.09765625
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1057942733168602
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0406901054084301
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.952376e-05 -6.478878e-07 -1.882471e-07 -9.956850e-07 2.016745e-05 -1.686756e-04 -4.876121e-05 2.308741e-05
10172.000000 -2.941279e-05 -6.492479e-07 -1.876081e-07 -9.935376e-07 2.502873e-05 -1.729128e-04 -5.707822e-05 2.003545e-05
10177.000000 -2.939778e-05 -6.538552e-07 -1.871399e-07 -9.950706e-07 3.035151e-05 -1.964896e-04 -6.413687e-05 1.096780e-05
10182.000000 -2.938735e-05 -6.576017e-07 -1.847014e-07 -9.970295e-07 3.899794e-05 -1.726940e-04 -6.703807e-05 1.097443e-05
10187.000000 -2.936676e-05 -6.606453e-07 -1.787000e-07 -9.988396e-07 4.399306e-05 -1.583780e-04 -6.511205e-05 9.657793e-06
10192.000000 -2.940650e-05 -6.663972e-07 -1.643318e-07 -1.002333e-06 4.942599e-05 -1.597684e-04 -6.521622e-05 1.555013e-05
10197.000000 -2.947099e-05 -6.712624e-07 -1.208491e-07 -1.007918e-06 4.658691e-05 -1.673335e-04 -6.011074e-05 1.767393e-05
10202.000000 -2.932535e-05 -6.750174e-07 -3.832773e-08 -1.004242e-06 3.942960e-05 -1.660231e-04 -5.603647e-05 2.311065e-05
10207.000000 -2.936787e-05 -6.793600e-07 -1.654153e-08 -1.008534e-06 3.431136e-05 -1.651341e-04 -4.957660e-05 4.125690e-06
10212.000000 -2.945327e-05 -6.831899e-07 -3.381537e-08 -1.014628e-06 3.743849e-05 -1.636308e-04 -5.042932e-05 7.557782e-06
10217.000000 -2.943629e-05 -6.866101e-07 -4.383578e-08 -1.016443e-06 3.281529e-05 -1.552287e-04 -4.563520e-05 4.918123e-05
10222.000000 -2.939416e-05 -6.903703e-07 -5.169556e-08 -1.017219e-06 3.224931e-05 -1.381950e-04 -4.745821e-05 7.065732e-05
10227.000000 -2.937350e-05 -6.936703e-07 -5.683060e-08 -1.019007e-06 2.817212e-05 -1.661339e-04 -5.766379e-05 6.714053e-05
10232.000000 -2.931151e-05 -6.958227e-07 -5.897535e-08 -1.019985e-06 3.201154e-05 -1.651329e-04 -5.255055e-05 6.380449e-05
10237.000000 -2.929933e-05 -6.996782e-07 -6.077247e-08 -1.022454e-06 4.358731e-05 -1.541605e-04 -5.137233e-05 6.969350e-05
10242.000000 -2.921195e-05 -7.019890e-07 -6.212836e-08 -1.021783e-06 4.458949e-05 -1.559446e-04 -4.747434e-05 6.240879e-05
10247.000000 -2.916980e-05 -7.026390e-07 -6.460323e-08 -1.023107e-06 3.441465e-05 -1.691216e-04 -5.204693e-05 6.256552e-05
10252.000000 -2.919258e-05 -7.056983e-07 -6.458927e-08 -1.026965e-06 3.420690e-05 -1.599706e-04 -4.641044e-05 6.399816e-05
10257.000000 -2.915556e-05 -7.083238e-07 -6.226162e-08 -1.028094e-06 3.789365e-05 -1.432795e-04 -4.266057e-05 7.039025e-05
10262.000000 -2.907770e-05 -7.093606e-07 -6.177675e-08 -1.028008e-06 3.953007e-05 -1.551815e-04 -5.315582e-05 7.883104e-05
10267.000000 -2.908000e-05 -7.126802e-07 -6.285992e-08 -1.030525e-06 3.740383e-05 -1.503718e-04 -6.032370e-05 7.778886e-05
10272.000000 -2.908987e-05 -7.151722e-07 -6.362743e-08 -1.034181e-06 4.061125e-05 -1.309873e-04 -6.169533e-05 6.803217e-05
10277.000000 -2.900756e-05 -7.164321e-07 -6.319605e-08 -1.033941e-06 3.817618e-05 -1.120908e-04 -5.777788e-05 6.862138e-05
10282.000000 -2.888404e-05 -7.159603e-07 -6.242579e-08 -1.032904e-06 3.231518e-05 -9.007414e-05 -5.717821e-05 6.598759e-05
10287.000000 -2.892057e-05 -7.208035e-07 -6.347010e-08 -1.036833e-06 3.590303e-05 -1.009809e-04 -5.828056e-05 7.102748e-05
10292.000000 -2.888317e-05 -7.228080e-07 -6.543960e-08 -1.038780e-06 3.155110e-05 -1.167966e-04 -5.448664e-05 6.667658e-05
10297.000000 -2.885030e-05 -7.254959e-07 -6.631758e-08 -1.040439e-06 1.974003e-05 -9.310141e-05 -5.108529e-05 6.863781e-05
10302.000000 -2.886368e-05 -7.280724e-07 -6.629423e-08 -1.043857e-06 2.326200e-05 -1.150872e-04 -4.912499e-05 6.575397e-05
10307.000000 -2.882872e-05 -7.304023e-07 -6.626299e-08 -1.045019e-06 2.536396e-05 -9.466354e-05 -4.811293e-05 6.496818e-05
10312.000000 -2.876163e-05 -7.334252e-07 -6.652033e-08 -1.045110e-06 3.244809e-05 -9.083633e-05 -4.071482e-05 5.760240e-05
10317.000000 -2.870385e-05 -7.359808e-07 -6.641980e-08 -1.046121e-06 3.508152e-05 -9.363730e-05 -3.487098e-05 5.184493e-05
10322.000000 -2.871193e-05 -7.391812e-07 -6.605751e-08 -1.050480e-06 2.782141e-05 -9.787054e-05 -4.189761e-05 2.564123e-05
10327.000000 -2.865273e-05 -7.406080e-07 -6.544556e-08 -1.051955e-06 2.967467e-05 -1.115395e-04 -4.201487e-05 1.567876e-05
10332.000000 -2.851994e-05 -7.389303e-07 -6.467133e-08 -1.051436e-06 2.799119e-05 -1.276227e-04 -4.155906e-05 2.599745e-05
10337.000000 -2.864440e-05 -7.449349e-07 -6.497029e-08 -1.059778e-06 4.587567e-05 -1.599963e-04 -3.060687e-05 2.686387e-05
10341.000000 -2.861011e-05 -7.476715e-07 -6.548217e-08 -1.061851e-06 4.653135e-05 -1.687233e-04 -3.707047e-05 5.760571e-05
10344.000000 -2.858253e-05 -7.484156e-07 -6.627331e-08 -1.064312e-06 3.842592e-05 -1.797180e-04 -4.837828e-05 6.951191e-05
10346.000000 -2.857425e-05 -7.492377e-07 -6.696518e-08 -1.066428e-06 3.927792e-05 -1.735922e-04 -5.256829e-05 2.804250e-05
10347.000000 -2.857097e-05 -7.491568e-07 -6.754391e-08 -1.067833e-06 4.723960e-05 -1.644772e-04 -5.170451e-05 5.472392e-05
10347.200000 -2.856277e-05 -7.493259e-07 -6.771160e-08 -1.067568e-06 4.521549e-05 -1.552264e-04 -4.483327e-05 6.248976e-05
10347.400000 -2.852365e-05 -7.474738e-07 -6.771190e-08 -1.065226e-06 4.397260e-05 -1.582396e-04 -3.892446e-05 7.327278e-05
10347.600000 -2.854550e-05 -7.497025e-07 -6.782944e-08 -1.066731e-06 4.751137e-05 -1.887447e-04 -4.259226e-05 5.849516e-05
