# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.90230065231066
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.99939
# Detector.I1.voltage: -1650.0
# Detector.I2.voltage: -1650.000366
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371050
# Scan.uid: 4a775f1b-c097-4213-a329-1ab8c28fdb89
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  05:32:28.498456
# Scan.end_time: 06/23/2023  05:33:04.350509
# Scan.name: CuGaO2-4th PP+O2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.524008696
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 279.00009580453235
# SampleHeater.temperature2.readback: 279.7
# SampleHeater.voltage.setpoint: 0.6231593077051563
# SampleHeater.voltage.readback: 0.625
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.78
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.03662109375
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.09765625
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.10986328125
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0406901054084301
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.958444e-05 -6.493752e-07 -1.883568e-07 -1.005411e-06 3.143496e-05 -9.770760e-05 -2.382920e-05 1.860789e-05
10172.000000 -2.945558e-05 -6.464090e-07 -1.864422e-07 -1.002812e-06 2.275837e-05 -1.183902e-04 -1.867644e-05 2.015870e-05
10177.000000 -2.936883e-05 -6.468552e-07 -1.848507e-07 -1.001445e-06 2.326138e-05 -9.307582e-05 -1.464976e-05 2.923061e-05
10182.000000 -2.928379e-05 -6.471384e-07 -1.815572e-07 -1.000671e-06 2.491754e-05 -9.656859e-05 -2.648407e-05 3.209980e-05
10187.000000 -2.928604e-05 -6.476300e-07 -1.747049e-07 -1.003868e-06 2.601829e-05 -1.132193e-04 -3.661323e-05 1.552264e-05
10192.000000 -2.935789e-05 -6.514949e-07 -1.603342e-07 -1.008483e-06 2.363340e-05 -1.141315e-04 -3.191675e-05 8.186109e-06
10197.000000 -2.935905e-05 -6.525583e-07 -1.172319e-07 -1.011123e-06 3.053336e-05 -1.138311e-04 -3.182671e-05 1.418135e-05
10202.000000 -2.925812e-05 -6.549292e-07 -3.697888e-08 -1.008856e-06 3.732164e-05 -1.108655e-04 -4.832948e-05 8.120705e-06
10207.000000 -2.929284e-05 -6.578729e-07 -1.594948e-08 -1.013810e-06 3.357827e-05 -1.040195e-04 -4.144535e-05 -5.035168e-06
10212.000000 -2.924726e-05 -6.603569e-07 -3.254605e-08 -1.013798e-06 2.753258e-05 -1.155556e-04 -4.364311e-05 -5.772829e-07
10217.000000 -2.925655e-05 -6.616498e-07 -4.202924e-08 -1.017626e-06 2.804605e-05 -1.307672e-04 -4.662057e-05 1.585932e-07
10222.000000 -2.924101e-05 -6.630997e-07 -4.939914e-08 -1.019931e-06 2.686806e-05 -1.179288e-04 -3.605150e-05 5.294684e-06
10227.000000 -2.918879e-05 -6.640648e-07 -5.457740e-08 -1.020860e-06 2.075009e-05 -1.043093e-04 -3.095306e-05 1.413175e-05
10232.000000 -2.911172e-05 -6.653180e-07 -5.674607e-08 -1.020414e-06 2.497412e-05 -9.699051e-05 -2.950523e-05 1.414201e-05
10237.000000 -2.905881e-05 -6.673425e-07 -5.822092e-08 -1.020473e-06 3.481751e-05 -9.482885e-05 -3.261873e-05 1.117478e-05
10242.000000 -2.904899e-05 -6.690289e-07 -5.917221e-08 -1.023266e-06 4.229350e-05 -9.197135e-05 -4.027482e-05 9.830102e-06
10247.000000 -2.902837e-05 -6.707250e-07 -6.180090e-08 -1.026040e-06 3.714647e-05 -9.533698e-05 -3.150250e-05 1.391204e-05
10252.000000 -2.900373e-05 -6.728902e-07 -6.110145e-08 -1.028101e-06 3.791335e-05 -6.513308e-05 -2.588665e-05 1.920582e-05
10257.000000 -2.894283e-05 -6.747179e-07 -5.918226e-08 -1.027927e-06 2.740310e-05 -6.182688e-05 -1.599930e-05 1.692301e-05
10262.000000 -2.886167e-05 -6.760420e-07 -5.902059e-08 -1.027944e-06 2.448841e-05 -6.093914e-05 -2.250219e-05 1.720912e-05
10267.000000 -2.892374e-05 -6.800533e-07 -6.030916e-08 -1.032853e-06 2.699466e-05 -7.531978e-05 -3.210269e-05 1.533479e-05
10272.000000 -2.886264e-05 -6.834714e-07 -6.104423e-08 -1.032580e-06 3.468902e-05 -8.578773e-05 -2.930227e-05 1.570302e-05
10277.000000 -2.869009e-05 -6.852149e-07 -6.066172e-08 -1.027336e-06 3.736115e-05 -7.086500e-05 -2.851778e-05 1.267405e-05
10282.000000 -2.851684e-05 -6.863645e-07 -5.980099e-08 -1.023401e-06 3.402234e-05 -6.808357e-05 -2.970705e-05 1.116931e-05
10287.000000 -2.861451e-05 -6.892283e-07 -6.056060e-08 -1.031272e-06 2.994477e-05 -8.914560e-05 -2.251008e-05 1.217890e-05
10292.000000 -2.856607e-05 -6.920871e-07 -6.250533e-08 -1.032113e-06 2.564423e-05 -9.208560e-05 -3.165603e-05 -3.764626e-07
10297.000000 -2.865179e-05 -6.948000e-07 -6.376320e-08 -1.040170e-06 2.212278e-05 -7.035841e-05 -3.288859e-05 1.555586e-05
10302.000000 -2.868403e-05 -6.983217e-07 -6.351170e-08 -1.044506e-06 2.565585e-05 -8.655493e-05 -3.767444e-05 2.488289e-05
10307.000000 -2.864224e-05 -7.006569e-07 -6.353708e-08 -1.045848e-06 1.832703e-05 -9.786796e-05 -3.205114e-05 2.796527e-05
10312.000000 -2.858647e-05 -7.038178e-07 -6.379046e-08 -1.046293e-06 2.685527e-05 -1.098263e-04 -2.973605e-05 1.211802e-05
10317.000000 -2.857701e-05 -7.069833e-07 -6.382084e-08 -1.049401e-06 2.855761e-05 -8.536406e-05 -3.429962e-05 1.675521e-05
10322.000000 -2.857589e-05 -7.100087e-07 -6.350789e-08 -1.053083e-06 2.244024e-05 -6.617001e-05 -4.139270e-05 1.245166e-05
10327.000000 -2.851359e-05 -7.117360e-07 -6.287040e-08 -1.054155e-06 1.561538e-05 -5.876715e-05 -3.569722e-05 1.304413e-05
10332.000000 -2.837598e-05 -7.127721e-07 -6.242678e-08 -1.052564e-06 3.087730e-05 -6.743249e-05 -3.938901e-05 1.277217e-05
10337.000000 -2.844542e-05 -7.164379e-07 -6.257808e-08 -1.057239e-06 3.016145e-05 -7.089295e-05 -3.753509e-05 1.375612e-05
10341.000000 -2.830614e-05 -7.152102e-07 -6.294401e-08 -1.053980e-06 2.553288e-05 -6.241004e-05 -3.272531e-05 1.943957e-05
10344.000000 -2.831812e-05 -7.137786e-07 -6.340303e-08 -1.059177e-06 3.120114e-05 -7.696372e-05 -1.927173e-05 2.803566e-05
10346.000000 -2.838354e-05 -7.139811e-07 -6.402260e-08 -1.064996e-06 4.363396e-05 -6.136264e-05 -1.645087e-05 2.079008e-05
10347.000000 -2.838674e-05 -7.146926e-07 -6.442896e-08 -1.066459e-06 4.800992e-05 -5.422162e-05 -1.421158e-05 1.769437e-05
10347.200000 -2.836485e-05 -7.140243e-07 -6.446901e-08 -1.065656e-06 4.188488e-05 -6.394424e-05 -1.606721e-05 5.929486e-06
10347.400000 -2.832368e-05 -7.141811e-07 -6.434453e-08 -1.063695e-06 3.964277e-05 -6.601013e-05 -1.895336e-05 1.087349e-05
10347.600000 -2.833212e-05 -7.132781e-07 -6.429308e-08 -1.064262e-06 4.424589e-05 -6.094624e-05 -1.664349e-05 1.835980e-05
