# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.4930666999915
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.998901
# Detector.I1.voltage: -1650.0
# Detector.I2.voltage: -1650.001831
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371054
# Scan.uid: ad986139-1184-40e2-b7bc-f3979e38a9f3
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  05:36:29.056308
# Scan.end_time: 06/23/2023  05:37:02.475384
# Scan.name: CuGaO2-4th PP+O2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.5239896225
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 299.0560127099355
# SampleHeater.temperature2.readback: 299.7
# SampleHeater.voltage.setpoint: 0.6605159846619744
# SampleHeater.voltage.readback: 0.65
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.77
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.048828125
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.03662109375
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.008138020522892475
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.09765625
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.10986328125
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0406901054084301
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.961899e-05 -6.701357e-07 -1.945083e-07 -1.002336e-06 9.962646e-06 -2.820228e-04 -6.991734e-05 -5.095741e-06
10172.000000 -2.956923e-05 -6.660332e-07 -1.922299e-07 -1.003505e-06 7.682282e-06 -2.924078e-04 -6.377506e-05 -7.340434e-06
10177.000000 -2.949603e-05 -6.653558e-07 -1.900491e-07 -1.003050e-06 1.341598e-05 -3.033572e-04 -6.236008e-05 -5.221392e-06
10182.000000 -2.942722e-05 -6.645025e-07 -1.865628e-07 -1.003143e-06 1.680647e-05 -2.967050e-04 -5.496270e-05 -2.461424e-06
10187.000000 -2.942082e-05 -6.632401e-07 -1.794374e-07 -1.005945e-06 1.150627e-05 -3.070643e-04 -5.270867e-05 2.575472e-07
10192.000000 -2.942242e-05 -6.651274e-07 -1.640299e-07 -1.008280e-06 1.083907e-05 -2.968468e-04 -5.906314e-05 -8.377094e-06
10197.000000 -2.940953e-05 -6.669431e-07 -1.200289e-07 -1.010381e-06 1.444061e-05 -2.767849e-04 -5.549164e-05 -2.605265e-06
10202.000000 -2.937038e-05 -6.678548e-07 -3.750943e-08 -1.012065e-06 9.656837e-06 -2.601988e-04 -6.085161e-05 -4.919979e-06
10207.000000 -2.938322e-05 -6.703178e-07 -1.607081e-08 -1.015445e-06 1.247718e-05 -2.456727e-04 -5.534612e-05 -3.264611e-06
10212.000000 -2.933915e-05 -6.732576e-07 -3.341017e-08 -1.016077e-06 1.644800e-05 -2.524594e-04 -5.120498e-05 3.453640e-06
10217.000000 -2.929174e-05 -6.760733e-07 -4.313629e-08 -1.016301e-06 1.076214e-05 -2.729566e-04 -5.497449e-05 -7.447392e-06
10222.000000 -2.930478e-05 -6.789074e-07 -5.080790e-08 -1.019950e-06 3.991921e-06 -2.667200e-04 -5.859216e-05 -1.400084e-05
10227.000000 -2.924718e-05 -6.811792e-07 -5.598768e-08 -1.019963e-06 2.162967e-06 -2.813874e-04 -6.041450e-05 -1.539381e-05
10232.000000 -2.916610e-05 -6.828885e-07 -5.804167e-08 -1.019450e-06 -1.758394e-06 -2.840264e-04 -5.856364e-05 -1.719318e-05
10237.000000 -2.918002e-05 -6.860020e-07 -5.963104e-08 -1.022858e-06 -1.814459e-06 -2.641042e-04 -5.543499e-05 -1.229062e-05
10242.000000 -2.916311e-05 -6.889373e-07 -6.072126e-08 -1.025063e-06 -1.154947e-05 -2.821395e-04 -5.022432e-05 -1.277601e-05
10247.000000 -2.907821e-05 -6.901167e-07 -6.328049e-08 -1.024890e-06 -5.062915e-06 -3.075400e-04 -5.145610e-05 -7.755814e-06
10252.000000 -2.899958e-05 -6.931720e-07 -6.329624e-08 -1.023585e-06 -3.348624e-06 -2.811636e-04 -5.427628e-05 3.084330e-06
10257.000000 -2.900761e-05 -6.960961e-07 -6.112263e-08 -1.027200e-06 3.336945e-06 -2.677839e-04 -6.667692e-05 4.219223e-06
10262.000000 -2.896195e-05 -6.976566e-07 -6.080137e-08 -1.028920e-06 1.660213e-05 -2.392322e-04 -6.907906e-05 8.330443e-06
10267.000000 -2.896004e-05 -7.009313e-07 -6.220204e-08 -1.031151e-06 1.372926e-05 -2.519336e-04 -7.390633e-05 3.169654e-06
10272.000000 -2.900051e-05 -7.037894e-07 -6.290476e-08 -1.036239e-06 5.454097e-06 -2.689518e-04 -6.386490e-05 5.839332e-06
10277.000000 -2.891122e-05 -7.054060e-07 -6.246442e-08 -1.035706e-06 1.026714e-05 -2.689475e-04 -7.083838e-05 6.915994e-06
10282.000000 -2.871235e-05 -7.050366e-07 -6.134841e-08 -1.030904e-06 7.312030e-06 -2.572844e-04 -7.803322e-05 -2.004859e-06
10287.000000 -2.881239e-05 -7.091798e-07 -6.207814e-08 -1.037982e-06 9.745650e-06 -2.712848e-04 -7.864355e-05 -7.946472e-06
10292.000000 -2.877104e-05 -7.121889e-07 -6.407519e-08 -1.039467e-06 2.100059e-05 -2.601693e-04 -7.859743e-05 4.515923e-06
10297.000000 -2.875642e-05 -7.152230e-07 -6.530439e-08 -1.041545e-06 2.518217e-05 -2.508565e-04 -8.948473e-05 6.747566e-06
10302.000000 -2.873513e-05 -7.186278e-07 -6.533649e-08 -1.043032e-06 2.342439e-05 -2.540237e-04 -8.514178e-05 -6.411216e-06
10307.000000 -2.874872e-05 -7.218104e-07 -6.539732e-08 -1.047090e-06 1.395569e-05 -2.551148e-04 -8.285503e-05 -9.267297e-06
10312.000000 -2.870801e-05 -7.249328e-07 -6.565253e-08 -1.048688e-06 2.207109e-05 -2.425854e-04 -8.416269e-05 -1.604425e-05
10317.000000 -2.868176e-05 -7.281420e-07 -6.582033e-08 -1.051131e-06 2.188025e-05 -2.621560e-04 -8.649062e-05 -1.980803e-05
10322.000000 -2.862951e-05 -7.313625e-07 -6.542954e-08 -1.052753e-06 2.460794e-05 -2.867451e-04 -7.175901e-05 -1.089209e-05
10327.000000 -2.856190e-05 -7.326719e-07 -6.462093e-08 -1.053814e-06 2.060448e-05 -2.824167e-04 -6.361909e-05 -4.248432e-06
10332.000000 -2.844199e-05 -7.316062e-07 -6.390464e-08 -1.053566e-06 2.023364e-05 -2.597229e-04 -6.761937e-05 -7.424837e-06
10337.000000 -2.854359e-05 -7.383853e-07 -6.449024e-08 -1.061000e-06 1.257064e-05 -2.651677e-04 -6.621919e-05 -3.411865e-06
10341.000000 -2.852824e-05 -7.392016e-07 -6.496465e-08 -1.063909e-06 5.757122e-06 -2.705729e-04 -5.680059e-05 -1.381098e-06
10344.000000 -2.849859e-05 -7.384005e-07 -6.559395e-08 -1.066132e-06 7.520405e-06 -2.769625e-04 -5.908443e-05 3.764004e-06
10346.000000 -2.840956e-05 -7.384021e-07 -6.620749e-08 -1.064273e-06 5.119398e-06 -2.770008e-04 -5.927260e-05 4.191921e-06
10347.000000 -2.842914e-05 -7.396343e-07 -6.668607e-08 -1.066498e-06 3.502272e-06 -2.722967e-04 -5.533507e-05 6.176727e-06
10347.200000 -2.844622e-05 -7.379820e-07 -6.654171e-08 -1.067495e-06 7.349367e-06 -2.829004e-04 -4.653589e-05 7.875996e-06
10347.400000 -2.839255e-05 -7.388912e-07 -6.668915e-08 -1.065362e-06 -1.068315e-06 -2.586090e-04 -4.718225e-05 2.104778e-06
10347.600000 -2.835547e-05 -7.375518e-07 -6.680931e-08 -1.063809e-06 -3.933950e-06 -2.471124e-04 -5.956208e-05 2.929356e-06
