# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.9207019137899
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -349.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.002075
# Detector.I1.voltage: -1649.99939
# Detector.I2.voltage: -1649.999023
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371060
# Scan.uid: 62af9ee3-d06b-42ec-8477-801811f59aaa
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  05:42:25.522928
# Scan.end_time: 06/23/2023  05:42:58.749636
# Scan.name: CuGaO2-4th PP+O2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.5239896225
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 300.0
# SampleHeater.temperature2.readback: 299.0
# SampleHeater.voltage.setpoint: 0.7134719246554766
# SampleHeater.voltage.readback: 0.668
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 11.1
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.048828125
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.09765625
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.10986328125
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0406901054084301
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.977554e-05 -6.750391e-07 -1.953483e-07 -1.006077e-06 1.572551e-05 -3.430408e-04 -5.287939e-05 4.185761e-05
10172.000000 -2.963871e-05 -6.694211e-07 -1.928958e-07 -1.003456e-06 7.396149e-06 -3.804565e-04 -4.520824e-05 4.386520e-05
10177.000000 -2.957854e-05 -6.694991e-07 -1.909690e-07 -1.003123e-06 1.516392e-05 -3.699600e-04 -4.759455e-05 4.157498e-05
10182.000000 -2.941484e-05 -6.687586e-07 -1.872025e-07 -9.991837e-07 1.212103e-05 -3.728968e-04 -5.943924e-05 3.448683e-05
10187.000000 -2.943988e-05 -6.686354e-07 -1.803217e-07 -1.002625e-06 1.220645e-05 -3.716549e-04 -6.192487e-05 4.007744e-05
10192.000000 -2.945811e-05 -6.702964e-07 -1.648707e-07 -1.005268e-06 1.939288e-05 -3.786346e-04 -5.847928e-05 4.471208e-05
10197.000000 -2.951596e-05 -6.741263e-07 -1.209544e-07 -1.010218e-06 1.283632e-05 -3.810944e-04 -6.359270e-05 3.214891e-05
10202.000000 -2.948103e-05 -6.759980e-07 -3.822487e-08 -1.011769e-06 1.706786e-05 -3.627197e-04 -6.120272e-05 3.442094e-05
10207.000000 -2.943846e-05 -6.782645e-07 -1.655392e-08 -1.013517e-06 1.339399e-05 -3.336813e-04 -5.642906e-05 3.892148e-05
10212.000000 -2.939103e-05 -6.801820e-07 -3.353820e-08 -1.014441e-06 1.230436e-05 -3.457342e-04 -6.266286e-05 3.926747e-05
10217.000000 -2.939518e-05 -6.821483e-07 -4.322500e-08 -1.017278e-06 1.538517e-05 -3.421676e-04 -6.343135e-05 3.569002e-05
10222.000000 -2.935395e-05 -6.842230e-07 -5.094737e-08 -1.018156e-06 1.015263e-05 -3.076680e-04 -6.491445e-05 3.148319e-05
10227.000000 -2.932743e-05 -6.856001e-07 -5.598686e-08 -1.019786e-06 9.555485e-06 -2.900422e-04 -5.355380e-05 3.241646e-05
10232.000000 -2.919597e-05 -6.856469e-07 -5.801344e-08 -1.016934e-06 1.589718e-05 -3.085016e-04 -4.665642e-05 3.218207e-05
10237.000000 -2.926721e-05 -6.886381e-07 -5.985694e-08 -1.023052e-06 2.078012e-05 -3.029368e-04 -5.045169e-05 3.778662e-05
10242.000000 -2.917760e-05 -6.902510e-07 -6.108533e-08 -1.021616e-06 2.216792e-05 -2.981439e-04 -3.956479e-05 4.128894e-05
10247.000000 -2.914876e-05 -6.925016e-07 -6.367905e-08 -1.023667e-06 2.489276e-05 -3.117353e-04 -4.089819e-05 3.993249e-05
10252.000000 -2.916978e-05 -6.959421e-07 -6.323042e-08 -1.027920e-06 2.578586e-05 -3.269796e-04 -4.934261e-05 3.936504e-05
10257.000000 -2.911892e-05 -6.988650e-07 -6.092655e-08 -1.029115e-06 2.971403e-05 -3.440651e-04 -6.112852e-05 5.389304e-05
10262.000000 -2.905168e-05 -7.008515e-07 -6.068058e-08 -1.029761e-06 3.045085e-05 -3.348143e-04 -5.538730e-05 4.841708e-05
10267.000000 -2.905389e-05 -7.046667e-07 -6.230441e-08 -1.032172e-06 2.112193e-05 -2.864497e-04 -4.934467e-05 3.974703e-05
10272.000000 -2.900486e-05 -7.067569e-07 -6.289158e-08 -1.032880e-06 2.534169e-05 -2.945254e-04 -5.478291e-05 1.704276e-05
10277.000000 -2.888147e-05 -7.088164e-07 -6.239468e-08 -1.030758e-06 3.062657e-05 -2.695942e-04 -6.130505e-05 1.435527e-05
10282.000000 -2.878663e-05 -7.099833e-07 -6.157301e-08 -1.030499e-06 3.483973e-05 -2.992158e-04 -6.145263e-05 8.609307e-06
10287.000000 -2.890552e-05 -7.146792e-07 -6.250497e-08 -1.038366e-06 2.581809e-05 -3.066997e-04 -5.896472e-05 -4.851132e-06
10292.000000 -2.888255e-05 -7.167096e-07 -6.452337e-08 -1.040920e-06 2.592164e-05 -3.387137e-04 -5.917949e-05 -1.005829e-06
10297.000000 -2.885296e-05 -7.193149e-07 -6.566116e-08 -1.042559e-06 2.190166e-05 -3.316312e-04 -6.386430e-05 -1.015210e-06
10302.000000 -2.881971e-05 -7.218726e-07 -6.552634e-08 -1.043631e-06 1.751807e-05 -3.261277e-04 -7.200571e-05 1.383066e-06
10307.000000 -2.871689e-05 -7.239900e-07 -6.562313e-08 -1.041854e-06 6.579305e-06 -2.931336e-04 -7.160033e-05 5.173017e-06
10312.000000 -2.872452e-05 -7.271797e-07 -6.574835e-08 -1.045822e-06 9.971308e-06 -3.067464e-04 -6.559544e-05 2.432315e-06
10317.000000 -2.870198e-05 -7.299766e-07 -6.549672e-08 -1.048617e-06 1.254299e-05 -3.296215e-04 -6.686278e-05 4.378632e-06
10322.000000 -2.868874e-05 -7.334383e-07 -6.535859e-08 -1.051586e-06 1.791050e-05 -3.165999e-04 -6.936253e-05 4.448038e-06
10327.000000 -2.862728e-05 -7.354175e-07 -6.474780e-08 -1.053097e-06 2.327917e-05 -3.245782e-04 -7.048401e-05 2.082830e-06
10332.000000 -2.851278e-05 -7.359923e-07 -6.408813e-08 -1.053461e-06 1.179097e-05 -3.320433e-04 -6.562277e-05 1.087360e-05
10337.000000 -2.861570e-05 -7.406369e-07 -6.433207e-08 -1.060456e-06 1.381754e-05 -2.953159e-04 -5.928964e-05 2.123945e-05
10341.000000 -2.860694e-05 -7.403732e-07 -6.476141e-08 -1.063989e-06 5.076277e-06 -2.828761e-04 -5.294351e-05 2.275556e-05
10344.000000 -2.858458e-05 -7.419802e-07 -6.553764e-08 -1.066418e-06 9.195574e-06 -3.034304e-04 -5.238364e-05 2.223006e-05
10346.000000 -2.852827e-05 -7.421124e-07 -6.630052e-08 -1.065871e-06 1.047030e-05 -3.309110e-04 -5.262081e-05 2.817084e-05
10347.000000 -2.853490e-05 -7.430742e-07 -6.651306e-08 -1.066949e-06 1.734336e-05 -3.409772e-04 -4.543321e-05 3.352077e-05
10347.200000 -2.855563e-05 -7.422427e-07 -6.638832e-08 -1.068071e-06 2.260489e-05 -3.483309e-04 -4.544878e-05 3.051446e-05
10347.400000 -2.856518e-05 -7.447906e-07 -6.681069e-08 -1.068669e-06 2.147652e-05 -3.631454e-04 -5.960079e-05 2.441747e-05
10347.600000 -2.853765e-05 -7.426410e-07 -6.681102e-08 -1.068179e-06 1.839613e-05 -3.590386e-04 -5.407380e-05 1.723039e-05
