# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.0542951907959
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.0
# Detector.I1.voltage: -1649.99939
# Detector.I2.voltage: -1649.999268
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371066
# Scan.uid: 47325b55-ef09-426e-b1a1-9cac6838f779
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  05:48:26.056225
# Scan.end_time: 06/23/2023  05:49:01.786359
# Scan.name: CuGaO2-4th PP+O2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.5239896225
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 300.0
# SampleHeater.temperature2.readback: 299.3
# SampleHeater.voltage.setpoint: 0.7033168439844929
# SampleHeater.voltage.readback: 0.6950000000000001
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 11.13
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.048828125
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.09765625
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.10986328125
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0406901054084301
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.977432e-05 -6.697771e-07 -1.950662e-07 -1.003126e-06 2.865901e-05 -3.752048e-04 -3.109295e-05 3.810264e-05
10172.000000 -2.964676e-05 -6.671718e-07 -1.933847e-07 -1.000851e-06 3.917445e-05 -3.842154e-04 -3.916471e-05 4.574974e-05
10177.000000 -2.960333e-05 -6.679066e-07 -1.915454e-07 -1.001678e-06 3.531553e-05 -3.902056e-04 -3.552766e-05 4.578564e-05
10182.000000 -2.956692e-05 -6.683547e-07 -1.885095e-07 -1.002757e-06 2.640124e-05 -3.996144e-04 -4.490643e-05 4.654280e-05
10187.000000 -2.953562e-05 -6.683971e-07 -1.817811e-07 -1.004423e-06 3.332287e-05 -4.019822e-04 -4.331645e-05 4.850881e-05
10192.000000 -2.960383e-05 -6.710936e-07 -1.664546e-07 -1.009326e-06 3.431853e-05 -4.155120e-04 -2.935045e-05 5.190447e-05
10197.000000 -2.960465e-05 -6.729726e-07 -1.219713e-07 -1.011780e-06 2.331509e-05 -4.356159e-04 -3.938882e-05 4.069343e-05
10202.000000 -2.953001e-05 -6.740762e-07 -3.815019e-08 -1.011482e-06 3.383602e-05 -4.475467e-04 -3.479561e-05 4.638088e-05
10207.000000 -2.950601e-05 -6.762795e-07 -1.657447e-08 -1.013567e-06 2.116779e-05 -4.662678e-04 -4.238474e-05 5.407889e-05
10212.000000 -2.951752e-05 -6.787231e-07 -3.380610e-08 -1.016718e-06 1.989505e-05 -4.446217e-04 -5.362115e-05 5.647993e-05
10217.000000 -2.948347e-05 -6.798956e-07 -4.355396e-08 -1.018239e-06 3.327798e-05 -4.528748e-04 -4.314512e-05 6.288564e-05
10222.000000 -2.939338e-05 -6.800012e-07 -5.097935e-08 -1.017448e-06 2.579589e-05 -4.312072e-04 -3.787716e-05 6.733353e-05
10227.000000 -2.924443e-05 -6.799323e-07 -5.613256e-08 -1.014143e-06 2.398706e-05 -4.320674e-04 -3.744594e-05 6.518007e-05
10232.000000 -2.925472e-05 -6.821872e-07 -5.828890e-08 -1.017885e-06 2.662318e-05 -4.358558e-04 -2.902619e-05 6.905085e-05
10237.000000 -2.929009e-05 -6.857211e-07 -6.010213e-08 -1.021723e-06 2.834047e-05 -4.308010e-04 -3.331854e-05 7.101559e-05
10242.000000 -2.923070e-05 -6.878153e-07 -6.119792e-08 -1.022013e-06 2.310983e-05 -4.261536e-04 -3.822968e-05 6.563519e-05
10247.000000 -2.913034e-05 -6.899380e-07 -6.381163e-08 -1.020718e-06 1.791829e-05 -4.456636e-04 -3.980732e-05 6.652857e-05
10252.000000 -2.911668e-05 -6.923300e-07 -6.341739e-08 -1.023167e-06 1.904860e-05 -4.471786e-04 -2.092537e-05 6.775437e-05
10257.000000 -2.901312e-05 -6.935713e-07 -6.120896e-08 -1.021560e-06 2.385223e-05 -4.409666e-04 -2.865982e-05 6.594593e-05
10262.000000 -2.897649e-05 -6.944813e-07 -6.088040e-08 -1.023451e-06 2.499821e-05 -4.180257e-04 -3.353986e-05 6.421504e-05
10267.000000 -2.908891e-05 -6.983925e-07 -6.234606e-08 -1.031094e-06 1.314346e-05 -4.337489e-04 -2.722639e-05 6.463676e-05
10272.000000 -2.904375e-05 -7.004791e-07 -6.304419e-08 -1.032125e-06 1.374366e-05 -4.499678e-04 -1.535566e-05 6.320318e-05
10277.000000 -2.893770e-05 -7.007487e-07 -6.237371e-08 -1.031201e-06 1.932908e-05 -4.591573e-04 -2.113106e-05 5.796297e-05
10282.000000 -2.884495e-05 -7.013412e-07 -6.149761e-08 -1.031283e-06 2.062544e-05 -4.420521e-04 -1.857253e-05 6.241535e-05
10287.000000 -2.891608e-05 -7.060412e-07 -6.223695e-08 -1.036964e-06 2.610655e-05 -4.411286e-04 -2.270208e-05 6.659498e-05
10292.000000 -2.886773e-05 -7.072267e-07 -6.421602e-08 -1.038113e-06 2.393311e-05 -4.442975e-04 -2.337373e-05 6.650105e-05
10297.000000 -2.881056e-05 -7.094471e-07 -6.519378e-08 -1.038745e-06 1.653236e-05 -4.627691e-04 -2.172687e-05 6.824568e-05
10302.000000 -2.881273e-05 -7.122695e-07 -6.504318e-08 -1.041395e-06 2.300662e-05 -4.725497e-04 -3.114646e-05 7.706925e-05
10307.000000 -2.878726e-05 -7.148229e-07 -6.517588e-08 -1.043072e-06 2.652617e-05 -4.757941e-04 -3.609591e-05 6.685220e-05
10312.000000 -2.872444e-05 -7.185123e-07 -6.565478e-08 -1.043291e-06 3.381039e-05 -4.547997e-04 -3.284423e-05 6.316269e-05
10317.000000 -2.871194e-05 -7.209801e-07 -6.546623e-08 -1.046689e-06 3.272730e-05 -4.426656e-04 -2.712944e-05 6.151833e-05
10322.000000 -2.865398e-05 -7.226553e-07 -6.487178e-08 -1.048485e-06 2.401414e-05 -4.381620e-04 -1.522071e-05 6.161634e-05
10327.000000 -2.855224e-05 -7.237324e-07 -6.429737e-08 -1.048442e-06 1.681314e-05 -4.275485e-04 -1.828687e-05 6.283514e-05
10332.000000 -2.845904e-05 -7.247161e-07 -6.361320e-08 -1.049288e-06 1.688824e-05 -4.482639e-04 -2.351406e-05 6.009341e-05
10337.000000 -2.859694e-05 -7.302416e-07 -6.397359e-08 -1.058334e-06 2.538315e-05 -4.429526e-04 -3.734373e-05 6.225241e-05
10341.000000 -2.857999e-05 -7.321015e-07 -6.453389e-08 -1.061153e-06 2.947692e-05 -4.203981e-04 -4.218684e-05 6.063573e-05
10344.000000 -2.852079e-05 -7.328806e-07 -6.517016e-08 -1.062235e-06 2.992691e-05 -4.397729e-04 -4.096227e-05 5.669060e-05
10346.000000 -2.840970e-05 -7.319234e-07 -6.586540e-08 -1.059832e-06 3.033825e-05 -4.342497e-04 -3.980994e-05 5.898276e-05
10347.000000 -2.833144e-05 -7.294818e-07 -6.635474e-08 -1.057577e-06 3.849138e-05 -4.153387e-04 -4.843021e-05 5.394294e-05
10347.200000 -2.834961e-05 -7.312702e-07 -6.667060e-08 -1.058541e-06 4.177579e-05 -3.915341e-04 -4.256433e-05 5.541593e-05
10347.400000 -2.838088e-05 -7.274089e-07 -6.625321e-08 -1.060237e-06 4.005707e-05 -4.318554e-04 -4.245210e-05 4.939209e-05
10347.600000 -2.838757e-05 -7.270155e-07 -6.613316e-08 -1.060722e-06 4.099500e-05 -4.364288e-04 -5.200681e-05 4.826550e-05
