# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.1171710424973
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.998657
# Detector.I1.voltage: -1650.001831
# Detector.I2.voltage: -1650.000732
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371068
# Scan.uid: 9d5935ca-ab33-49ad-96c0-718a950c76b5
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  05:50:26.557180
# Scan.end_time: 06/23/2023  05:50:59.480444
# Scan.name: CuGaO2-4th PP+O2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.5239896225
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 308.8031244476636
# SampleHeater.temperature2.readback: 310.40000000000003
# SampleHeater.voltage.setpoint: 0.6723868895566768
# SampleHeater.voltage.readback: 0.673
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.94
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.048828125
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.09765625
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.10986328125
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0406901054084301
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.979232e-05 -6.866154e-07 -1.984973e-07 -1.004025e-06 3.828586e-05 -3.631554e-04 -4.791646e-05 5.010136e-05
10172.000000 -2.967253e-05 -6.824381e-07 -1.963384e-07 -1.002051e-06 5.038864e-05 -3.743124e-04 -4.508524e-05 3.450298e-05
10177.000000 -2.956917e-05 -6.811580e-07 -1.938215e-07 -1.000179e-06 5.297430e-05 -4.115015e-04 -5.422344e-05 3.447971e-05
10182.000000 -2.949863e-05 -6.824902e-07 -1.906258e-07 -1.000406e-06 5.033540e-05 -4.141363e-04 -4.907405e-05 3.903539e-05
10187.000000 -2.950523e-05 -6.840400e-07 -1.842287e-07 -1.003474e-06 3.765239e-05 -3.946190e-04 -5.135251e-05 4.560072e-05
10192.000000 -2.958694e-05 -6.889014e-07 -1.692138e-07 -1.008656e-06 3.834761e-05 -4.104800e-04 -5.437323e-05 4.232907e-05
10197.000000 -2.959159e-05 -6.924484e-07 -1.243335e-07 -1.011027e-06 4.438469e-05 -4.061085e-04 -5.706692e-05 3.732846e-05
10202.000000 -2.953082e-05 -6.923011e-07 -3.893711e-08 -1.011871e-06 4.597605e-05 -4.153249e-04 -5.860085e-05 3.829139e-05
10207.000000 -2.951967e-05 -6.938688e-07 -1.652030e-08 -1.014284e-06 4.712243e-05 -4.109616e-04 -4.896219e-05 4.367525e-05
10212.000000 -2.952835e-05 -6.957018e-07 -3.405837e-08 -1.017337e-06 4.112663e-05 -3.904298e-04 -5.105484e-05 3.834347e-05
10217.000000 -2.949694e-05 -6.979454e-07 -4.420882e-08 -1.018764e-06 3.997901e-05 -3.836454e-04 -5.946585e-05 4.098738e-05
10222.000000 -2.944123e-05 -7.002105e-07 -5.223437e-08 -1.019216e-06 4.513855e-05 -3.897392e-04 -6.858081e-05 4.263528e-05
10227.000000 -2.942012e-05 -7.020352e-07 -5.727299e-08 -1.021085e-06 4.452343e-05 -3.936755e-04 -5.440476e-05 4.789769e-05
10232.000000 -2.934489e-05 -7.026697e-07 -5.933108e-08 -1.021083e-06 4.514030e-05 -3.897773e-04 -5.530896e-05 4.303570e-05
10237.000000 -2.932831e-05 -7.035686e-07 -6.071038e-08 -1.023593e-06 3.467940e-05 -3.955995e-04 -6.039418e-05 4.703480e-05
10242.000000 -2.926997e-05 -7.050214e-07 -6.195643e-08 -1.024206e-06 2.825258e-05 -3.624252e-04 -5.952840e-05 3.683681e-05
10247.000000 -2.917971e-05 -7.060670e-07 -6.472013e-08 -1.024070e-06 2.917460e-05 -3.575624e-04 -6.030520e-05 3.763206e-05
10252.000000 -2.918768e-05 -7.101134e-07 -6.455427e-08 -1.026828e-06 2.623819e-05 -3.590435e-04 -5.869653e-05 3.820002e-05
10257.000000 -2.919794e-05 -7.130657e-07 -6.207552e-08 -1.030159e-06 2.942871e-05 -3.592043e-04 -5.966479e-05 4.254182e-05
10262.000000 -2.910047e-05 -7.134619e-07 -6.177594e-08 -1.029180e-06 3.078001e-05 -3.805982e-04 -5.970402e-05 3.714926e-05
10267.000000 -2.911751e-05 -7.184736e-07 -6.301987e-08 -1.032647e-06 2.910455e-05 -3.888203e-04 -5.878862e-05 2.770363e-05
10272.000000 -2.910569e-05 -7.209517e-07 -6.377966e-08 -1.035071e-06 2.788111e-05 -3.596680e-04 -5.910265e-05 3.005539e-05
10277.000000 -2.902074e-05 -7.206989e-07 -6.344498e-08 -1.034738e-06 3.195130e-05 -3.562399e-04 -4.016782e-05 3.325550e-05
10282.000000 -2.884140e-05 -7.207390e-07 -6.251152e-08 -1.030782e-06 2.672199e-05 -3.765239e-04 -4.408265e-05 3.008098e-05
10287.000000 -2.889067e-05 -7.248564e-07 -6.339280e-08 -1.035403e-06 3.441483e-05 -3.838726e-04 -4.486567e-05 4.176109e-05
10292.000000 -2.885658e-05 -7.278969e-07 -6.528031e-08 -1.036871e-06 3.000536e-05 -3.857548e-04 -5.374086e-05 4.196888e-05
10297.000000 -2.881783e-05 -7.305341e-07 -6.636454e-08 -1.037936e-06 2.695512e-05 -3.901535e-04 -5.684250e-05 4.453826e-05
10302.000000 -2.882226e-05 -7.342291e-07 -6.647672e-08 -1.040979e-06 3.395322e-05 -3.802479e-04 -5.128078e-05 4.852931e-05
10307.000000 -2.881689e-05 -7.376165e-07 -6.663596e-08 -1.043701e-06 3.750558e-05 -3.911876e-04 -5.001991e-05 4.157936e-05
10312.000000 -2.878065e-05 -7.408925e-07 -6.689014e-08 -1.045367e-06 3.422329e-05 -3.983554e-04 -5.360010e-05 4.284836e-05
10317.000000 -2.873481e-05 -7.433348e-07 -6.674441e-08 -1.047489e-06 4.501439e-05 -3.922704e-04 -4.405345e-05 4.525599e-05
10322.000000 -2.871095e-05 -7.457744e-07 -6.622109e-08 -1.050650e-06 4.786045e-05 -3.871120e-04 -3.810293e-05 4.765226e-05
10327.000000 -2.868531e-05 -7.474564e-07 -6.560241e-08 -1.053738e-06 4.759547e-05 -3.924515e-04 -3.955244e-05 4.674232e-05
10332.000000 -2.856234e-05 -7.458856e-07 -6.481708e-08 -1.053553e-06 5.068292e-05 -4.153251e-04 -4.761859e-05 4.618945e-05
10337.000000 -2.862264e-05 -7.505957e-07 -6.517462e-08 -1.058820e-06 3.811540e-05 -4.250943e-04 -4.482454e-05 5.009019e-05
10341.000000 -2.860378e-05 -7.532731e-07 -6.585129e-08 -1.061644e-06 3.273461e-05 -4.262042e-04 -3.584453e-05 5.326176e-05
10344.000000 -2.857351e-05 -7.535379e-07 -6.655753e-08 -1.063746e-06 3.903136e-05 -4.398096e-04 -3.674489e-05 5.484088e-05
10346.000000 -2.851203e-05 -7.523916e-07 -6.713295e-08 -1.063694e-06 3.754096e-05 -4.494182e-04 -2.329655e-05 6.466533e-05
10347.000000 -2.848908e-05 -7.525304e-07 -6.763044e-08 -1.063964e-06 4.328833e-05 -4.475049e-04 -3.011959e-05 6.262170e-05
10347.200000 -2.846980e-05 -7.512691e-07 -6.752936e-08 -1.063203e-06 4.252979e-05 -4.632139e-04 -3.901438e-05 6.120616e-05
10347.400000 -2.849465e-05 -7.515103e-07 -6.768927e-08 -1.065103e-06 4.629919e-05 -4.513874e-04 -2.896121e-05 5.787314e-05
10347.600000 -2.848919e-05 -7.530762e-07 -6.776454e-08 -1.064817e-06 3.856345e-05 -4.514346e-04 -3.703542e-05 5.281396e-05
