# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.52837258177914
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.999756
# Detector.I1.voltage: -1650.001587
# Detector.I2.voltage: -1650.000977
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371072
# Scan.uid: ac1c61a3-cc2a-44c6-aed1-0cb8c31a262c
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  05:54:26.523219
# Scan.end_time: 06/23/2023  05:55:00.888855
# Scan.name: CuGaO2-4th PP+O2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.524027769499998
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 328.8423245549202
# SampleHeater.temperature2.readback: 329.70000000000005
# SampleHeater.voltage.setpoint: 0.7195259491927806
# SampleHeater.voltage.readback: 0.719
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.790000000000001
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.09765625
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.06103515625
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.10986328125
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0406901054084301
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.976391e-05 -6.740250e-07 -1.952674e-07 -1.005419e-06 3.496843e-05 -2.688224e-04 -2.326570e-05 2.867059e-05
10172.000000 -2.962105e-05 -6.683616e-07 -1.926045e-07 -1.002391e-06 3.443616e-05 -2.856801e-04 -2.552377e-05 3.820028e-05
10177.000000 -2.955923e-05 -6.671952e-07 -1.904538e-07 -1.002242e-06 3.700945e-05 -2.908589e-04 -2.854824e-05 4.039608e-05
10182.000000 -2.951936e-05 -6.690754e-07 -1.875599e-07 -1.003768e-06 3.956443e-05 -2.999929e-04 -3.226029e-05 4.016742e-05
10187.000000 -2.950939e-05 -6.700163e-07 -1.811734e-07 -1.006356e-06 4.370893e-05 -2.914568e-04 -2.129682e-05 4.382519e-05
10192.000000 -2.953169e-05 -6.742759e-07 -1.663256e-07 -1.009480e-06 4.534858e-05 -2.999770e-04 -2.251904e-05 4.255392e-05
10197.000000 -2.952327e-05 -6.772539e-07 -1.219124e-07 -1.011711e-06 4.275392e-05 -3.021909e-04 -1.915409e-05 3.848914e-05
10202.000000 -2.954775e-05 -6.795915e-07 -3.801132e-08 -1.016115e-06 3.819777e-05 -3.114521e-04 -2.318056e-05 3.401872e-05
10207.000000 -2.950846e-05 -6.800647e-07 -1.613953e-08 -1.017528e-06 4.546475e-05 -2.877073e-04 -1.985782e-05 3.455728e-05
10212.000000 -2.948667e-05 -6.820476e-07 -3.356897e-08 -1.019150e-06 4.496633e-05 -2.807433e-04 -1.371065e-05 3.356387e-05
10217.000000 -2.947047e-05 -6.846313e-07 -4.368110e-08 -1.021399e-06 3.749042e-05 -2.857504e-04 -1.458978e-05 3.577900e-05
10222.000000 -2.941081e-05 -6.874144e-07 -5.137629e-08 -1.021851e-06 3.881436e-05 -3.110991e-04 -2.135007e-05 3.998441e-05
10227.000000 -2.932972e-05 -6.885143e-07 -5.668794e-08 -1.021480e-06 5.141211e-05 -2.844615e-04 -1.891269e-05 4.153537e-05
10232.000000 -2.926183e-05 -6.899306e-07 -5.866310e-08 -1.021943e-06 5.155790e-05 -2.715584e-04 -2.464842e-05 3.888984e-05
10237.000000 -2.915366e-05 -6.914462e-07 -5.994922e-08 -1.020238e-06 4.115078e-05 -2.899015e-04 -2.126780e-05 3.864764e-05
10242.000000 -2.921388e-05 -6.942784e-07 -6.133606e-08 -1.025503e-06 4.090279e-05 -3.093447e-04 -3.254724e-05 3.137381e-05
10247.000000 -2.909524e-05 -6.961386e-07 -6.419768e-08 -1.023300e-06 4.072250e-05 -3.264398e-04 -4.004773e-05 2.583239e-05
10252.000000 -2.913020e-05 -6.997519e-07 -6.383735e-08 -1.027632e-06 3.799505e-05 -3.304575e-04 -4.701377e-05 2.984719e-05
10257.000000 -2.908353e-05 -7.025402e-07 -6.180536e-08 -1.028573e-06 3.128333e-05 -3.093750e-04 -4.619542e-05 2.886466e-05
10262.000000 -2.900165e-05 -7.052121e-07 -6.144193e-08 -1.028484e-06 3.732414e-05 -3.285601e-04 -3.151725e-05 3.728393e-05
10267.000000 -2.897289e-05 -7.075166e-07 -6.240528e-08 -1.029969e-06 4.846242e-05 -3.355749e-04 -3.712303e-05 4.674547e-05
10272.000000 -2.905884e-05 -7.118226e-07 -6.339565e-08 -1.036892e-06 4.224784e-05 -3.087314e-04 -4.127856e-05 4.589196e-05
10277.000000 -2.896004e-05 -7.130599e-07 -6.302660e-08 -1.036027e-06 3.423126e-05 -2.974871e-04 -3.962422e-05 3.558181e-05
10282.000000 -2.879105e-05 -7.125074e-07 -6.206022e-08 -1.032785e-06 3.489833e-05 -3.156803e-04 -3.474318e-05 3.004023e-05
10287.000000 -2.884218e-05 -7.174590e-07 -6.292094e-08 -1.037523e-06 3.262107e-05 -3.139513e-04 -3.418923e-05 3.004408e-05
10292.000000 -2.885642e-05 -7.207310e-07 -6.513188e-08 -1.041110e-06 2.796946e-05 -3.178066e-04 -3.881900e-05 3.140169e-05
10297.000000 -2.886037e-05 -7.241462e-07 -6.631124e-08 -1.044085e-06 2.461100e-05 -3.136014e-04 -3.091808e-05 2.951262e-05
10302.000000 -2.886053e-05 -7.276724e-07 -6.623337e-08 -1.046936e-06 2.577927e-05 -3.072707e-04 -3.140032e-05 2.289555e-05
10307.000000 -2.878932e-05 -7.299199e-07 -6.641404e-08 -1.047009e-06 3.280550e-05 -3.042802e-04 -3.595300e-05 3.544743e-05
10312.000000 -2.874592e-05 -7.326843e-07 -6.646751e-08 -1.048418e-06 3.220317e-05 -3.234656e-04 -4.181543e-05 3.720810e-05
10317.000000 -2.869135e-05 -7.353704e-07 -6.612167e-08 -1.049285e-06 3.052700e-05 -3.313956e-04 -4.244519e-05 3.638881e-05
10322.000000 -2.868073e-05 -7.383755e-07 -6.595334e-08 -1.052201e-06 3.166071e-05 -3.354619e-04 -3.321363e-05 3.587294e-05
10327.000000 -2.865631e-05 -7.407054e-07 -6.540949e-08 -1.055306e-06 2.572488e-05 -3.210350e-04 -4.722915e-05 3.554715e-05
10332.000000 -2.853054e-05 -7.417462e-07 -6.486267e-08 -1.054919e-06 2.080307e-05 -3.527602e-04 -3.139661e-05 4.456233e-05
10337.000000 -2.864183e-05 -7.490756e-07 -6.530495e-08 -1.062671e-06 3.281615e-05 -3.562647e-04 -2.596829e-05 3.929702e-05
10341.000000 -2.861356e-05 -7.479600e-07 -6.543944e-08 -1.065178e-06 3.452961e-05 -3.359056e-04 -3.273200e-05 3.033445e-05
10344.000000 -2.856404e-05 -7.471279e-07 -6.611633e-08 -1.065682e-06 3.316917e-05 -3.206172e-04 -3.353829e-05 3.481856e-05
10346.000000 -2.852308e-05 -7.465103e-07 -6.664517e-08 -1.066296e-06 2.860575e-05 -3.489696e-04 -3.968519e-05 3.623988e-05
10347.000000 -2.854920e-05 -7.470361e-07 -6.733538e-08 -1.068937e-06 3.316810e-05 -3.618742e-04 -4.858266e-05 3.312656e-05
10347.200000 -2.856123e-05 -7.471719e-07 -6.748882e-08 -1.069861e-06 3.170711e-05 -3.453814e-04 -4.325352e-05 3.076909e-05
10347.400000 -2.855930e-05 -7.480629e-07 -6.759755e-08 -1.070410e-06 4.278775e-05 -3.596225e-04 -4.004033e-05 3.836025e-05
10347.600000 -2.855468e-05 -7.478866e-07 -6.776490e-08 -1.070124e-06 3.977765e-05 -3.805137e-04 -4.481503e-05 4.041195e-05
