# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.3480545839834
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.010498
# Detector.I1.voltage: -1649.999634
# Detector.I2.voltage: -1650.00061
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371076
# Scan.uid: a6af8f9d-4d30-464e-bfa3-1275560c7a80
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  05:58:26.505899
# Scan.end_time: 06/23/2023  05:59:02.146477
# Scan.name: CuGaO2-4th PP+O2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.524008696
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 348.8332431912422
# SampleHeater.temperature2.readback: 348.20000000000005
# SampleHeater.voltage.setpoint: 0.8072724103658019
# SampleHeater.voltage.readback: 0.809
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.8
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.06103515625
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0406901054084301
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.969463e-05 -6.621560e-07 -1.913913e-07 -1.007795e-06 3.581744e-05 -3.563114e-04 -2.711610e-05 2.865828e-05
10172.000000 -2.956822e-05 -6.570988e-07 -1.889738e-07 -1.005317e-06 2.917671e-05 -3.491140e-04 -2.518513e-05 2.642477e-05
10177.000000 -2.948123e-05 -6.563551e-07 -1.871318e-07 -1.003593e-06 2.404259e-05 -3.350733e-04 -3.307654e-05 1.992919e-05
10182.000000 -2.935937e-05 -6.556276e-07 -1.835729e-07 -1.001261e-06 3.319391e-05 -3.134128e-04 -3.608107e-05 2.947024e-05
10187.000000 -2.936110e-05 -6.560179e-07 -1.767758e-07 -1.004250e-06 2.591924e-05 -3.135241e-04 -4.861544e-05 2.662631e-05
10192.000000 -2.948745e-05 -6.608390e-07 -1.625316e-07 -1.012135e-06 2.294612e-05 -3.041246e-04 -4.620055e-05 3.057462e-05
10197.000000 -2.946904e-05 -6.631171e-07 -1.193660e-07 -1.014450e-06 3.056022e-05 -2.896372e-04 -4.461434e-05 3.366087e-05
10202.000000 -2.943297e-05 -6.658685e-07 -3.765529e-08 -1.016295e-06 3.511849e-05 -2.708426e-04 -4.824190e-05 3.496783e-05
10207.000000 -2.937479e-05 -6.689190e-07 -1.598155e-08 -1.016519e-06 3.009791e-05 -2.561304e-04 -5.558248e-05 3.755403e-05
10212.000000 -2.937992e-05 -6.712161e-07 -3.289171e-08 -1.019825e-06 3.241287e-05 -2.661420e-04 -5.880263e-05 3.397453e-05
10217.000000 -2.935593e-05 -6.738445e-07 -4.247440e-08 -1.021149e-06 4.280361e-05 -2.649398e-04 -4.769540e-05 3.213246e-05
10222.000000 -2.926681e-05 -6.748033e-07 -5.019631e-08 -1.019810e-06 3.652334e-05 -2.347458e-04 -4.494002e-05 2.876558e-05
10227.000000 -2.918273e-05 -6.756229e-07 -5.533942e-08 -1.018662e-06 3.759125e-05 -2.060254e-04 -4.207409e-05 2.802601e-05
10232.000000 -2.918282e-05 -6.778263e-07 -5.738287e-08 -1.021900e-06 4.129777e-05 -2.284890e-04 -3.746774e-05 2.640963e-05
10237.000000 -2.922957e-05 -6.802914e-07 -5.876914e-08 -1.026807e-06 4.466015e-05 -2.928535e-04 -4.199458e-05 3.005653e-05
10242.000000 -2.918046e-05 -6.825593e-07 -6.015359e-08 -1.027413e-06 4.487333e-05 -2.860261e-04 -4.214330e-05 3.334828e-05
10247.000000 -2.906884e-05 -6.836350e-07 -6.234498e-08 -1.025486e-06 4.155649e-05 -2.884798e-04 -3.667222e-05 3.848733e-05
10252.000000 -2.900851e-05 -6.857485e-07 -6.216472e-08 -1.025740e-06 4.326766e-05 -2.918953e-04 -3.570184e-05 3.521123e-05
10257.000000 -2.900921e-05 -6.884871e-07 -6.005485e-08 -1.029189e-06 5.143029e-05 -2.988940e-04 -3.411057e-05 3.127702e-05
10262.000000 -2.892813e-05 -6.900026e-07 -5.971035e-08 -1.028977e-06 5.780638e-05 -3.128176e-04 -3.421825e-05 3.565844e-05
10267.000000 -2.894914e-05 -6.933717e-07 -6.107098e-08 -1.032747e-06 5.934030e-05 -2.986706e-04 -2.995736e-05 3.577558e-05
10272.000000 -2.894359e-05 -6.954767e-07 -6.154961e-08 -1.035776e-06 5.855224e-05 -2.882363e-04 -3.623511e-05 2.506749e-05
10277.000000 -2.883992e-05 -6.968902e-07 -6.142913e-08 -1.034497e-06 6.134825e-05 -2.741697e-04 -2.902940e-05 2.084763e-05
10282.000000 -2.865907e-05 -6.955690e-07 -6.038199e-08 -1.030497e-06 5.457988e-05 -2.800607e-04 -3.610113e-05 1.840758e-05
10287.000000 -2.880106e-05 -7.009841e-07 -6.142525e-08 -1.039317e-06 5.444827e-05 -2.757141e-04 -3.706336e-05 2.393682e-05
10292.000000 -2.868838e-05 -7.031318e-07 -6.345083e-08 -1.036879e-06 4.950760e-05 -2.547454e-04 -4.932078e-05 1.625917e-05
10297.000000 -2.866324e-05 -7.064560e-07 -6.449600e-08 -1.038542e-06 4.959130e-05 -2.723774e-04 -5.140323e-05 1.510039e-05
10302.000000 -2.876181e-05 -7.111183e-07 -6.446356e-08 -1.045928e-06 4.998973e-05 -2.741801e-04 -5.547224e-05 2.039995e-05
10307.000000 -2.870897e-05 -7.128472e-07 -6.439826e-08 -1.046826e-06 4.937027e-05 -2.478441e-04 -5.589113e-05 2.881871e-05
10312.000000 -2.864247e-05 -7.145400e-07 -6.459444e-08 -1.046885e-06 4.693682e-05 -2.453664e-04 -4.909645e-05 2.133037e-05
10317.000000 -2.858826e-05 -7.160723e-07 -6.435946e-08 -1.046998e-06 5.146890e-05 -2.765252e-04 -4.951808e-05 2.136278e-05
10322.000000 -2.856668e-05 -7.193435e-07 -6.385317e-08 -1.049540e-06 4.009050e-05 -2.862040e-04 -4.627374e-05 2.781056e-05
10327.000000 -2.854654e-05 -7.223384e-07 -6.347356e-08 -1.053248e-06 4.057875e-05 -2.791647e-04 -4.512709e-05 2.681480e-05
10332.000000 -2.844485e-05 -7.238847e-07 -6.310969e-08 -1.053618e-06 4.033539e-05 -2.882086e-04 -4.807833e-05 2.675886e-05
10337.000000 -2.855033e-05 -7.289533e-07 -6.344639e-08 -1.061264e-06 3.834665e-05 -3.022123e-04 -4.482142e-05 2.122599e-05
10341.000000 -2.851268e-05 -7.290389e-07 -6.378215e-08 -1.064227e-06 3.843666e-05 -3.091227e-04 -3.649206e-05 2.092766e-05
10344.000000 -2.847243e-05 -7.300921e-07 -6.451446e-08 -1.065420e-06 3.220749e-05 -2.906663e-04 -4.638118e-05 1.974263e-05
10346.000000 -2.849345e-05 -7.315920e-07 -6.537794e-08 -1.069211e-06 5.610036e-05 -3.161661e-04 -4.507861e-05 2.684313e-05
10347.000000 -2.848554e-05 -7.316936e-07 -6.565464e-08 -1.069943e-06 6.245291e-05 -3.655215e-04 -4.481236e-05 3.264537e-05
10347.200000 -2.849512e-05 -7.327513e-07 -6.580510e-08 -1.070650e-06 6.396922e-05 -3.449246e-04 -4.068217e-05 3.726430e-05
10347.400000 -2.847645e-05 -7.321404e-07 -6.590823e-08 -1.070148e-06 5.531387e-05 -3.618511e-04 -3.889757e-05 3.458844e-05
10347.600000 -2.845774e-05 -7.327688e-07 -6.629457e-08 -1.069244e-06 4.146761e-05 -3.749574e-04 -4.369008e-05 2.693227e-05
