# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.6585340497582
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.998413
# Detector.I1.voltage: -1649.999512
# Detector.I2.voltage: -1650.001953
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371080
# Scan.uid: 3c5fe9c4-0800-4340-b4b6-ba5e90af7f2d
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  06:02:26.079919
# Scan.end_time: 06/23/2023  06:02:59.569618
# Scan.name: CuGaO2-4th PP+O2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.524046843
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 368.76308834552765
# SampleHeater.temperature2.readback: 369.3
# SampleHeater.voltage.setpoint: 0.8036290155829854
# SampleHeater.voltage.readback: 0.796
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.700000000000001
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.06103515625
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.10986328125
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0406901054084301
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.952793e-05 -6.541091e-07 -1.886355e-07 -1.006551e-06 3.055584e-05 -3.857873e-04 -5.073089e-05 6.533391e-05
10172.000000 -2.945338e-05 -6.517545e-07 -1.869610e-07 -1.006830e-06 3.054332e-05 -3.711744e-04 -4.643413e-05 6.978977e-05
10177.000000 -2.935642e-05 -6.517125e-07 -1.852222e-07 -1.004494e-06 2.872974e-05 -3.625180e-04 -5.335246e-05 6.627599e-05
10182.000000 -2.928333e-05 -6.523533e-07 -1.818029e-07 -1.004572e-06 1.891565e-05 -3.660010e-04 -4.402438e-05 4.935583e-05
10187.000000 -2.926795e-05 -6.528512e-07 -1.754587e-07 -1.006331e-06 1.638665e-05 -3.772790e-04 -4.115677e-05 4.809730e-05
10192.000000 -2.937481e-05 -6.566124e-07 -1.607379e-07 -1.014062e-06 4.648468e-06 -3.756045e-04 -4.066316e-05 5.185163e-05
10197.000000 -2.935355e-05 -6.596786e-07 -1.176056e-07 -1.015371e-06 1.898541e-06 -3.947925e-04 -4.478432e-05 5.716145e-05
10202.000000 -2.932813e-05 -6.614781e-07 -3.680251e-08 -1.017233e-06 -1.329370e-06 -3.844382e-04 -5.801546e-05 5.349563e-05
10207.000000 -2.931193e-05 -6.632879e-07 -1.595502e-08 -1.019421e-06 9.596371e-06 -3.768796e-04 -5.634693e-05 5.563007e-05
10212.000000 -2.923435e-05 -6.637388e-07 -3.272786e-08 -1.018287e-06 1.720464e-05 -3.718950e-04 -5.022580e-05 5.316793e-05
10217.000000 -2.910319e-05 -6.640805e-07 -4.210229e-08 -1.014496e-06 1.575485e-05 -3.771876e-04 -3.908545e-05 5.563615e-05
10222.000000 -2.916356e-05 -6.659148e-07 -4.946603e-08 -1.020893e-06 1.857497e-05 -3.942543e-04 -4.417933e-05 5.743702e-05
10227.000000 -2.913692e-05 -6.673386e-07 -5.446471e-08 -1.023015e-06 2.456541e-05 -3.864555e-04 -5.018928e-05 6.019104e-05
10232.000000 -2.904798e-05 -6.679677e-07 -5.639445e-08 -1.021873e-06 3.060199e-05 -3.940207e-04 -4.428035e-05 6.185891e-05
10237.000000 -2.902406e-05 -6.701433e-07 -5.767638e-08 -1.023269e-06 2.912267e-05 -4.127201e-04 -4.258961e-05 6.149682e-05
10242.000000 -2.902226e-05 -6.720805e-07 -5.870988e-08 -1.026809e-06 2.313640e-05 -4.303134e-04 -3.554029e-05 5.703551e-05
10247.000000 -2.898220e-05 -6.741241e-07 -6.158388e-08 -1.028735e-06 2.694188e-05 -4.435445e-04 -3.471238e-05 6.042292e-05
10252.000000 -2.888350e-05 -6.766936e-07 -6.133248e-08 -1.026530e-06 2.592841e-05 -4.210737e-04 -3.565066e-05 6.018591e-05
10257.000000 -2.888617e-05 -6.780466e-07 -5.912621e-08 -1.030091e-06 2.786641e-05 -4.048091e-04 -4.652592e-05 6.500953e-05
10262.000000 -2.877613e-05 -6.787844e-07 -5.877155e-08 -1.028029e-06 2.796811e-05 -3.932775e-04 -5.546312e-05 6.676575e-05
10267.000000 -2.882078e-05 -6.832375e-07 -6.015844e-08 -1.032646e-06 3.419322e-05 -3.993703e-04 -5.624576e-05 6.879451e-05
10272.000000 -2.879961e-05 -6.857900e-07 -6.077825e-08 -1.035019e-06 3.395434e-05 -4.429197e-04 -4.961983e-05 6.677555e-05
10277.000000 -2.877844e-05 -6.882423e-07 -6.044204e-08 -1.037762e-06 2.707886e-05 -4.685054e-04 -5.030377e-05 5.375639e-05
10282.000000 -2.866950e-05 -6.885261e-07 -5.950464e-08 -1.037197e-06 2.877993e-05 -4.611645e-04 -5.319601e-05 5.668083e-05
10287.000000 -2.867376e-05 -6.918445e-07 -6.027521e-08 -1.039462e-06 3.244127e-05 -4.576984e-04 -5.326784e-05 6.527508e-05
10292.000000 -2.869054e-05 -6.944390e-07 -6.209073e-08 -1.043573e-06 2.807649e-05 -4.351635e-04 -4.769829e-05 7.222429e-05
10297.000000 -2.865402e-05 -6.963683e-07 -6.306224e-08 -1.044518e-06 2.444604e-05 -4.215947e-04 -3.764287e-05 6.254237e-05
10302.000000 -2.863471e-05 -6.995947e-07 -6.330619e-08 -1.045747e-06 2.792654e-05 -4.080315e-04 -4.884869e-05 6.280769e-05
10307.000000 -2.854207e-05 -7.027905e-07 -6.346418e-08 -1.043600e-06 2.962465e-05 -3.863695e-04 -5.462706e-05 6.347196e-05
10312.000000 -2.850267e-05 -7.071960e-07 -6.374225e-08 -1.044771e-06 2.647323e-05 -3.924204e-04 -6.038546e-05 6.142033e-05
10317.000000 -2.849143e-05 -7.102081e-07 -6.352295e-08 -1.047868e-06 2.743404e-05 -4.077618e-04 -6.336422e-05 5.385117e-05
10322.000000 -2.854517e-05 -7.127035e-07 -6.308981e-08 -1.054935e-06 3.080406e-05 -4.102123e-04 -6.105052e-05 5.838339e-05
10327.000000 -2.848508e-05 -7.147737e-07 -6.278541e-08 -1.056254e-06 3.569092e-05 -4.075007e-04 -4.975259e-05 6.611212e-05
10332.000000 -2.829981e-05 -7.143037e-07 -6.215110e-08 -1.052708e-06 3.974696e-05 -4.392057e-04 -4.379935e-05 6.312674e-05
10337.000000 -2.843998e-05 -7.197632e-07 -6.233867e-08 -1.062913e-06 4.082385e-05 -4.565878e-04 -5.199334e-05 5.979356e-05
10341.000000 -2.844172e-05 -7.227520e-07 -6.297055e-08 -1.067244e-06 3.717596e-05 -4.828338e-04 -5.166462e-05 6.014614e-05
10344.000000 -2.841450e-05 -7.245120e-07 -6.383601e-08 -1.069980e-06 2.921312e-05 -4.796296e-04 -6.062754e-05 5.517251e-05
10346.000000 -2.829679e-05 -7.230713e-07 -6.440499e-08 -1.066759e-06 2.197247e-05 -4.454425e-04 -7.715178e-05 4.508826e-05
10347.000000 -2.819087e-05 -7.202618e-07 -6.473933e-08 -1.062718e-06 2.634545e-05 -4.194110e-04 -6.817140e-05 3.741492e-05
10347.200000 -2.820927e-05 -7.194705e-07 -6.480475e-08 -1.064171e-06 2.851391e-05 -4.261732e-04 -5.544179e-05 3.346976e-05
10347.400000 -2.821510e-05 -7.215773e-07 -6.502601e-08 -1.064025e-06 2.980008e-05 -4.069754e-04 -5.703438e-05 3.870377e-05
10347.600000 -2.822966e-05 -7.241962e-07 -6.555489e-08 -1.065234e-06 1.928896e-05 -4.002400e-04 -6.268343e-05 4.166603e-05
