# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.5940472280302
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -349.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.003784
# Detector.I1.voltage: -1649.99939
# Detector.I2.voltage: -1649.997437
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371082
# Scan.uid: 18594ef9-bba3-4b5d-84eb-01c32c0edf8a
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  06:04:27.059006
# Scan.end_time: 06/23/2023  06:05:02.162210
# Scan.name: CuGaO2-4th PP+O2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.524046843
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 378.86798854668933
# SampleHeater.temperature2.readback: 379.0
# SampleHeater.voltage.setpoint: 0.8487730866208039
# SampleHeater.voltage.readback: 0.852
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.77
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.008138020522892475
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.10986328125
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0406901054084301
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.960925e-05 -6.572302e-07 -1.898923e-07 -1.009839e-06 4.795059e-05 -5.106248e-04 -1.421633e-05 7.866573e-05
10172.000000 -2.949921e-05 -6.526437e-07 -1.876044e-07 -1.008610e-06 4.327779e-05 -5.093201e-04 -2.416784e-05 8.066740e-05
10177.000000 -2.942489e-05 -6.519001e-07 -1.855513e-07 -1.007809e-06 3.635951e-05 -4.816926e-04 -3.277004e-05 8.255094e-05
10182.000000 -2.935327e-05 -6.517802e-07 -1.821698e-07 -1.007560e-06 2.388477e-05 -4.657868e-04 -3.756983e-05 7.662860e-05
10187.000000 -2.936599e-05 -6.522943e-07 -1.756618e-07 -1.010751e-06 2.498580e-05 -4.871055e-04 -3.643870e-05 7.561218e-05
10192.000000 -2.942953e-05 -6.559223e-07 -1.610814e-07 -1.015554e-06 3.253565e-05 -4.850778e-04 -3.377783e-05 7.875310e-05
10197.000000 -2.942496e-05 -6.591404e-07 -1.180812e-07 -1.018006e-06 2.736238e-05 -4.748025e-04 -4.001726e-05 6.354791e-05
10202.000000 -2.936806e-05 -6.610021e-07 -3.682524e-08 -1.018475e-06 2.983597e-05 -4.538456e-04 -3.826585e-05 6.750360e-05
10207.000000 -2.933494e-05 -6.631277e-07 -1.574020e-08 -1.019920e-06 3.465689e-05 -4.553579e-04 -3.550663e-05 6.006969e-05
10212.000000 -2.930142e-05 -6.650995e-07 -3.246312e-08 -1.021344e-06 4.143664e-05 -4.696397e-04 -2.933287e-05 6.757191e-05
10217.000000 -2.927235e-05 -6.670980e-07 -4.227642e-08 -1.023621e-06 3.739937e-05 -4.883032e-04 -3.340745e-05 5.939135e-05
10222.000000 -2.918862e-05 -6.679671e-07 -4.955057e-08 -1.023201e-06 2.389241e-05 -4.860036e-04 -3.278122e-05 5.720899e-05
10227.000000 -2.915186e-05 -6.699185e-07 -5.466834e-08 -1.024606e-06 2.509528e-05 -4.881095e-04 -2.733220e-05 6.070035e-05
10232.000000 -2.905510e-05 -6.706874e-07 -5.657210e-08 -1.023298e-06 3.261031e-05 -4.796703e-04 -3.144612e-05 6.775744e-05
10237.000000 -2.912796e-05 -6.746539e-07 -5.844998e-08 -1.029797e-06 3.667348e-05 -4.596694e-04 -3.411690e-05 5.964864e-05
10242.000000 -2.905630e-05 -6.762569e-07 -5.962285e-08 -1.029220e-06 3.297574e-05 -4.605352e-04 -3.022109e-05 5.839216e-05
10247.000000 -2.902728e-05 -6.776514e-07 -6.223503e-08 -1.031781e-06 2.773897e-05 -4.630167e-04 -3.338311e-05 5.831034e-05
10252.000000 -2.903245e-05 -6.815145e-07 -6.205666e-08 -1.034829e-06 3.175810e-05 -4.803064e-04 -3.654949e-05 6.601774e-05
10257.000000 -2.898732e-05 -6.832561e-07 -5.965058e-08 -1.035255e-06 2.465148e-05 -4.721100e-04 -2.809247e-05 6.493158e-05
10262.000000 -2.884763e-05 -6.837072e-07 -5.918462e-08 -1.031330e-06 3.347645e-05 -4.676937e-04 -2.859408e-05 5.963710e-05
10267.000000 -2.891729e-05 -6.880868e-07 -6.045207e-08 -1.037320e-06 3.546877e-05 -4.672226e-04 -3.464836e-05 6.908085e-05
10272.000000 -2.879420e-05 -6.888376e-07 -6.114883e-08 -1.033707e-06 4.200566e-05 -4.424223e-04 -3.410025e-05 6.465309e-05
10277.000000 -2.871731e-05 -6.899563e-07 -6.094951e-08 -1.033805e-06 3.615149e-05 -4.154090e-04 -2.979537e-05 4.881237e-05
10282.000000 -2.870526e-05 -6.922755e-07 -6.013326e-08 -1.037959e-06 4.175646e-05 -4.038560e-04 -2.972599e-05 5.243764e-05
10287.000000 -2.875137e-05 -6.973707e-07 -6.084334e-08 -1.042528e-06 3.987733e-05 -4.161574e-04 -2.116776e-05 6.223521e-05
10292.000000 -2.869165e-05 -6.991318e-07 -6.260732e-08 -1.042466e-06 3.583779e-05 -4.270116e-04 -2.645639e-05 5.514490e-05
10297.000000 -2.872855e-05 -7.023142e-07 -6.385679e-08 -1.048047e-06 3.419963e-05 -4.276379e-04 -2.939737e-05 5.872711e-05
10302.000000 -2.870140e-05 -7.049300e-07 -6.380248e-08 -1.049628e-06 2.732113e-05 -4.420732e-04 -2.953220e-05 5.648332e-05
10307.000000 -2.868253e-05 -7.066535e-07 -6.386137e-08 -1.052068e-06 2.743820e-05 -4.734209e-04 -3.099550e-05 5.388565e-05
10312.000000 -2.863657e-05 -7.084415e-07 -6.395333e-08 -1.052679e-06 3.098774e-05 -4.724252e-04 -2.759347e-05 6.239704e-05
10317.000000 -2.861587e-05 -7.109002e-07 -6.372767e-08 -1.054825e-06 3.101449e-05 -4.486679e-04 -2.503414e-05 5.776395e-05
10322.000000 -2.859138e-05 -7.131397e-07 -6.337121e-08 -1.057368e-06 2.504509e-05 -4.579546e-04 -2.158163e-05 5.667040e-05
10327.000000 -2.853592e-05 -7.138181e-07 -6.272551e-08 -1.059295e-06 2.190081e-05 -4.662498e-04 -2.372015e-05 6.856844e-05
10332.000000 -2.837890e-05 -7.149253e-07 -6.227719e-08 -1.056963e-06 1.951506e-05 -4.773295e-04 -2.645158e-05 5.962384e-05
10337.000000 -2.850058e-05 -7.204034e-07 -6.258239e-08 -1.065805e-06 3.184562e-05 -4.515097e-04 -3.545071e-05 5.689694e-05
10341.000000 -2.849645e-05 -7.203597e-07 -6.297040e-08 -1.070568e-06 2.860315e-05 -4.379295e-04 -4.005180e-05 5.804587e-05
10344.000000 -2.843863e-05 -7.200704e-07 -6.359691e-08 -1.071463e-06 2.967201e-05 -3.935678e-04 -3.404058e-05 5.515692e-05
10346.000000 -2.836598e-05 -7.203995e-07 -6.423308e-08 -1.070178e-06 3.263680e-05 -3.815097e-04 -3.211532e-05 6.960544e-05
10347.000000 -2.832754e-05 -7.206386e-07 -6.455258e-08 -1.069245e-06 3.314194e-05 -3.818374e-04 -3.659392e-05 7.100219e-05
10347.200000 -2.836574e-05 -7.245485e-07 -6.482413e-08 -1.071545e-06 3.328567e-05 -3.866760e-04 -3.407854e-05 7.311799e-05
10347.400000 -2.836467e-05 -7.199346e-07 -6.446671e-08 -1.072108e-06 3.453046e-05 -3.705300e-04 -3.439450e-05 6.878222e-05
10347.600000 -2.842253e-05 -7.229537e-07 -6.491357e-08 -1.075597e-06 4.070203e-05 -3.703109e-04 -4.211886e-05 7.351133e-05
