# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.69918211740725
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.996826
# Detector.I1.voltage: -1650.000977
# Detector.I2.voltage: -1649.998779
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371084
# Scan.uid: b5aeb5c0-517a-446f-a8d6-ca948e90b0f6
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  06:06:26.511453
# Scan.end_time: 06/23/2023  06:06:58.790425
# Scan.name: CuGaO2-4th PP+O2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.5239896225
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 388.83988082408905
# SampleHeater.temperature2.readback: 391.3
# SampleHeater.voltage.setpoint: 0.8243817126002432
# SampleHeater.voltage.readback: 0.841
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.77
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.06103515625
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.10986328125
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0406901054084301
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.950209e-05 -6.579446e-07 -1.897201e-07 -1.007383e-06 1.369894e-05 -5.410708e-04 -3.694603e-05 6.736430e-06
10172.000000 -2.937104e-05 -6.556872e-07 -1.881449e-07 -1.004257e-06 1.697700e-05 -5.340366e-04 -3.902173e-05 4.967531e-05
10177.000000 -2.931928e-05 -6.562027e-07 -1.862897e-07 -1.004493e-06 2.090601e-05 -5.306137e-04 -3.720090e-05 5.553059e-05
10182.000000 -2.923942e-05 -6.558802e-07 -1.828398e-07 -1.003894e-06 2.343520e-05 -5.308745e-04 -3.583374e-05 5.821335e-05
10187.000000 -2.926359e-05 -6.562981e-07 -1.764763e-07 -1.008223e-06 1.645474e-05 -5.280247e-04 -3.801286e-05 4.539902e-05
10192.000000 -2.929522e-05 -6.596921e-07 -1.617972e-07 -1.011330e-06 1.127818e-05 -5.266652e-04 -3.174732e-05 5.253275e-05
10197.000000 -2.935133e-05 -6.634921e-07 -1.184869e-07 -1.016814e-06 1.160024e-05 -5.515003e-04 -4.010393e-05 6.192208e-05
10202.000000 -2.925175e-05 -6.645194e-07 -3.727030e-08 -1.014584e-06 1.548766e-05 -5.366555e-04 -4.044893e-05 4.628381e-05
10207.000000 -2.918823e-05 -6.655249e-07 -1.593581e-08 -1.014745e-06 1.981986e-05 -5.274322e-04 -3.496125e-05 4.659977e-05
10212.000000 -2.923813e-05 -6.683565e-07 -3.271765e-08 -1.021112e-06 7.122535e-06 -5.119721e-04 -3.937974e-05 4.340476e-05
10217.000000 -2.921743e-05 -6.708510e-07 -4.219192e-08 -1.023186e-06 6.835315e-06 -5.189001e-04 -3.753816e-05 4.968485e-05
10222.000000 -2.918976e-05 -6.733682e-07 -4.966450e-08 -1.024773e-06 1.004295e-05 -5.197041e-04 -4.411383e-05 5.339712e-05
10227.000000 -2.905966e-05 -6.732970e-07 -5.482174e-08 -1.021101e-06 1.669407e-05 -5.041272e-04 -4.513757e-05 4.921465e-05
10232.000000 -2.899658e-05 -6.737664e-07 -5.668541e-08 -1.021611e-06 1.553338e-06 -5.035311e-04 -3.307017e-05 5.136178e-05
10237.000000 -2.903191e-05 -6.762130e-07 -5.827765e-08 -1.026255e-06 7.201233e-06 -5.059774e-04 -2.412634e-05 6.221826e-05
10242.000000 -2.893586e-05 -6.782875e-07 -5.948868e-08 -1.024385e-06 1.418041e-05 -5.161106e-04 -2.374356e-05 5.388949e-05
10247.000000 -2.893314e-05 -6.818048e-07 -6.226044e-08 -1.027941e-06 1.106012e-05 -5.047157e-04 -2.376306e-05 4.283123e-05
10252.000000 -2.895299e-05 -6.847228e-07 -6.178834e-08 -1.032061e-06 1.311616e-05 -5.073577e-04 -2.199319e-05 3.975531e-05
10257.000000 -2.893859e-05 -6.875748e-07 -5.977132e-08 -1.034053e-06 1.757993e-05 -5.226877e-04 -1.972629e-05 3.754344e-05
10262.000000 -2.880221e-05 -6.882715e-07 -5.953100e-08 -1.030409e-06 1.711391e-05 -5.166898e-04 -1.212103e-05 3.807190e-05
10267.000000 -2.879922e-05 -6.913614e-07 -6.073806e-08 -1.032902e-06 9.425012e-06 -5.079520e-04 -1.678961e-05 4.217011e-05
10272.000000 -2.884487e-05 -6.943144e-07 -6.114945e-08 -1.038787e-06 3.719716e-06 -5.206192e-04 -1.830025e-05 4.904315e-05
10277.000000 -2.875551e-05 -6.958459e-07 -6.080159e-08 -1.037951e-06 -2.454716e-07 -5.282830e-04 -2.248124e-05 5.514479e-05
10282.000000 -2.867382e-05 -6.972299e-07 -6.017601e-08 -1.038792e-06 -1.482576e-06 -5.202015e-04 -1.914053e-05 6.180951e-05
10287.000000 -2.873766e-05 -7.018630e-07 -6.114314e-08 -1.043770e-06 9.852986e-06 -5.137127e-04 -1.984011e-05 6.453266e-05
10292.000000 -2.871594e-05 -7.048526e-07 -6.294532e-08 -1.046115e-06 1.748336e-05 -5.291713e-04 -2.744095e-05 6.109928e-05
10297.000000 -2.870170e-05 -7.074913e-07 -6.402015e-08 -1.048400e-06 1.116149e-05 -5.331686e-04 -2.172134e-05 5.816575e-05
10302.000000 -2.870632e-05 -7.110784e-07 -6.405948e-08 -1.051097e-06 1.229332e-05 -5.299063e-04 -3.619517e-05 5.202635e-05
10307.000000 -2.865447e-05 -7.140681e-07 -6.437743e-08 -1.051845e-06 1.784774e-05 -5.282567e-04 -3.527168e-05 4.402841e-05
10312.000000 -2.857217e-05 -7.166181e-07 -6.459027e-08 -1.050756e-06 2.410194e-05 -5.183947e-04 -3.121694e-05 4.696243e-05
10317.000000 -2.855812e-05 -7.194263e-07 -6.421494e-08 -1.053950e-06 1.823773e-05 -5.182044e-04 -3.146184e-05 5.274250e-05
10322.000000 -2.855437e-05 -7.226902e-07 -6.390365e-08 -1.057398e-06 1.602959e-05 -5.192969e-04 -2.741177e-05 5.377939e-05
10327.000000 -2.845854e-05 -7.234251e-07 -6.334327e-08 -1.056899e-06 2.614137e-05 -5.180602e-04 -2.556063e-05 5.597517e-05
10332.000000 -2.837263e-05 -7.229774e-07 -6.276533e-08 -1.058620e-06 2.550652e-05 -5.160244e-04 -2.474703e-05 5.983302e-05
10337.000000 -2.843601e-05 -7.285205e-07 -6.309445e-08 -1.064727e-06 2.190850e-05 -4.858364e-04 -2.945390e-05 5.845444e-05
10341.000000 -2.844236e-05 -7.303301e-07 -6.361091e-08 -1.069301e-06 2.008405e-05 -4.798461e-04 -2.550932e-05 5.013746e-05
10344.000000 -2.836654e-05 -7.299274e-07 -6.422968e-08 -1.069182e-06 2.800882e-05 -4.851215e-04 -2.590963e-05 5.666411e-05
10346.000000 -2.834105e-05 -7.304529e-07 -6.507127e-08 -1.070931e-06 1.804085e-05 -4.937601e-04 -2.899426e-05 6.499003e-05
10347.000000 -2.835582e-05 -7.311011e-07 -6.547532e-08 -1.073157e-06 1.379539e-05 -4.868679e-04 -4.065662e-05 5.123825e-05
10347.200000 -2.838931e-05 -7.312515e-07 -6.551548e-08 -1.075040e-06 1.119463e-05 -4.750749e-04 -4.063172e-05 5.158063e-05
10347.400000 -2.839959e-05 -7.325396e-07 -6.570171e-08 -1.075990e-06 1.847446e-05 -5.067652e-04 -3.509946e-05 4.499953e-05
10347.600000 -2.837332e-05 -7.312381e-07 -6.578394e-08 -1.075037e-06 2.257588e-05 -5.015621e-04 -3.335548e-05 4.125995e-05
