# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.6223838933047
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.0
# Detector.I1.voltage: -1649.999634
# Detector.I2.voltage: -1649.99939
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371102
# Scan.uid: 4fa9bae2-3ad6-46d2-ad61-e77b3e9ce58e
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  06:24:22.529750
# Scan.end_time: 06/23/2023  06:24:55.988025
# Scan.name: CuGaO2-4th PP+O2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.524027769499998
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 126.28974893093107
# SampleHeater.temperature2.readback: 128.1
# SampleHeater.voltage.setpoint: 0.15514186358126922
# SampleHeater.voltage.readback: 0.154
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 11.09
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.01220703125
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.08544921875
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.06103515625
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.10986328125
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0447591133415699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.971704e-05 -6.701881e-07 -1.939369e-07 -9.941552e-07 6.853835e-05 -6.416582e-04 -4.944730e-05 2.638860e-05
10172.000000 -2.966819e-05 -6.662537e-07 -1.919864e-07 -9.952565e-07 6.587462e-05 -6.529019e-04 -4.450064e-05 1.908380e-05
10177.000000 -2.960823e-05 -6.672185e-07 -1.902882e-07 -9.947534e-07 5.741533e-05 -6.486142e-04 -3.653714e-05 2.190569e-06
10182.000000 -2.950179e-05 -6.679243e-07 -1.869946e-07 -9.930485e-07 5.585628e-05 -6.325097e-04 -3.831735e-05 7.860430e-06
10187.000000 -2.952687e-05 -6.685684e-07 -1.802907e-07 -9.970740e-07 5.113353e-05 -6.304973e-04 -3.625390e-05 9.527673e-06
10192.000000 -2.959406e-05 -6.713920e-07 -1.653291e-07 -1.001803e-06 5.587652e-05 -6.084411e-04 -4.294885e-05 9.255989e-06
10197.000000 -2.960279e-05 -6.729812e-07 -1.214351e-07 -1.005087e-06 5.760498e-05 -5.943081e-04 -4.641726e-05 7.662408e-06
10202.000000 -2.953518e-05 -6.726510e-07 -3.838101e-08 -1.005440e-06 4.825258e-05 -5.959334e-04 -5.611316e-05 9.116515e-06
10207.000000 -2.945978e-05 -6.738704e-07 -1.617038e-08 -1.005763e-06 4.634354e-05 -6.022318e-04 -6.711061e-05 3.425343e-06
10212.000000 -2.946341e-05 -6.761128e-07 -3.308130e-08 -1.009388e-06 4.341795e-05 -6.002349e-04 -6.663494e-05 -2.846864e-06
10217.000000 -2.942891e-05 -6.788510e-07 -4.293895e-08 -1.011686e-06 4.745398e-05 -6.009027e-04 -5.333321e-05 -3.517551e-06
10222.000000 -2.933474e-05 -6.791452e-07 -5.056236e-08 -1.009578e-06 6.340330e-05 -5.825443e-04 -6.035164e-05 4.909154e-06
10227.000000 -2.922287e-05 -6.805961e-07 -5.583399e-08 -1.006316e-06 4.982090e-05 -5.979511e-04 -5.667072e-05 1.328596e-06
10232.000000 -2.917628e-05 -6.821286e-07 -5.778131e-08 -1.007019e-06 4.002377e-05 -6.119577e-04 -4.014839e-05 6.694021e-06
10237.000000 -2.926654e-05 -6.847518e-07 -5.921529e-08 -1.012398e-06 4.491716e-05 -6.149604e-04 -5.151657e-05 4.443647e-06
10242.000000 -2.925948e-05 -6.877338e-07 -6.048876e-08 -1.014365e-06 6.462148e-05 -6.381348e-04 -5.298188e-05 2.388603e-06
10247.000000 -2.919608e-05 -6.891920e-07 -6.320313e-08 -1.014533e-06 6.737579e-05 -6.331631e-04 -5.253843e-05 6.558278e-06
10252.000000 -2.910035e-05 -6.909538e-07 -6.309095e-08 -1.013254e-06 4.777658e-05 -6.175626e-04 -3.861435e-05 2.697017e-06
10257.000000 -2.903615e-05 -6.925093e-07 -6.075851e-08 -1.013930e-06 4.050610e-05 -6.139584e-04 -4.675136e-05 2.096531e-06
10262.000000 -2.894454e-05 -6.939325e-07 -6.039128e-08 -1.013926e-06 4.164658e-05 -6.242650e-04 -4.224393e-05 3.899313e-06
10267.000000 -2.896864e-05 -6.982793e-07 -6.172293e-08 -1.017947e-06 4.343709e-05 -6.324871e-04 -4.959789e-05 -3.344636e-06
10272.000000 -2.906549e-05 -7.018814e-07 -6.237984e-08 -1.025042e-06 3.641050e-05 -6.363476e-04 -4.553531e-05 -1.172862e-05
10277.000000 -2.898279e-05 -7.042054e-07 -6.233261e-08 -1.024158e-06 4.131640e-05 -6.479912e-04 -4.385129e-05 -1.056881e-05
10282.000000 -2.885577e-05 -7.051997e-07 -6.141611e-08 -1.022422e-06 3.735499e-05 -6.317009e-04 -4.310533e-05 -7.656896e-06
10287.000000 -2.890366e-05 -7.094513e-07 -6.222329e-08 -1.027538e-06 3.684089e-05 -6.331251e-04 -4.931093e-05 -1.264984e-05
10292.000000 -2.885568e-05 -7.115673e-07 -6.435670e-08 -1.028221e-06 4.945597e-05 -6.180685e-04 -5.396020e-05 -1.209419e-05
10297.000000 -2.883528e-05 -7.140710e-07 -6.534798e-08 -1.030721e-06 5.054570e-05 -6.098881e-04 -6.117038e-05 -1.595392e-05
10302.000000 -2.882393e-05 -7.176472e-07 -6.508655e-08 -1.033209e-06 4.874468e-05 -6.156842e-04 -5.795559e-05 -6.996207e-06
10307.000000 -2.881059e-05 -7.200487e-07 -6.510580e-08 -1.036312e-06 4.844671e-05 -6.138490e-04 -5.864241e-05 -3.920639e-06
10312.000000 -2.876967e-05 -7.234622e-07 -6.538112e-08 -1.037407e-06 4.526884e-05 -6.043823e-04 -6.207135e-05 2.942274e-06
10317.000000 -2.872351e-05 -7.265512e-07 -6.537518e-08 -1.038284e-06 4.045191e-05 -6.185723e-04 -6.243823e-05 2.451800e-06
10322.000000 -2.871354e-05 -7.294992e-07 -6.498049e-08 -1.041883e-06 4.796302e-05 -6.158955e-04 -5.545082e-05 1.555438e-08
10327.000000 -2.865404e-05 -7.305018e-07 -6.425517e-08 -1.043701e-06 6.523412e-05 -6.233754e-04 -5.567797e-05 3.199008e-06
10332.000000 -2.850856e-05 -7.312071e-07 -6.388111e-08 -1.042417e-06 5.182295e-05 -6.385797e-04 -6.017473e-05 3.216364e-06
10337.000000 -2.862627e-05 -7.367994e-07 -6.424700e-08 -1.050404e-06 4.192911e-05 -6.007383e-04 -4.731405e-05 3.435347e-06
10341.000000 -2.858982e-05 -7.375651e-07 -6.460689e-08 -1.052893e-06 4.339418e-05 -6.124583e-04 -4.838122e-05 1.197164e-06
10344.000000 -2.856037e-05 -7.375286e-07 -6.529572e-08 -1.055365e-06 5.175706e-05 -6.015838e-04 -4.834094e-05 -2.047835e-05
10346.000000 -2.853120e-05 -7.370455e-07 -6.594781e-08 -1.056764e-06 5.987865e-05 -5.755263e-04 -5.113861e-05 -8.494652e-06
10347.000000 -2.853037e-05 -7.376642e-07 -6.667070e-08 -1.057962e-06 5.664608e-05 -5.668488e-04 -5.284646e-05 -9.316986e-06
10347.200000 -2.852293e-05 -7.372935e-07 -6.655384e-08 -1.058024e-06 5.028089e-05 -5.652107e-04 -5.288828e-05 -1.069974e-05
10347.400000 -2.850324e-05 -7.382019e-07 -6.660392e-08 -1.057274e-06 5.436301e-05 -5.474121e-04 -6.865506e-05 -1.272943e-05
10347.600000 -2.852091e-05 -7.377925e-07 -6.669895e-08 -1.058625e-06 6.014488e-05 -5.687980e-04 -6.817317e-05 -1.091617e-05
