# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.9937906811306
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.99939
# Detector.I1.voltage: -1650.002075
# Detector.I2.voltage: -1650.001953
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371107
# Scan.uid: 08dd2389-d8dc-4a9c-8721-563b30db1ead
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  06:42:09.012800
# Scan.end_time: 06/23/2023  06:42:42.661285
# Scan.name: Cu2O+Ga2O3-2nd H2-RT (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-2nd
# Sample.comment: 
# Sample.position.x: -66.4430522345
# Sample.position.y: 31.0989030595
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 25.0
# SampleHeater.temperature2.readback: 30.400000000000002
# SampleHeater.voltage.setpoint: 0.0
# SampleHeater.voltage.readback: 0.0
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.008000000000001
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.44
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.2115885466337204
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0935872420668602
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.01220703125
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.10986328125
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0406901054084301
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.960830e-05 -8.009563e-07 -2.468314e-07 -9.286653e-07 5.878310e-05 -3.220672e-05 -6.605540e-06 7.086218e-05
10172.000000 -2.950849e-05 -7.965713e-07 -2.442800e-07 -9.278107e-07 7.073415e-05 -8.065096e-06 -8.379419e-06 6.090006e-05
10177.000000 -2.940418e-05 -7.960722e-07 -2.421015e-07 -9.255389e-07 5.865998e-05 -5.380712e-07 -1.466982e-06 5.991146e-05
10182.000000 -2.929311e-05 -7.951674e-07 -2.376345e-07 -9.242063e-07 5.171405e-05 -1.695486e-05 7.397967e-06 5.933939e-05
10187.000000 -2.935022e-05 -7.942770e-07 -2.289576e-07 -9.301133e-07 5.750917e-05 -3.624094e-05 8.746601e-06 5.600371e-05
10192.000000 -2.941389e-05 -7.979004e-07 -2.109311e-07 -9.348582e-07 5.178674e-05 -5.571011e-05 9.239168e-06 6.094684e-05
10197.000000 -2.940954e-05 -7.996836e-07 -1.572029e-07 -9.374310e-07 6.020572e-05 -4.968349e-05 7.395164e-06 5.308612e-05
10202.000000 -2.936708e-05 -8.018701e-07 -5.196426e-08 -9.390401e-07 6.754372e-05 -3.475991e-05 -2.321795e-07 5.471816e-05
10207.000000 -2.935052e-05 -8.039702e-07 -2.317988e-08 -9.413856e-07 6.145002e-05 -3.449144e-05 5.605264e-06 5.651007e-05
10212.000000 -2.929658e-05 -8.079139e-07 -4.674255e-08 -9.420457e-07 5.779579e-05 -6.394011e-05 9.324110e-06 6.188146e-05
10217.000000 -2.911811e-05 -8.137506e-07 -6.010339e-08 -9.375529e-07 6.260590e-05 -6.703539e-05 1.600321e-06 5.973163e-05
10222.000000 -2.912363e-05 -8.155791e-07 -6.985701e-08 -9.402129e-07 6.384462e-05 -6.766865e-05 -3.199271e-06 5.453104e-05
10227.000000 -2.916281e-05 -8.156073e-07 -7.624706e-08 -9.442490e-07 6.716021e-05 -6.727597e-05 1.823616e-06 5.462543e-05
10232.000000 -2.909654e-05 -8.162170e-07 -7.888997e-08 -9.448524e-07 6.346315e-05 -5.414160e-05 6.705469e-06 5.536104e-05
10237.000000 -2.915158e-05 -8.181629e-07 -8.067631e-08 -9.503863e-07 5.537255e-05 -4.509476e-05 1.016288e-05 5.395974e-05
10242.000000 -2.908274e-05 -8.203287e-07 -8.223565e-08 -9.496704e-07 5.818875e-05 -7.054761e-05 3.636068e-06 5.959846e-05
10247.000000 -2.903669e-05 -8.207767e-07 -8.533119e-08 -9.508310e-07 6.358629e-05 -7.331544e-05 -2.804004e-06 5.552595e-05
10252.000000 -2.902387e-05 -8.239845e-07 -8.536856e-08 -9.529540e-07 8.008277e-05 -8.136513e-05 1.040254e-05 5.781062e-05
10257.000000 -2.897650e-05 -8.266056e-07 -8.268600e-08 -9.536491e-07 7.352120e-05 -9.820786e-05 1.027472e-05 6.326011e-05
10262.000000 -2.886230e-05 -8.279845e-07 -8.209531e-08 -9.518083e-07 6.652898e-05 -8.602048e-05 1.440464e-05 6.644412e-05
10267.000000 -2.887896e-05 -8.324391e-07 -8.357211e-08 -9.543703e-07 5.944409e-05 -5.986759e-05 5.811752e-06 5.493627e-05
10272.000000 -2.894484e-05 -8.349468e-07 -8.441582e-08 -9.601846e-07 6.855462e-05 -7.092634e-05 5.162732e-06 4.533912e-05
10277.000000 -2.888389e-05 -8.380563e-07 -8.400831e-08 -9.607852e-07 6.966844e-05 -6.745868e-05 1.085853e-06 4.988968e-05
10282.000000 -2.870936e-05 -8.385862e-07 -8.272699e-08 -9.572823e-07 6.756370e-05 -8.179021e-05 4.726052e-06 5.469668e-05
10287.000000 -2.877123e-05 -8.446738e-07 -8.397124e-08 -9.621622e-07 6.888550e-05 -7.438777e-05 -5.671972e-07 5.630309e-05
10292.000000 -2.870625e-05 -8.470856e-07 -8.667564e-08 -9.629798e-07 7.209741e-05 -7.092138e-05 -2.225254e-06 6.041789e-05
10297.000000 -2.872450e-05 -8.485341e-07 -8.761259e-08 -9.688419e-07 6.586586e-05 -6.161728e-05 -3.555562e-06 5.900793e-05
10302.000000 -2.869507e-05 -8.516790e-07 -8.770756e-08 -9.710719e-07 7.414145e-05 -7.938707e-05 -7.141585e-06 4.812971e-05
10307.000000 -2.866931e-05 -8.548491e-07 -8.804616e-08 -9.714581e-07 7.662583e-05 -7.859266e-05 -3.772727e-06 4.848966e-05
10312.000000 -2.865300e-05 -8.560823e-07 -8.792657e-08 -9.740510e-07 7.350922e-05 -6.026477e-05 -7.850501e-06 5.118940e-05
10317.000000 -2.861381e-05 -8.581386e-07 -8.769950e-08 -9.761648e-07 7.164227e-05 -7.161983e-05 -1.577360e-06 5.571429e-05
10322.000000 -2.858857e-05 -8.629104e-07 -8.732419e-08 -9.786760e-07 7.041920e-05 -8.856422e-05 2.092292e-06 5.443490e-05
10327.000000 -2.855299e-05 -8.669394e-07 -8.679869e-08 -9.812620e-07 6.857655e-05 -9.455134e-05 -4.874527e-06 5.381514e-05
10332.000000 -2.847348e-05 -8.663490e-07 -8.589085e-08 -9.842108e-07 6.322613e-05 -1.000640e-04 2.605736e-06 5.028286e-05
10337.000000 -2.852473e-05 -8.697495e-07 -8.606356e-08 -9.908003e-07 5.363993e-05 -1.187496e-04 1.693043e-06 5.824487e-05
10341.000000 -2.850726e-05 -8.713710e-07 -8.672170e-08 -9.968698e-07 5.453585e-05 -1.323013e-04 6.669339e-06 5.773276e-05
10344.000000 -2.845611e-05 -8.700748e-07 -8.742275e-08 -1.000460e-06 5.287789e-05 -1.192435e-04 1.233922e-05 5.619044e-05
10346.000000 -2.840883e-05 -8.698044e-07 -8.838542e-08 -1.001982e-06 5.205570e-05 -1.245539e-04 1.482343e-05 5.683674e-05
10347.000000 -2.837997e-05 -8.697521e-07 -8.907177e-08 -1.001825e-06 5.681428e-05 -1.362876e-04 9.186097e-06 5.689524e-05
10347.200000 -2.837201e-05 -8.701648e-07 -8.935860e-08 -1.001514e-06 6.017812e-05 -1.262304e-04 2.360353e-05 6.285474e-05
10347.400000 -2.837632e-05 -8.693723e-07 -8.939352e-08 -1.002928e-06 6.190875e-05 -1.303678e-04 2.430320e-05 6.658295e-05
10347.600000 -2.839800e-05 -8.676074e-07 -8.905881e-08 -1.004530e-06 5.665915e-05 -1.440459e-04 2.185144e-05 6.571379e-05
10347.800000 -2.840402e-05 -8.716254e-07 -8.938081e-08 -1.005313e-06 4.635997e-05 -1.180910e-04 2.141467e-05 6.216488e-05
