# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.1506960510703
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -349.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.001221
# Detector.I1.voltage: -1650.000488
# Detector.I2.voltage: -1650.002319
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371110
# Scan.uid: 2936b72f-10c0-4887-a38e-c71f918f2846
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  06:46:20.525504
# Scan.end_time: 06/23/2023  06:46:52.948120
# Scan.name: Cu2O+Ga2O3-2nd H2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-2nd
# Sample.comment: 
# Sample.position.x: -66.442995014
# Sample.position.y: 31.099036574
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 42.56336539710334
# SampleHeater.temperature2.readback: 37.5
# SampleHeater.voltage.setpoint: 0.32401561528750955
# SampleHeater.voltage.readback: 0.307
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.36
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.2034505158662796
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.1057942733168602
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0935872420668602
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.03662109375
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.10986328125
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.03662109375
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.418673e-05 -4.067053e-07 -2.693642e-07 -3.096528e-07 5.208584e-05 -1.504228e-04 1.198717e-05 4.473911e-05
 8784.000000 -3.428335e-05 -4.062888e-07 -2.691877e-07 -3.110453e-07 5.350485e-05 -1.519088e-04 1.847535e-05 4.022167e-05
 8789.000000 -3.424720e-05 -4.056035e-07 -2.688982e-07 -3.115906e-07 5.471881e-05 -1.314905e-04 1.564224e-05 3.821956e-05
 8794.000000 -3.407810e-05 -4.053914e-07 -2.687941e-07 -3.106927e-07 5.710583e-05 -1.292871e-04 1.940905e-05 3.810140e-05
 8799.000000 -3.372431e-05 -4.011665e-07 -2.663599e-07 -3.081213e-07 5.368124e-05 -1.087882e-04 2.115497e-05 4.789332e-05
 8804.000000 -3.399075e-05 -4.058310e-07 -2.697565e-07 -3.110146e-07 5.174799e-05 -1.412271e-04 1.197840e-05 3.694876e-05
 8809.000000 -3.369383e-05 -4.087584e-07 -2.719273e-07 -3.090118e-07 4.590593e-05 -1.604453e-04 6.608554e-06 3.779346e-05
 8814.000000 -3.339553e-05 -4.078495e-07 -2.713031e-07 -3.068690e-07 4.428637e-05 -1.542040e-04 3.926060e-06 3.985936e-05
 8819.000000 -3.347149e-05 -4.084060e-07 -2.719493e-07 -3.080669e-07 4.432247e-05 -1.619787e-04 -2.674986e-06 4.527271e-05
 8824.000000 -3.350295e-05 -4.079522e-07 -2.716775e-07 -3.089343e-07 4.103661e-05 -1.537071e-04 3.628598e-06 3.976903e-05
 8829.000000 -3.354717e-05 -4.056392e-07 -2.705990e-07 -3.106099e-07 5.048651e-05 -1.666848e-04 2.139105e-05 4.542516e-05
 8834.000000 -3.346112e-05 -4.045773e-07 -2.703914e-07 -3.110832e-07 6.303670e-05 -1.741185e-04 3.285889e-05 5.226752e-05
 8839.000000 -3.334577e-05 -4.053444e-07 -2.709053e-07 -3.114695e-07 4.771058e-05 -1.902603e-04 3.103591e-05 5.334159e-05
 8844.000000 -3.324424e-05 -4.057256e-07 -2.713508e-07 -3.116321e-07 4.382955e-05 -1.770449e-04 2.772017e-05 4.444087e-05
 8849.000000 -3.317202e-05 -4.059338e-07 -2.714975e-07 -3.120621e-07 5.214321e-05 -1.848830e-04 1.845048e-05 4.016467e-05
 8854.000000 -3.303641e-05 -4.070757e-07 -2.722065e-07 -3.117270e-07 4.310543e-05 -1.920649e-04 8.678416e-06 4.020290e-05
 8859.000000 -3.293721e-05 -4.081982e-07 -2.735799e-07 -3.119018e-07 3.430012e-05 -2.116153e-04 1.080233e-05 4.215365e-05
 8864.000000 -3.286497e-05 -4.091541e-07 -2.742290e-07 -3.122403e-07 3.704693e-05 -2.062013e-04 1.451214e-05 4.772604e-05
 8869.000000 -3.274729e-05 -4.098181e-07 -2.749350e-07 -3.117923e-07 4.556782e-05 -2.036018e-04 8.784812e-06 4.223324e-05
 8874.000000 -3.261987e-05 -4.114082e-07 -2.762347e-07 -3.114441e-07 5.332246e-05 -2.099195e-04 1.093937e-05 3.622991e-05
 8879.000000 -3.255060e-05 -4.114036e-07 -2.761351e-07 -3.116397e-07 4.711848e-05 -2.051659e-04 1.743713e-05 3.936909e-05
 8884.000000 -3.223197e-05 -4.114115e-07 -2.761139e-07 -3.097800e-07 3.967426e-05 -1.776541e-04 2.266701e-05 3.711468e-05
 8889.000000 -3.187105e-05 -4.133670e-07 -2.777138e-07 -3.077328e-07 4.084373e-05 -2.012820e-04 1.660308e-05 3.451891e-05
 8894.000000 -3.225246e-05 -4.135646e-07 -2.780360e-07 -3.113273e-07 5.103769e-05 -2.140503e-04 6.176758e-06 3.718099e-05
 8899.000000 -3.211170e-05 -4.151046e-07 -2.794529e-07 -3.105985e-07 5.648763e-05 -1.643660e-04 1.961670e-05 4.086419e-05
 8904.000000 -3.190954e-05 -4.172182e-07 -2.809973e-07 -3.090272e-07 5.272448e-05 -1.787589e-04 1.924646e-05 4.618064e-05
 8909.000000 -3.187023e-05 -4.164493e-07 -2.803480e-07 -3.091798e-07 4.879182e-05 -1.595724e-04 1.564321e-05 4.962411e-05
 8914.000000 -3.161615e-05 -4.159104e-07 -2.801186e-07 -3.072740e-07 6.153375e-05 -1.551974e-04 8.928360e-07 4.561079e-05
 8919.000000 -3.158801e-05 -4.161523e-07 -2.803112e-07 -3.079498e-07 7.290536e-05 -1.805859e-04 1.597001e-05 4.019235e-05
 8924.000000 -3.141752e-05 -4.165191e-07 -2.807314e-07 -3.074841e-07 7.090480e-05 -1.979456e-04 2.606190e-05 4.099913e-05
 8929.000000 -3.146137e-05 -4.191489e-07 -2.824744e-07 -3.091770e-07 6.732383e-05 -2.078268e-04 1.722404e-05 4.505682e-05
 8934.000000 -3.139343e-05 -4.203142e-07 -2.833057e-07 -3.097997e-07 5.727754e-05 -2.223222e-04 8.261453e-06 4.807376e-05
 8939.000000 -3.126681e-05 -4.209521e-07 -2.837469e-07 -3.097849e-07 6.467261e-05 -1.863728e-04 1.709158e-05 4.975244e-05
 8944.000000 -3.110322e-05 -4.209126e-07 -2.836634e-07 -3.092963e-07 6.051356e-05 -1.976477e-04 1.398624e-05 3.248444e-05
 8949.000000 -3.098128e-05 -4.195579e-07 -2.825637e-07 -3.091472e-07 5.527297e-05 -2.269118e-04 9.038814e-06 2.531206e-05
 8953.000000 -3.090352e-05 -4.197017e-07 -2.824671e-07 -3.092700e-07 4.723100e-05 -1.954869e-04 1.755854e-05 3.336073e-05
 8956.000000 -3.084971e-05 -4.192233e-07 -2.819294e-07 -3.094280e-07 5.326343e-05 -2.035057e-04 2.330990e-05 4.791154e-05
 8958.000000 -3.082274e-05 -4.195091e-07 -2.817149e-07 -3.096427e-07 5.572692e-05 -2.330349e-04 2.485542e-05 5.299374e-05
 8959.000000 -3.081973e-05 -4.190235e-07 -2.810964e-07 -3.099450e-07 5.037493e-05 -2.341233e-04 2.718060e-05 5.400890e-05
 8959.200000 -3.081834e-05 -4.187229e-07 -2.807915e-07 -3.099797e-07 4.895912e-05 -2.504339e-04 3.136689e-05 5.672860e-05
 8959.400000 -3.081254e-05 -4.194781e-07 -2.812274e-07 -3.099319e-07 3.453508e-05 -2.332614e-04 2.180866e-05 4.422958e-05
 8959.600000 -3.078324e-05 -4.192303e-07 -2.810399e-07 -3.098611e-07 3.937144e-05 -2.311916e-04 2.462645e-05 4.801719e-05
