# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.4200707461664
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -349.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.001221
# Detector.I1.voltage: -1650.002319
# Detector.I2.voltage: -1650.000854
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371125
# Scan.uid: 596adfbd-4b01-49aa-8909-eff8df6b103f
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  07:01:18.057327
# Scan.end_time: 06/23/2023  07:01:51.708220
# Scan.name: Cu2O+Ga2O3-2nd H2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-2nd
# Sample.comment: 
# Sample.position.x: -66.442995014
# Sample.position.y: 31.0990556475
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 195.6098688880967
# SampleHeater.temperature2.readback: 200.4
# SampleHeater.voltage.setpoint: 0.4131425047960769
# SampleHeater.voltage.readback: 0.427
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 9.94
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1871744841337204
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.1180013045668602
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.1057942733168602
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.01220703125
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.09765625
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.10986328125
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0406901054084301
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.964081e-05 -8.195397e-07 -2.537029e-07 -9.338637e-07 5.785724e-05 -3.243677e-04 -3.436961e-05 1.412983e-05
10172.000000 -2.958648e-05 -8.157526e-07 -2.514708e-07 -9.351433e-07 5.083490e-05 -3.065587e-04 -2.946155e-05 1.798609e-05
10177.000000 -2.950625e-05 -8.158256e-07 -2.488074e-07 -9.343294e-07 4.355943e-05 -3.002181e-04 -2.201317e-05 7.906217e-06
10182.000000 -2.944448e-05 -8.160419e-07 -2.445807e-07 -9.352965e-07 4.025140e-05 -2.725226e-04 -2.666186e-05 -2.274656e-06
10187.000000 -2.936171e-05 -8.196744e-07 -2.374610e-07 -9.345576e-07 4.050544e-05 -2.970299e-04 -2.524413e-05 -1.293500e-05
10192.000000 -2.941326e-05 -8.229448e-07 -2.191936e-07 -9.383948e-07 3.988011e-05 -2.908308e-04 -3.250923e-05 -2.148979e-06
10197.000000 -2.935537e-05 -8.261220e-07 -1.637264e-07 -9.387224e-07 4.468936e-05 -2.770789e-04 -3.185340e-05 -1.106848e-05
10202.000000 -2.935316e-05 -8.264065e-07 -5.440497e-08 -9.413242e-07 4.468750e-05 -3.109881e-04 -3.523244e-05 -9.910142e-06
10207.000000 -2.929025e-05 -8.292117e-07 -2.401342e-08 -9.412761e-07 3.951411e-05 -3.262911e-04 -2.762699e-05 -2.525993e-06
10212.000000 -2.913762e-05 -8.352172e-07 -4.859161e-08 -9.374595e-07 4.277091e-05 -2.942142e-04 -2.913880e-05 5.339151e-06
10217.000000 -2.930231e-05 -8.315920e-07 -6.192107e-08 -9.469789e-07 4.538707e-05 -3.255625e-04 -1.820254e-05 1.130157e-05
10222.000000 -2.927260e-05 -8.326049e-07 -7.204193e-08 -9.485633e-07 4.047785e-05 -3.161100e-04 -7.182201e-06 1.203364e-05
10227.000000 -2.928218e-05 -8.315479e-07 -7.860648e-08 -9.518170e-07 4.499963e-05 -3.160328e-04 -1.178462e-05 8.885276e-06
10232.000000 -2.921297e-05 -8.307771e-07 -8.138134e-08 -9.525246e-07 4.781089e-05 -3.146974e-04 -1.841272e-05 5.060702e-06
10237.000000 -2.920831e-05 -8.335427e-07 -8.349443e-08 -9.550455e-07 4.738816e-05 -3.071512e-04 -2.063566e-05 7.966809e-06
10242.000000 -2.916618e-05 -8.366267e-07 -8.514220e-08 -9.562911e-07 4.758592e-05 -3.211556e-04 -2.093774e-05 9.708771e-06
10247.000000 -2.909059e-05 -8.373395e-07 -8.822930e-08 -9.567486e-07 4.480312e-05 -3.223147e-04 -2.378337e-05 9.539375e-06
10252.000000 -2.910133e-05 -8.396482e-07 -8.779745e-08 -9.604930e-07 4.357643e-05 -3.077654e-04 -1.500561e-05 4.996302e-06
10257.000000 -2.906503e-05 -8.423023e-07 -8.488909e-08 -9.620888e-07 4.727863e-05 -3.259721e-04 -2.005145e-05 1.240592e-05
10262.000000 -2.896166e-05 -8.450219e-07 -8.453810e-08 -9.617825e-07 5.141986e-05 -3.348613e-04 -2.933353e-05 1.628955e-05
10267.000000 -2.901232e-05 -8.493960e-07 -8.650903e-08 -9.677258e-07 4.555360e-05 -3.369556e-04 -1.826386e-05 1.582275e-05
10272.000000 -2.900590e-05 -8.521744e-07 -8.752959e-08 -9.709671e-07 4.343784e-05 -3.421202e-04 -2.070058e-05 6.760338e-06
10277.000000 -2.894809e-05 -8.543634e-07 -8.693718e-08 -9.709833e-07 3.995495e-05 -3.520688e-04 -1.360385e-05 7.558875e-06
10282.000000 -2.879906e-05 -8.542670e-07 -8.584528e-08 -9.684645e-07 4.463647e-05 -3.507414e-04 -1.126540e-05 1.642134e-05
10287.000000 -2.880183e-05 -8.616630e-07 -8.687795e-08 -9.709980e-07 4.376459e-05 -3.373209e-04 -1.139088e-05 1.153466e-05
10292.000000 -2.875107e-05 -8.654956e-07 -8.966892e-08 -9.710940e-07 4.513148e-05 -3.271910e-04 -2.079606e-05 1.372846e-05
10297.000000 -2.880202e-05 -8.666938e-07 -9.078470e-08 -9.756210e-07 4.478721e-05 -3.114686e-04 -1.663906e-05 1.147702e-05
10302.000000 -2.879661e-05 -8.707053e-07 -9.089441e-08 -9.781847e-07 4.884770e-05 -3.195935e-04 -2.836852e-05 1.805755e-05
10307.000000 -2.874971e-05 -8.745998e-07 -9.113010e-08 -9.793919e-07 4.494563e-05 -3.314375e-04 -2.751738e-05 7.056757e-06
10312.000000 -2.872004e-05 -8.778485e-07 -9.126996e-08 -9.815051e-07 4.629003e-05 -3.168488e-04 -2.455794e-05 3.907178e-06
10317.000000 -2.869642e-05 -8.807260e-07 -9.099616e-08 -9.844715e-07 5.185931e-05 -2.849968e-04 -2.547392e-05 4.248876e-06
10322.000000 -2.867159e-05 -8.841473e-07 -9.068718e-08 -9.876775e-07 5.283957e-05 -2.774839e-04 -2.991536e-05 1.043871e-05
10327.000000 -2.862928e-05 -8.862855e-07 -8.990078e-08 -9.912317e-07 4.538839e-05 -2.664951e-04 -3.175986e-05 -6.584095e-07
10332.000000 -2.851667e-05 -8.857138e-07 -8.907189e-08 -9.924253e-07 3.977009e-05 -2.456644e-04 -3.128995e-05 -4.653264e-06
10337.000000 -2.858943e-05 -8.920461e-07 -8.956979e-08 -9.983373e-07 4.880886e-05 -2.378878e-04 -3.496783e-05 -7.273408e-06
10341.000000 -2.857665e-05 -8.939950e-07 -9.018913e-08 -1.002299e-06 5.509376e-05 -2.584632e-04 -2.504417e-05 -1.303662e-05
10344.000000 -2.852113e-05 -8.940563e-07 -9.098694e-08 -1.003886e-06 5.565441e-05 -2.707001e-04 -1.853977e-05 -7.335784e-06
10346.000000 -2.847903e-05 -8.925461e-07 -9.171938e-08 -1.005987e-06 4.613124e-05 -2.637041e-04 -1.751274e-05 -1.204532e-05
10347.000000 -2.851875e-05 -8.925345e-07 -9.220280e-08 -1.010068e-06 4.070212e-05 -2.766761e-04 -3.009759e-05 -1.061860e-05
10347.200000 -2.851188e-05 -8.929542e-07 -9.240653e-08 -1.009948e-06 4.092584e-05 -2.741519e-04 -3.094703e-05 -1.110455e-05
10347.400000 -2.850190e-05 -8.899005e-07 -9.211445e-08 -1.010001e-06 4.342998e-05 -2.787388e-04 -3.255445e-05 -3.825323e-06
10347.600000 -2.852909e-05 -8.919062e-07 -9.248110e-08 -1.011913e-06 4.498379e-05 -2.955052e-04 -2.695611e-05 -5.638995e-06
