# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.937408521738
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.990723
# Detector.I1.voltage: -1650.002441
# Detector.I2.voltage: -1650.002197
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371142
# Scan.uid: 8b975cd5-c1b2-452a-a1de-0f530a7cdec5
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  07:44:45.532522
# Scan.end_time: 06/23/2023  07:45:18.995931
# Scan.name: Cu2O+Ga2O3-2nd PP+O2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-2nd
# Sample.comment: 
# Sample.position.x: -66.442995014
# Sample.position.y: 31.098998426999998
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 80.23781900373665
# SampleHeater.temperature2.readback: 80.5
# SampleHeater.voltage.setpoint: 0.33185147170737583
# SampleHeater.voltage.readback: 0.338
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 19.400000000000002
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0895182266831398
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.01220703125
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 7.0
# SampleGasHandlingSystem.MFC9.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0895182266831398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.03662109375
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.438915e-05 -4.217965e-07 -2.792450e-07 -3.115537e-07 3.645430e-05 -3.932939e-04 -3.777764e-05 3.614407e-05
 8784.000000 -3.451806e-05 -4.215085e-07 -2.791504e-07 -3.134668e-07 3.237009e-05 -3.816377e-04 -3.709050e-05 3.048955e-05
 8789.000000 -3.444714e-05 -4.205204e-07 -2.788048e-07 -3.138392e-07 4.098521e-05 -3.618589e-04 -3.286113e-05 3.197500e-05
 8794.000000 -3.430575e-05 -4.183118e-07 -2.776563e-07 -3.131930e-07 4.916507e-05 -3.891211e-04 -3.957082e-05 3.948054e-05
 8799.000000 -3.385849e-05 -4.147676e-07 -2.752807e-07 -3.098037e-07 4.393564e-05 -3.946060e-04 -3.627505e-05 4.206276e-05
 8804.000000 -3.418566e-05 -4.183754e-07 -2.779995e-07 -3.133008e-07 5.659773e-05 -3.850440e-04 -4.107175e-05 3.451817e-05
 8809.000000 -3.409891e-05 -4.194364e-07 -2.789941e-07 -3.131254e-07 5.758031e-05 -3.798887e-04 -3.698962e-05 2.829661e-05
 8814.000000 -3.382880e-05 -4.191037e-07 -2.789676e-07 -3.112364e-07 3.852087e-05 -3.815833e-04 -3.077260e-05 2.679272e-05
 8819.000000 -3.382937e-05 -4.209799e-07 -2.805420e-07 -3.115631e-07 3.698392e-05 -3.975986e-04 -1.935916e-05 2.571125e-05
 8824.000000 -3.383992e-05 -4.213678e-07 -2.809756e-07 -3.124614e-07 2.812032e-05 -4.117255e-04 -3.454234e-05 2.474226e-05
 8829.000000 -3.375619e-05 -4.213222e-07 -2.811933e-07 -3.126460e-07 2.511158e-05 -4.201500e-04 -3.265366e-05 3.188841e-05
 8834.000000 -3.361787e-05 -4.223413e-07 -2.822523e-07 -3.127173e-07 2.526179e-05 -4.083812e-04 -3.740036e-05 3.912091e-05
 8839.000000 -3.357346e-05 -4.225610e-07 -2.820943e-07 -3.135216e-07 2.832281e-05 -4.136848e-04 -3.997482e-05 3.578070e-05
 8844.000000 -3.345085e-05 -4.235905e-07 -2.831594e-07 -3.133668e-07 3.507017e-05 -3.924995e-04 -2.945812e-05 3.834635e-05
 8849.000000 -3.332039e-05 -4.239927e-07 -2.837116e-07 -3.134932e-07 4.088834e-05 -3.882199e-04 -3.314511e-05 3.858680e-05
 8854.000000 -3.328758e-05 -4.243756e-07 -2.840685e-07 -3.139918e-07 4.905589e-05 -4.384531e-04 -3.652334e-05 4.154782e-05
 8859.000000 -3.317668e-05 -4.248786e-07 -2.847927e-07 -3.140773e-07 4.264557e-05 -4.171524e-04 -3.718543e-05 4.003484e-05
 8864.000000 -3.309211e-05 -4.252757e-07 -2.851273e-07 -3.143010e-07 3.890969e-05 -4.019765e-04 -3.737840e-05 4.100540e-05
 8869.000000 -3.285041e-05 -4.270055e-07 -2.862698e-07 -3.128785e-07 3.749593e-05 -3.974905e-04 -3.505323e-05 2.931066e-05
 8874.000000 -3.284825e-05 -4.265692e-07 -2.863245e-07 -3.136340e-07 3.995171e-05 -4.018716e-04 -3.877767e-05 3.537322e-05
 8879.000000 -3.270101e-05 -4.269360e-07 -2.867203e-07 -3.129573e-07 4.093086e-05 -4.045197e-04 -4.544112e-05 2.744480e-05
 8884.000000 -3.239577e-05 -4.253235e-07 -2.854253e-07 -3.115098e-07 2.557195e-05 -4.056535e-04 -3.776033e-05 3.658247e-05
 8889.000000 -3.216434e-05 -4.240309e-07 -2.851077e-07 -3.106920e-07 2.570579e-05 -4.210787e-04 -3.625800e-05 4.079851e-05
 8894.000000 -3.228096e-05 -4.287683e-07 -2.883087e-07 -3.123206e-07 3.284926e-05 -4.341067e-04 -3.759768e-05 4.536086e-05
 8899.000000 -3.216137e-05 -4.292254e-07 -2.886206e-07 -3.117148e-07 3.706577e-05 -4.149612e-04 -3.047199e-05 4.399424e-05
 8904.000000 -3.218560e-05 -4.287844e-07 -2.885885e-07 -3.123138e-07 4.076807e-05 -4.231178e-04 -3.576975e-05 3.462962e-05
 8909.000000 -3.198429e-05 -4.297877e-07 -2.892385e-07 -3.109835e-07 3.467714e-05 -4.158825e-04 -3.571216e-05 3.877776e-05
 8914.000000 -3.181681e-05 -4.281500e-07 -2.883879e-07 -3.098982e-07 4.206878e-05 -3.961480e-04 -4.415529e-05 3.459376e-05
 8919.000000 -3.174296e-05 -4.289562e-07 -2.891554e-07 -3.102036e-07 4.524169e-05 -3.845081e-04 -4.015017e-05 3.675326e-05
 8924.000000 -3.155601e-05 -4.289638e-07 -2.892283e-07 -3.097594e-07 3.530618e-05 -3.670026e-04 -3.354241e-05 4.146948e-05
 8929.000000 -3.146197e-05 -4.330890e-07 -2.917130e-07 -3.105734e-07 4.120735e-05 -3.579732e-04 -3.328092e-05 2.870103e-05
 8934.000000 -3.143906e-05 -4.336027e-07 -2.921148e-07 -3.114714e-07 3.996383e-05 -3.803262e-04 -3.544906e-05 1.852300e-05
 8939.000000 -3.139007e-05 -4.341610e-07 -2.928009e-07 -3.118248e-07 3.696247e-05 -3.912131e-04 -3.726086e-05 1.917082e-05
 8944.000000 -3.124770e-05 -4.347114e-07 -2.931116e-07 -3.113082e-07 3.237458e-05 -4.038042e-04 -4.183244e-05 3.128569e-05
 8949.000000 -3.106196e-05 -4.341139e-07 -2.923446e-07 -3.105833e-07 3.383601e-05 -3.675752e-04 -4.237668e-05 3.792157e-05
 8953.000000 -3.102338e-05 -4.337715e-07 -2.917266e-07 -3.110226e-07 2.866667e-05 -3.931407e-04 -3.921722e-05 3.731070e-05
 8956.000000 -3.098231e-05 -4.340333e-07 -2.916744e-07 -3.114271e-07 2.969821e-05 -4.179511e-04 -3.927141e-05 4.592899e-05
 8958.000000 -3.092421e-05 -4.339574e-07 -2.912208e-07 -3.113963e-07 3.544992e-05 -4.236530e-04 -3.340861e-05 3.987851e-05
 8959.000000 -3.092730e-05 -4.337631e-07 -2.909830e-07 -3.115107e-07 3.626344e-05 -4.424226e-04 -3.669871e-05 4.675221e-05
 8959.200000 -3.094384e-05 -4.333889e-07 -2.907916e-07 -3.116218e-07 3.511220e-05 -4.485124e-04 -3.527605e-05 4.597742e-05
 8959.400000 -3.086914e-05 -4.340041e-07 -2.913571e-07 -3.108726e-07 3.694608e-05 -4.554024e-04 -4.409016e-05 4.129314e-05
 8959.600000 -3.081702e-05 -4.339592e-07 -2.912703e-07 -3.105669e-07 3.453647e-05 -4.457578e-04 -3.542474e-05 4.137772e-05
