# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.0732879793679
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -349.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.004028
# Detector.I1.voltage: -1649.999512
# Detector.I2.voltage: -1649.999268
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371176
# Scan.uid: 6eceed42-bb6c-4a66-9bd6-10c1b817f99c
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  08:18:45.052830
# Scan.end_time: 06/23/2023  08:19:20.799035
# Scan.name: Cu2O+Ga2O3-2nd PP+O2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-2nd
# Sample.comment: 
# Sample.position.x: -66.442995014
# Sample.position.y: 31.099036574
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 250.17985294262567
# SampleHeater.temperature2.readback: 253.10000000000002
# SampleHeater.voltage.setpoint: 0.5633075224108659
# SampleHeater.voltage.readback: 0.5630000000000001
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 11.07
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.01220703125
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0895182266831398
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01627604104578495
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.01627604104578495
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.01220703125
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0244140625
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.0732421875
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0244140625
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.417522e-05 -4.151887e-07 -2.750308e-07 -3.128367e-07 4.207461e-08 -5.087669e-04 3.262079e-06 -7.058338e-06
 8784.000000 -3.426014e-05 -4.151960e-07 -2.752127e-07 -3.144355e-07 -9.711272e-06 -4.949114e-04 2.949271e-06 1.024291e-06
 8789.000000 -3.420936e-05 -4.158237e-07 -2.757015e-07 -3.148761e-07 -9.422998e-06 -5.071392e-04 -3.766254e-06 -1.102927e-07
 8794.000000 -3.402404e-05 -4.156643e-07 -2.758841e-07 -3.138290e-07 -4.065523e-06 -5.000664e-04 2.806365e-06 -1.059084e-05
 8799.000000 -3.358084e-05 -4.126977e-07 -2.741666e-07 -3.103818e-07 -1.950563e-06 -4.893438e-04 -1.872841e-06 -9.783815e-06
 8804.000000 -3.393005e-05 -4.159248e-07 -2.766730e-07 -3.139460e-07 3.789443e-06 -4.892684e-04 3.513286e-06 -9.146548e-06
 8809.000000 -3.387407e-05 -4.162539e-07 -2.767965e-07 -3.141582e-07 -2.139845e-06 -4.813278e-04 1.014955e-06 -1.445166e-05
 8814.000000 -3.368478e-05 -4.161285e-07 -2.769264e-07 -3.129991e-07 -9.727220e-06 -4.785560e-04 8.466227e-06 -6.232537e-06
 8819.000000 -3.369275e-05 -4.172287e-07 -2.776185e-07 -3.135085e-07 -1.031769e-05 -4.683057e-04 1.692818e-05 3.866909e-07
 8824.000000 -3.368074e-05 -4.171043e-07 -2.779262e-07 -3.140630e-07 -1.731576e-06 -4.911019e-04 1.348734e-05 -6.810050e-06
 8829.000000 -3.349636e-05 -4.191117e-07 -2.795544e-07 -3.133763e-07 6.509606e-06 -4.789472e-04 2.482373e-06 -1.989072e-05
 8834.000000 -3.344399e-05 -4.182790e-07 -2.792565e-07 -3.138910e-07 1.689711e-05 -4.948444e-04 -2.694359e-06 -2.096484e-05
 8839.000000 -3.330628e-05 -4.194581e-07 -2.802824e-07 -3.138208e-07 1.159869e-05 -5.175217e-04 3.816393e-06 -2.251033e-05
 8844.000000 -3.322020e-05 -4.189644e-07 -2.800001e-07 -3.141673e-07 9.130536e-07 -4.980759e-04 2.637252e-06 -1.725184e-05
 8849.000000 -3.316468e-05 -4.184113e-07 -2.796829e-07 -3.149517e-07 4.546896e-06 -4.696725e-04 -3.416781e-06 -2.079686e-05
 8854.000000 -3.307930e-05 -4.186348e-07 -2.800736e-07 -3.152023e-07 1.434303e-05 -4.569796e-04 -2.983867e-06 -2.523737e-05
 8859.000000 -3.296857e-05 -4.191797e-07 -2.805776e-07 -3.153974e-07 1.006376e-05 -4.684240e-04 2.782927e-06 -2.288009e-05
 8864.000000 -3.281684e-05 -4.210897e-07 -2.821779e-07 -3.148712e-07 8.691432e-06 -4.659505e-04 4.680627e-06 -1.326847e-05
 8869.000000 -3.262099e-05 -4.226328e-07 -2.835043e-07 -3.139326e-07 5.249278e-06 -5.002474e-04 1.140240e-05 -1.098929e-05
 8874.000000 -3.251678e-05 -4.233483e-07 -2.839383e-07 -3.133957e-07 5.979957e-06 -4.925584e-04 -9.094055e-07 -7.877614e-06
 8879.000000 -3.235952e-05 -4.245504e-07 -2.850366e-07 -3.130020e-07 1.435811e-06 -4.973261e-04 5.118517e-06 -9.086962e-06
 8884.000000 -3.222422e-05 -4.214571e-07 -2.828431e-07 -3.127591e-07 4.562697e-06 -5.057662e-04 2.917686e-06 -2.086942e-05
 8889.000000 -3.192795e-05 -4.216847e-07 -2.834456e-07 -3.112829e-07 -2.210673e-06 -5.125890e-04 -9.587969e-06 -1.502888e-05
 8894.000000 -3.206152e-05 -4.257512e-07 -2.864109e-07 -3.127332e-07 9.232471e-07 -5.172294e-04 -8.114414e-06 -1.347385e-05
 8899.000000 -3.203211e-05 -4.244103e-07 -2.857075e-07 -3.130031e-07 2.366689e-06 -4.938220e-04 -1.730133e-05 -1.658208e-05
 8904.000000 -3.196521e-05 -4.242256e-07 -2.856659e-07 -3.130557e-07 1.337135e-05 -4.919703e-04 -3.156256e-06 -1.215748e-05
 8909.000000 -3.185345e-05 -4.246189e-07 -2.857999e-07 -3.128071e-07 4.238967e-06 -4.665434e-04 3.260372e-06 -9.255106e-06
 8914.000000 -3.163375e-05 -4.236409e-07 -2.852755e-07 -3.113720e-07 1.008874e-05 -4.698067e-04 7.335616e-06 -1.080304e-05
 8919.000000 -3.151822e-05 -4.252133e-07 -2.865544e-07 -3.111851e-07 1.192851e-05 -4.762530e-04 2.868442e-06 -2.366912e-05
 8924.000000 -3.136188e-05 -4.246776e-07 -2.863728e-07 -3.107035e-07 1.212426e-05 -4.844182e-04 4.433869e-06 -2.429608e-05
 8929.000000 -3.135465e-05 -4.277787e-07 -2.883401e-07 -3.119270e-07 1.471131e-05 -4.924631e-04 -1.567413e-06 -2.222369e-05
 8934.000000 -3.129896e-05 -4.287491e-07 -2.890160e-07 -3.124114e-07 1.512175e-05 -4.946368e-04 3.742671e-06 -2.657076e-05
 8939.000000 -3.116758e-05 -4.297188e-07 -2.897530e-07 -3.122270e-07 2.115588e-05 -5.167857e-04 -3.416791e-06 -3.251069e-05
 8944.000000 -3.105564e-05 -4.292592e-07 -2.892994e-07 -3.122618e-07 2.224835e-05 -4.932400e-04 -5.897360e-06 -3.161969e-05
 8949.000000 -3.091738e-05 -4.273898e-07 -2.878238e-07 -3.119860e-07 1.539494e-05 -4.851386e-04 -2.762272e-05 -2.969426e-05
 8953.000000 -3.087665e-05 -4.267629e-07 -2.870783e-07 -3.123800e-07 1.394889e-05 -4.740039e-04 -2.133883e-05 -2.302672e-05
 8956.000000 -3.078393e-05 -4.271594e-07 -2.870910e-07 -3.123692e-07 1.249844e-05 -4.669022e-04 -2.075957e-05 -2.914021e-05
 8958.000000 -3.068157e-05 -4.276934e-07 -2.872424e-07 -3.118388e-07 3.985821e-06 -4.678685e-04 -3.083087e-05 -3.840113e-05
 8959.000000 -3.058982e-05 -4.293183e-07 -2.881009e-07 -3.110628e-07 1.663892e-06 -4.744031e-04 -2.821236e-05 -4.164024e-05
 8959.200000 -3.057637e-05 -4.291853e-07 -2.877995e-07 -3.109808e-07 5.130288e-06 -4.832888e-04 -1.913476e-05 -3.728098e-05
 8959.400000 -3.057220e-05 -4.277239e-07 -2.866216e-07 -3.110324e-07 3.332938e-06 -4.783264e-04 -1.644719e-05 -4.021995e-05
