# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.16120845310286
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.002197
# Detector.I1.voltage: -1650.001587
# Detector.I2.voltage: -1650.002441
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371180
# Scan.uid: d9705fb9-b989-4af8-9d0a-aae1a02a9b82
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  08:22:49.530329
# Scan.end_time: 06/23/2023  08:23:22.185171
# Scan.name: Cu2O+Ga2O3-2nd PP+O2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-2nd
# Sample.comment: 
# Sample.position.x: -66.442995014
# Sample.position.y: 31.098998426999998
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 270.53488983710605
# SampleHeater.temperature2.readback: 270.40000000000003
# SampleHeater.voltage.setpoint: 0.6707724750571008
# SampleHeater.voltage.readback: 0.671
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.9
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0895182266831398
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.01220703125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0244140625
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.0732421875
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0244140625
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.371607e-05 -4.092123e-07 -2.710846e-07 -3.094555e-07 3.065698e-06 -4.591525e-04 -2.207346e-05 2.589840e-05
 8784.000000 -3.368675e-05 -4.126828e-07 -2.734210e-07 -3.099350e-07 -9.631710e-07 -4.063898e-04 -1.965906e-05 3.572999e-05
 8789.000000 -3.377226e-05 -4.098348e-07 -2.715945e-07 -3.112771e-07 6.564682e-06 -3.731005e-04 -2.015509e-05 3.735055e-05
 8794.000000 -3.370902e-05 -4.072530e-07 -2.702152e-07 -3.112844e-07 -1.759458e-06 -3.776475e-04 -1.956043e-05 3.630273e-05
 8799.000000 -3.326119e-05 -4.050878e-07 -2.689934e-07 -3.080965e-07 -4.239359e-06 -4.015300e-04 -2.916342e-05 2.832259e-05
 8804.000000 -3.356314e-05 -4.099764e-07 -2.723718e-07 -3.113074e-07 -1.701775e-06 -3.961786e-04 -2.464541e-05 2.744460e-05
 8809.000000 -3.351985e-05 -4.092034e-07 -2.720169e-07 -3.116253e-07 -4.840133e-06 -4.164118e-04 -2.992329e-05 2.002602e-05
 8814.000000 -3.332955e-05 -4.080791e-07 -2.714682e-07 -3.103275e-07 -4.319346e-06 -4.237539e-04 -2.935092e-05 1.897572e-05
 8819.000000 -3.331998e-05 -4.097517e-07 -2.727963e-07 -3.107186e-07 -7.849077e-06 -4.120362e-04 -2.299795e-05 2.146128e-05
 8824.000000 -3.327127e-05 -4.104785e-07 -2.736808e-07 -3.110558e-07 -1.235967e-05 -4.081405e-04 -1.545888e-05 2.481394e-05
 8829.000000 -3.312239e-05 -4.129933e-07 -2.755569e-07 -3.107645e-07 -5.052422e-06 -4.252864e-04 -9.297194e-06 2.518139e-05
 8834.000000 -3.295019e-05 -4.154003e-07 -2.772512e-07 -3.099141e-07 -4.138595e-06 -4.048729e-04 -1.210268e-05 2.970204e-05
 8839.000000 -3.292424e-05 -4.140645e-07 -2.765500e-07 -3.108076e-07 -5.583038e-06 -4.024490e-04 -1.526533e-05 2.465220e-05
 8844.000000 -3.289348e-05 -4.124647e-07 -2.754199e-07 -3.118266e-07 -1.067365e-05 -4.138053e-04 -1.906400e-05 2.892853e-05
 8849.000000 -3.281409e-05 -4.122341e-07 -2.757694e-07 -3.123037e-07 5.678209e-06 -4.288113e-04 -1.864905e-05 2.605611e-05
 8854.000000 -3.269408e-05 -4.119882e-07 -2.759023e-07 -3.126182e-07 2.050395e-06 -4.380177e-04 -2.405252e-05 1.935495e-05
 8859.000000 -3.259982e-05 -4.126236e-07 -2.763636e-07 -3.128114e-07 1.003826e-05 -4.168387e-04 -2.656655e-05 2.601521e-05
 8864.000000 -3.251587e-05 -4.133795e-07 -2.771996e-07 -3.130181e-07 2.205360e-05 -3.909614e-04 -1.963317e-05 2.732963e-05
 8869.000000 -3.243220e-05 -4.137757e-07 -2.775712e-07 -3.132690e-07 1.682478e-05 -4.087585e-04 -2.243565e-05 2.384227e-05
 8874.000000 -3.233074e-05 -4.144463e-07 -2.780698e-07 -3.130049e-07 2.132226e-05 -4.386104e-04 -2.814256e-05 2.561796e-05
 8879.000000 -3.221766e-05 -4.150014e-07 -2.783872e-07 -3.127329e-07 1.166012e-05 -4.596451e-04 -2.580944e-05 1.870123e-05
 8884.000000 -3.193803e-05 -4.145809e-07 -2.787110e-07 -3.112996e-07 1.270398e-05 -4.832413e-04 -1.203655e-05 2.152177e-05
 8889.000000 -3.168580e-05 -4.141821e-07 -2.783939e-07 -3.104039e-07 2.016800e-06 -4.778521e-04 -9.217483e-06 2.971154e-05
 8894.000000 -3.184409e-05 -4.176557e-07 -2.810282e-07 -3.120030e-07 -2.551390e-06 -4.896967e-04 -1.864917e-05 3.305666e-05
 8899.000000 -3.179562e-05 -4.167300e-07 -2.800963e-07 -3.120844e-07 -6.166416e-06 -5.075132e-04 -2.012713e-05 2.613134e-05
 8904.000000 -3.165888e-05 -4.174292e-07 -2.809151e-07 -3.112080e-07 9.904434e-06 -5.011393e-04 -2.799235e-05 2.474571e-05
 8909.000000 -3.151204e-05 -4.185740e-07 -2.816337e-07 -3.103183e-07 4.724929e-06 -5.038467e-04 -2.019696e-05 1.939581e-05
 8914.000000 -3.130584e-05 -4.161493e-07 -2.803636e-07 -3.090341e-07 1.839593e-06 -4.827553e-04 -1.660339e-05 2.423916e-05
 8919.000000 -3.123484e-05 -4.164809e-07 -2.807556e-07 -3.093671e-07 -2.681721e-06 -4.733955e-04 -1.190341e-05 3.008022e-05
 8924.000000 -3.104026e-05 -4.166738e-07 -2.808459e-07 -3.090335e-07 -1.910036e-06 -4.842842e-04 -2.090651e-05 2.872098e-05
 8929.000000 -3.109581e-05 -4.180604e-07 -2.816730e-07 -3.106503e-07 5.865522e-06 -4.956051e-04 -1.975533e-05 2.695138e-05
 8934.000000 -3.100606e-05 -4.196942e-07 -2.830583e-07 -3.104808e-07 6.006690e-06 -4.952586e-04 -1.782968e-05 2.650370e-05
 8939.000000 -3.083455e-05 -4.218408e-07 -2.844148e-07 -3.098846e-07 4.435970e-06 -5.182587e-04 -2.063812e-05 3.902901e-05
 8944.000000 -3.075578e-05 -4.222159e-07 -2.845572e-07 -3.103396e-07 6.248214e-06 -5.049745e-04 -9.993231e-06 4.372553e-05
 8949.000000 -3.060997e-05 -4.238538e-07 -2.853937e-07 -3.100606e-07 1.753144e-06 -5.247763e-04 -1.711470e-05 4.252262e-05
 8953.000000 -3.054366e-05 -4.240981e-07 -2.854014e-07 -3.106810e-07 3.731536e-07 -5.698454e-04 -2.667354e-05 4.068129e-05
 8956.000000 -3.045456e-05 -4.247288e-07 -2.855933e-07 -3.105790e-07 1.500414e-06 -5.685403e-04 -1.893703e-05 4.790246e-05
 8958.000000 -3.029175e-05 -4.270285e-07 -2.867791e-07 -3.096596e-07 3.964864e-06 -5.739220e-04 -1.714201e-05 4.219313e-05
 8959.000000 -3.021706e-05 -4.283891e-07 -2.872914e-07 -3.090475e-07 3.475251e-06 -5.539827e-04 -1.765218e-05 3.937455e-05
 8959.200000 -3.022430e-05 -4.280298e-07 -2.872294e-07 -3.090677e-07 1.081420e-05 -5.380908e-04 -2.055562e-05 3.228983e-05
 8959.400000 -3.023949e-05 -4.281450e-07 -2.873815e-07 -3.092123e-07 1.694762e-05 -5.429645e-04 -2.948172e-05 3.085489e-05
