# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.96587675181604
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.998535
# Detector.I1.voltage: -1649.999512
# Detector.I2.voltage: -1649.999023
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371186
# Scan.uid: 46518fec-cc9b-40f7-99a7-2841353f852d
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  08:28:41.066322
# Scan.end_time: 06/23/2023  08:29:16.146383
# Scan.name: Cu2O+Ga2O3-2nd PP+O2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-2nd
# Sample.comment: 
# Sample.position.x: -66.442995014
# Sample.position.y: 31.099036574
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 299.8516754110654
# SampleHeater.temperature2.readback: 301.7
# SampleHeater.voltage.setpoint: 0.6753007591547208
# SampleHeater.voltage.readback: 0.681
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.75
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02848307229578495
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0732421875
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.08544921875
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0895182266831398
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01627604104578495
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.048828125
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.01220703125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0244140625
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0244140625
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.389340e-05 -4.254235e-07 -2.817657e-07 -3.104000e-07 1.158691e-05 -6.691515e-04 -4.426789e-05 5.861488e-05
 8784.000000 -3.383765e-05 -4.298392e-07 -2.849901e-07 -3.105300e-07 1.322621e-05 -6.593473e-04 -5.080333e-05 5.537448e-05
 8789.000000 -3.391369e-05 -4.276947e-07 -2.837058e-07 -3.120857e-07 1.011065e-05 -6.625910e-04 -5.980379e-05 4.429304e-05
 8794.000000 -3.385051e-05 -4.234431e-07 -2.809909e-07 -3.126058e-07 2.000621e-05 -6.529940e-04 -5.409291e-05 4.181333e-05
 8799.000000 -3.347288e-05 -4.184962e-07 -2.779987e-07 -3.094911e-07 1.524329e-05 -6.422428e-04 -5.426279e-05 5.127016e-05
 8804.000000 -3.378949e-05 -4.223156e-07 -2.808910e-07 -3.127903e-07 9.529845e-06 -6.461836e-04 -4.864174e-05 4.823267e-05
 8809.000000 -3.366400e-05 -4.246780e-07 -2.825975e-07 -3.122502e-07 1.157555e-05 -6.584274e-04 -6.041999e-05 4.341248e-05
 8814.000000 -3.342469e-05 -4.255751e-07 -2.831708e-07 -3.107957e-07 9.818663e-06 -6.458564e-04 -4.969302e-05 4.384620e-05
 8819.000000 -3.348629e-05 -4.262191e-07 -2.838208e-07 -3.121133e-07 1.346772e-05 -6.471950e-04 -4.656208e-05 4.933730e-05
 8824.000000 -3.340750e-05 -4.278140e-07 -2.848529e-07 -3.121462e-07 7.312456e-06 -6.526426e-04 -5.599879e-05 4.657731e-05
 8829.000000 -3.340894e-05 -4.260092e-07 -2.840184e-07 -3.129849e-07 1.637088e-05 -6.716262e-04 -5.766761e-05 4.494896e-05
 8834.000000 -3.333492e-05 -4.250180e-07 -2.836264e-07 -3.135408e-07 1.846509e-05 -6.702101e-04 -4.977610e-05 4.922050e-05
 8839.000000 -3.314377e-05 -4.271847e-07 -2.852615e-07 -3.127392e-07 2.277742e-05 -6.595284e-04 -4.820932e-05 5.411051e-05
 8844.000000 -3.302309e-05 -4.278597e-07 -2.859378e-07 -3.128925e-07 1.841952e-05 -6.362173e-04 -4.913825e-05 6.428201e-05
 8849.000000 -3.297687e-05 -4.264481e-07 -2.849255e-07 -3.137405e-07 9.436872e-06 -6.429272e-04 -5.056505e-05 6.540233e-05
 8854.000000 -3.274506e-05 -4.294359e-07 -2.872885e-07 -3.128850e-07 6.427260e-06 -6.817631e-04 -6.012812e-05 5.470630e-05
 8859.000000 -3.264158e-05 -4.299978e-07 -2.879712e-07 -3.128126e-07 1.294008e-05 -6.936216e-04 -5.421126e-05 5.742733e-05
 8864.000000 -3.259692e-05 -4.297345e-07 -2.880549e-07 -3.134822e-07 1.685693e-05 -7.159859e-04 -4.340066e-05 5.628493e-05
 8869.000000 -3.250018e-05 -4.300034e-07 -2.886189e-07 -3.132365e-07 1.221812e-05 -7.158884e-04 -5.305347e-05 4.832906e-05
 8874.000000 -3.239260e-05 -4.308221e-07 -2.892508e-07 -3.134621e-07 1.175448e-05 -7.100138e-04 -5.338778e-05 5.566286e-05
 8879.000000 -3.221699e-05 -4.329983e-07 -2.907649e-07 -3.127678e-07 1.072885e-05 -7.302833e-04 -5.052287e-05 5.534155e-05
 8884.000000 -3.196362e-05 -4.317495e-07 -2.899050e-07 -3.114762e-07 1.146823e-05 -7.086995e-04 -5.198440e-05 4.911756e-05
 8889.000000 -3.181958e-05 -4.289157e-07 -2.882380e-07 -3.108964e-07 1.151653e-05 -7.161294e-04 -4.774703e-05 4.663230e-05
 8894.000000 -3.202588e-05 -4.315646e-07 -2.902586e-07 -3.133095e-07 7.251202e-06 -7.249372e-04 -4.778395e-05 3.704303e-05
 8899.000000 -3.192819e-05 -4.319105e-07 -2.905601e-07 -3.129573e-07 7.115972e-06 -7.156036e-04 -4.076960e-05 3.992418e-05
 8904.000000 -3.183572e-05 -4.307984e-07 -2.900089e-07 -3.128489e-07 1.037031e-05 -7.174885e-04 -3.857484e-05 4.296284e-05
 8909.000000 -3.172326e-05 -4.307986e-07 -2.899201e-07 -3.122068e-07 5.981831e-07 -6.990582e-04 -2.946451e-05 5.034916e-05
 8914.000000 -3.145716e-05 -4.301352e-07 -2.897730e-07 -3.102148e-07 -2.603777e-06 -6.752947e-04 -2.997864e-05 4.767455e-05
 8919.000000 -3.134878e-05 -4.317039e-07 -2.910027e-07 -3.103620e-07 -2.567224e-07 -6.977938e-04 -3.018153e-05 4.559801e-05
 8924.000000 -3.120684e-05 -4.311514e-07 -2.907071e-07 -3.101005e-07 4.567850e-06 -7.053276e-04 -3.158109e-05 5.062885e-05
 8929.000000 -3.115258e-05 -4.355356e-07 -2.936347e-07 -3.107368e-07 7.439942e-06 -6.852163e-04 -4.276302e-05 4.778823e-05
 8934.000000 -3.110095e-05 -4.351014e-07 -2.934137e-07 -3.113048e-07 5.804641e-06 -6.864315e-04 -4.234629e-05 5.486496e-05
 8939.000000 -3.103911e-05 -4.333251e-07 -2.922012e-07 -3.114843e-07 6.095959e-06 -6.836329e-04 -5.275658e-05 4.948983e-05
 8944.000000 -3.087371e-05 -4.352570e-07 -2.933986e-07 -3.108796e-07 1.085609e-05 -6.930884e-04 -5.358569e-05 4.504672e-05
 8949.000000 -3.078907e-05 -4.330606e-07 -2.916577e-07 -3.109033e-07 1.215970e-05 -7.068927e-04 -4.754766e-05 3.203737e-05
 8953.000000 -3.071193e-05 -4.332665e-07 -2.916298e-07 -3.113161e-07 1.075349e-05 -7.089687e-04 -3.969109e-05 3.697640e-05
 8956.000000 -3.063464e-05 -4.345888e-07 -2.922199e-07 -3.116005e-07 7.987771e-07 -6.981167e-04 -3.124793e-05 4.491928e-05
 8958.000000 -3.054525e-05 -4.365182e-07 -2.932015e-07 -3.114470e-07 -3.203677e-06 -6.852709e-04 -2.621683e-05 4.065379e-05
 8959.000000 -3.050134e-05 -4.373174e-07 -2.933726e-07 -3.111705e-07 5.780265e-06 -6.984756e-04 -2.792081e-05 4.497717e-05
 8959.200000 -3.035159e-05 -4.410304e-07 -2.959874e-07 -3.096679e-07 8.483301e-06 -7.066181e-04 -3.049906e-05 4.550696e-05
 8959.400000 -3.039441e-05 -4.403268e-07 -2.955456e-07 -3.101149e-07 1.368741e-05 -6.925001e-04 -3.093684e-05 5.304986e-05
