# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.6754673179731
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.001099
# Detector.I1.voltage: -1650.000977
# Detector.I2.voltage: -1650.001221
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371138
# Scan.uid: c66808fe-3a06-4e6d-a22e-f94f0ef8369c
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  07:40:46.068434
# Scan.end_time: 06/23/2023  07:41:18.805844
# Scan.name: Cu2O+Ga2O3-2nd PP+O2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-2nd
# Sample.comment: 
# Sample.position.x: -66.442995014
# Sample.position.y: 31.09896028
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 40.04938692831779
# SampleHeater.temperature2.readback: 34.7
# SampleHeater.voltage.setpoint: 0.3155841693296873
# SampleHeater.voltage.readback: 0.312
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 15.49
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.10986328125
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0935872420668602
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.01220703125
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.03662109375
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 7.0
# SampleGasHandlingSystem.MFC9.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.06103515625
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.10986328125
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.03662109375
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.460595e-05 -4.170509e-07 -2.763130e-07 -3.129177e-07 9.431662e-06 -3.308356e-04 -3.765531e-05 3.410449e-05
 8784.000000 -3.470019e-05 -4.172570e-07 -2.765802e-07 -3.143702e-07 2.569193e-06 -3.466665e-04 -4.422146e-05 4.208554e-05
 8789.000000 -3.468677e-05 -4.168870e-07 -2.764297e-07 -3.150535e-07 5.214173e-06 -3.721338e-04 -4.206858e-05 4.564347e-05
 8794.000000 -3.446908e-05 -4.146709e-07 -2.752904e-07 -3.140980e-07 1.298086e-05 -3.552261e-04 -4.003057e-05 4.585710e-05
 8799.000000 -3.404644e-05 -4.097902e-07 -2.721114e-07 -3.112544e-07 1.879667e-05 -3.581799e-04 -3.131131e-05 4.331032e-05
 8804.000000 -3.432105e-05 -4.144660e-07 -2.753857e-07 -3.142329e-07 1.156763e-05 -3.400342e-04 -2.727415e-05 4.874458e-05
 8809.000000 -3.427870e-05 -4.147186e-07 -2.759061e-07 -3.141262e-07 1.435848e-05 -3.382893e-04 -1.959824e-05 4.704802e-05
 8814.000000 -3.410585e-05 -4.136796e-07 -2.753532e-07 -3.130623e-07 1.193062e-05 -3.576749e-04 -3.082613e-05 4.754500e-05
 8819.000000 -3.407646e-05 -4.150577e-07 -2.762581e-07 -3.133804e-07 1.666121e-05 -3.722390e-04 -3.680542e-05 4.914871e-05
 8824.000000 -3.394937e-05 -4.160460e-07 -2.774901e-07 -3.129969e-07 2.472889e-05 -3.871544e-04 -3.196266e-05 5.602490e-05
 8829.000000 -3.377031e-05 -4.175510e-07 -2.785014e-07 -3.126577e-07 2.288314e-05 -3.627033e-04 -2.991642e-05 5.783150e-05
 8834.000000 -3.378582e-05 -4.162775e-07 -2.778747e-07 -3.136706e-07 1.945580e-05 -3.790534e-04 -3.289155e-05 5.414843e-05
 8839.000000 -3.362192e-05 -4.169523e-07 -2.786162e-07 -3.130536e-07 1.933580e-05 -3.571808e-04 -4.204110e-05 6.007525e-05
 8844.000000 -3.359211e-05 -4.172502e-07 -2.791293e-07 -3.139224e-07 1.603522e-05 -3.691288e-04 -4.716028e-05 5.754110e-05
 8849.000000 -3.354656e-05 -4.173633e-07 -2.792603e-07 -3.147572e-07 1.940305e-05 -3.938564e-04 -4.866173e-05 5.639886e-05
 8854.000000 -3.342163e-05 -4.174690e-07 -2.792403e-07 -3.149027e-07 2.106474e-05 -3.770937e-04 -5.020747e-05 5.991760e-05
 8859.000000 -3.336082e-05 -4.182587e-07 -2.797257e-07 -3.157409e-07 2.209367e-05 -3.854717e-04 -5.234523e-05 5.590804e-05
 8864.000000 -3.326636e-05 -4.187463e-07 -2.804427e-07 -3.157303e-07 1.664154e-05 -3.797689e-04 -5.376032e-05 5.259139e-05
 8869.000000 -3.316329e-05 -4.200740e-07 -2.817927e-07 -3.154010e-07 1.495828e-05 -3.740737e-04 -4.526620e-05 5.307756e-05
 8874.000000 -3.303829e-05 -4.209639e-07 -2.824532e-07 -3.150233e-07 1.683862e-05 -3.744907e-04 -3.924129e-05 5.817574e-05
 8879.000000 -3.288091e-05 -4.213948e-07 -2.828702e-07 -3.146164e-07 1.812864e-05 -3.435209e-04 -5.269559e-05 4.552584e-05
 8884.000000 -3.258384e-05 -4.199374e-07 -2.822167e-07 -3.130306e-07 2.298597e-05 -3.358922e-04 -5.607552e-05 4.145699e-05
 8889.000000 -3.239438e-05 -4.189487e-07 -2.818770e-07 -3.126865e-07 2.411452e-05 -3.402419e-04 -5.372496e-05 4.309596e-05
 8894.000000 -3.258416e-05 -4.226346e-07 -2.841337e-07 -3.151000e-07 2.111173e-05 -3.439438e-04 -5.026712e-05 5.021890e-05
 8899.000000 -3.249858e-05 -4.226433e-07 -2.841428e-07 -3.146193e-07 2.658870e-05 -3.610613e-04 -4.147298e-05 4.878481e-05
 8904.000000 -3.233964e-05 -4.233256e-07 -2.848377e-07 -3.135387e-07 2.892028e-05 -3.720224e-04 -3.068620e-05 4.448945e-05
 8909.000000 -3.223825e-05 -4.240843e-07 -2.855017e-07 -3.131369e-07 1.574938e-05 -3.763349e-04 -3.235451e-05 4.090823e-05
 8914.000000 -3.199016e-05 -4.232211e-07 -2.849000e-07 -3.111837e-07 1.785592e-05 -3.631564e-04 -3.820039e-05 5.131481e-05
 8919.000000 -3.185308e-05 -4.239722e-07 -2.857329e-07 -3.109151e-07 1.881413e-05 -3.835270e-04 -3.996717e-05 5.807768e-05
 8924.000000 -3.167911e-05 -4.241118e-07 -2.860743e-07 -3.104252e-07 2.287126e-05 -3.911462e-04 -3.988365e-05 6.510932e-05
 8929.000000 -3.159770e-05 -4.263316e-07 -2.874533e-07 -3.112789e-07 2.519862e-05 -3.671065e-04 -5.051312e-05 6.637543e-05
 8934.000000 -3.157075e-05 -4.266268e-07 -2.875298e-07 -3.124231e-07 2.982803e-05 -3.475823e-04 -5.015614e-05 6.005585e-05
 8939.000000 -3.145309e-05 -4.277483e-07 -2.882563e-07 -3.122171e-07 3.058811e-05 -3.544398e-04 -4.307878e-05 5.857297e-05
 8944.000000 -3.135477e-05 -4.282137e-07 -2.885314e-07 -3.120017e-07 3.007815e-05 -3.577190e-04 -4.338733e-05 5.888730e-05
 8949.000000 -3.123651e-05 -4.278008e-07 -2.881045e-07 -3.115784e-07 1.747839e-05 -3.430072e-04 -3.283427e-05 4.753289e-05
 8953.000000 -3.112234e-05 -4.273714e-07 -2.875480e-07 -3.113838e-07 9.156932e-06 -3.553640e-04 -3.586243e-05 4.537224e-05
 8956.000000 -3.110519e-05 -4.277108e-07 -2.873470e-07 -3.120222e-07 1.252807e-05 -3.646512e-04 -3.889366e-05 4.795847e-05
 8958.000000 -3.105747e-05 -4.280319e-07 -2.873941e-07 -3.122208e-07 9.721225e-06 -3.686741e-04 -4.341977e-05 5.563274e-05
 8959.000000 -3.099242e-05 -4.279727e-07 -2.869457e-07 -3.118630e-07 1.035089e-05 -3.687879e-04 -5.222355e-05 5.097552e-05
 8959.200000 -3.102260e-05 -4.277671e-07 -2.866893e-07 -3.122717e-07 1.891872e-05 -3.925292e-04 -4.554638e-05 6.022482e-05
 8959.400000 -3.101540e-05 -4.289283e-07 -2.875215e-07 -3.122293e-07 1.501152e-05 -3.842094e-04 -5.339223e-05 6.461650e-05
