# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.40856398236565
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -350.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.012207
# Detector.I1.voltage: -1650.002197
# Detector.I2.voltage: -1650.001465
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371141
# Scan.uid: d672b1e4-af6a-4fda-9e11-d24a095f2224
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  07:43:44.093066
# Scan.end_time: 06/23/2023  07:44:20.677657
# Scan.name: Cu2O+Ga2O3-2nd PP+O2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-2nd
# Sample.comment: 
# Sample.position.x: -66.442995014
# Sample.position.y: 31.0990556475
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 69.57325800603574
# SampleHeater.temperature2.readback: 69.10000000000001
# SampleHeater.voltage.setpoint: 0.31691948764723754
# SampleHeater.voltage.readback: 0.321
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 19.18
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.1057942733168602
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0895182266831398
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.01220703125
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 7.0
# SampleGasHandlingSystem.MFC9.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0935872420668602
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.048828125
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.03662109375
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.958085e-05 -7.989738e-07 -2.485435e-07 -9.246016e-07 1.742829e-05 -5.343287e-04 -1.995375e-05 3.274254e-05
10172.000000 -2.943192e-05 -7.956409e-07 -2.463486e-07 -9.217810e-07 1.605930e-05 -5.559422e-04 -9.759037e-06 3.259643e-05
10177.000000 -2.922945e-05 -7.983922e-07 -2.447472e-07 -9.161818e-07 2.355058e-05 -5.635434e-04 -1.100223e-05 3.205355e-05
10182.000000 -2.932959e-05 -7.931750e-07 -2.390745e-07 -9.241881e-07 2.464583e-05 -5.659103e-04 -1.118248e-05 4.617220e-05
10187.000000 -2.925007e-05 -7.962525e-07 -2.322424e-07 -9.245572e-07 2.957745e-05 -5.442442e-04 -1.432629e-05 4.480001e-05
10192.000000 -2.924306e-05 -8.015113e-07 -2.144171e-07 -9.257077e-07 2.511158e-05 -5.497279e-04 -1.480352e-05 4.267018e-05
10197.000000 -2.928711e-05 -8.024765e-07 -1.601770e-07 -9.295584e-07 2.625311e-05 -5.593068e-04 -1.253306e-05 4.970396e-05
10202.000000 -2.934444e-05 -8.009736e-07 -5.329148e-08 -9.348607e-07 2.692321e-05 -5.643654e-04 -1.759241e-05 5.338154e-05
10207.000000 -2.932204e-05 -8.034517e-07 -2.375927e-08 -9.369676e-07 2.647444e-05 -5.876094e-04 -2.166433e-05 3.960126e-05
10212.000000 -2.930684e-05 -8.052429e-07 -4.731152e-08 -9.392926e-07 1.935979e-05 -5.696288e-04 -1.710549e-05 3.988467e-05
10217.000000 -2.927386e-05 -8.070699e-07 -6.068631e-08 -9.410055e-07 2.283534e-05 -5.461972e-04 -1.283813e-05 4.626121e-05
10222.000000 -2.924053e-05 -8.094380e-07 -7.080090e-08 -9.424956e-07 2.431181e-05 -5.533304e-04 -1.144813e-05 4.700550e-05
10227.000000 -2.921069e-05 -8.103830e-07 -7.721439e-08 -9.439925e-07 1.917428e-05 -5.480191e-04 -1.178048e-05 4.357902e-05
10232.000000 -2.910488e-05 -8.136300e-07 -8.028415e-08 -9.425525e-07 2.163073e-05 -5.773482e-04 -1.856027e-05 4.017194e-05
10237.000000 -2.899183e-05 -8.202151e-07 -8.279101e-08 -9.403243e-07 1.910313e-05 -5.733567e-04 -2.035881e-05 4.487572e-05
10242.000000 -2.902914e-05 -8.207199e-07 -8.382369e-08 -9.450126e-07 1.123859e-05 -5.572954e-04 -1.446256e-05 4.407441e-05
10247.000000 -2.898333e-05 -8.217096e-07 -8.709760e-08 -9.467285e-07 2.223517e-05 -5.571123e-04 -1.376392e-05 4.957959e-05
10252.000000 -2.885399e-05 -8.273990e-07 -8.700940e-08 -9.441428e-07 2.170586e-05 -5.679758e-04 -8.978686e-06 5.282668e-05
10257.000000 -2.894133e-05 -8.264401e-07 -8.362010e-08 -9.517256e-07 9.684195e-06 -5.788294e-04 -3.431058e-05 4.655958e-05
10262.000000 -2.884477e-05 -8.275999e-07 -8.301755e-08 -9.517376e-07 1.784387e-05 -5.835894e-04 -4.225785e-05 4.590730e-05
10267.000000 -2.894424e-05 -8.296913e-07 -8.482089e-08 -9.580130e-07 2.314069e-05 -5.552942e-04 -3.377959e-05 3.755834e-05
10272.000000 -2.891156e-05 -8.326912e-07 -8.601718e-08 -9.592257e-07 2.335824e-05 -5.373355e-04 -3.677145e-05 4.536418e-05
10277.000000 -2.882194e-05 -8.352722e-07 -8.545094e-08 -9.599891e-07 2.185969e-05 -5.625971e-04 -3.967162e-05 4.652192e-05
10282.000000 -2.870699e-05 -8.352050e-07 -8.403525e-08 -9.580258e-07 1.932552e-05 -5.496038e-04 -3.141296e-05 5.500071e-05
10287.000000 -2.876772e-05 -8.400924e-07 -8.508356e-08 -9.623014e-07 1.853554e-05 -5.538187e-04 -3.413377e-05 5.222210e-05
10292.000000 -2.873723e-05 -8.424786e-07 -8.771283e-08 -9.632045e-07 2.079888e-05 -5.476920e-04 -4.563080e-05 4.804920e-05
10297.000000 -2.872924e-05 -8.459441e-07 -8.924254e-08 -9.660393e-07 2.259777e-05 -5.380229e-04 -4.175866e-05 4.708032e-05
10302.000000 -2.870726e-05 -8.509242e-07 -8.947351e-08 -9.678277e-07 2.571533e-05 -5.195752e-04 -4.162712e-05 4.491679e-05
10307.000000 -2.867076e-05 -8.537936e-07 -8.958075e-08 -9.694416e-07 1.981499e-05 -5.100708e-04 -3.612246e-05 4.164673e-05
10312.000000 -2.861786e-05 -8.575616e-07 -8.967546e-08 -9.702032e-07 2.206435e-05 -5.044415e-04 -3.530102e-05 4.108660e-05
10317.000000 -2.866228e-05 -8.592650e-07 -8.923623e-08 -9.764739e-07 2.403718e-05 -4.970430e-04 -2.305599e-05 3.819188e-05
10322.000000 -2.863270e-05 -8.638263e-07 -8.886302e-08 -9.787168e-07 2.314552e-05 -5.188403e-04 -3.040801e-05 4.152836e-05
10327.000000 -2.851099e-05 -8.669343e-07 -8.839791e-08 -9.774496e-07 2.100981e-05 -5.337732e-04 -3.162260e-05 4.054169e-05
10332.000000 -2.842812e-05 -8.644329e-07 -8.736879e-08 -9.801577e-07 2.397041e-05 -5.055532e-04 -2.580896e-05 4.291950e-05
10337.000000 -2.849168e-05 -8.667623e-07 -8.744787e-08 -9.866208e-07 1.758756e-05 -4.325614e-04 -1.951605e-05 3.019645e-05
10341.000000 -2.843506e-05 -8.671329e-07 -8.798440e-08 -9.896362e-07 2.354761e-05 -4.223388e-04 -6.440547e-06 2.718988e-05
10344.000000 -2.843197e-05 -8.684821e-07 -8.894892e-08 -9.948689e-07 2.099793e-05 -3.850563e-04 4.941578e-08 3.906351e-05
10346.000000 -2.838351e-05 -8.685744e-07 -8.990605e-08 -9.969869e-07 3.305825e-05 -3.881431e-04 2.677169e-06 4.651655e-05
10347.000000 -2.841761e-05 -8.677081e-07 -9.015738e-08 -1.001262e-06 3.489724e-05 -4.338136e-04 -1.798064e-06 4.706900e-05
10347.200000 -2.841736e-05 -8.675993e-07 -8.993917e-08 -1.001963e-06 3.511013e-05 -4.511000e-04 -8.467691e-06 3.988454e-05
10347.400000 -2.840159e-05 -8.690738e-07 -9.030772e-08 -1.001280e-06 3.191939e-05 -4.268335e-04 -1.787118e-05 4.938926e-05
10347.600000 -2.840387e-05 -8.681053e-07 -9.026391e-08 -1.001884e-06 3.548651e-05 -4.342225e-04 -8.102652e-06 6.505609e-05
