# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.37230262192134
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -349.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.999878
# Detector.I1.voltage: -1650.002441
# Detector.I2.voltage: -1649.999878
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371165
# Scan.uid: f688a556-9c57-4fef-a219-8d38754e7d08
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  08:07:51.536024
# Scan.end_time: 06/23/2023  08:08:24.597940
# Scan.name: Cu2O+Ga2O3-2nd PP+O2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-2nd
# Sample.comment: 
# Sample.position.x: -66.442995014
# Sample.position.y: 31.098998426999998
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 200.0
# SampleHeater.temperature2.readback: 200.3
# SampleHeater.voltage.setpoint: 0.5116347256028211
# SampleHeater.voltage.readback: 0.512
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 12.69
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.08544921875
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.01220703125
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0895182266831398
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01627604104578495
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.01627604104578495
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.01220703125
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0244140625
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.02848307229578495
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.942685e-05 -7.928687e-07 -2.457492e-07 -9.250428e-07 2.325707e-05 -5.570126e-04 -4.329643e-05 2.131462e-06
10172.000000 -2.933064e-05 -7.895631e-07 -2.436832e-07 -9.238438e-07 2.463903e-05 -5.384741e-04 -3.844476e-05 3.911092e-07
10177.000000 -2.927599e-05 -7.880004e-07 -2.410555e-07 -9.240198e-07 2.390918e-05 -5.163962e-04 -3.635963e-05 3.127715e-06
10182.000000 -2.923852e-05 -7.860776e-07 -2.362332e-07 -9.259159e-07 1.590513e-05 -5.036771e-04 -3.596658e-05 -4.779316e-06
10187.000000 -2.922637e-05 -7.881354e-07 -2.286730e-07 -9.285847e-07 2.201651e-05 -4.952223e-04 -3.324230e-05 -6.153537e-06
10192.000000 -2.927115e-05 -7.925790e-07 -2.109763e-07 -9.319921e-07 2.055325e-05 -5.299636e-04 -2.895058e-05 7.273063e-07
10197.000000 -2.925205e-05 -7.969806e-07 -1.580919e-07 -9.332052e-07 2.307824e-05 -5.423154e-04 -2.481564e-05 -4.362203e-08
10202.000000 -2.923611e-05 -7.975067e-07 -5.265465e-08 -9.352440e-07 2.941743e-05 -5.443215e-04 -3.723328e-05 -5.831377e-06
10207.000000 -2.920296e-05 -7.995147e-07 -2.380445e-08 -9.371512e-07 3.012021e-05 -5.422233e-04 -3.931303e-05 1.647663e-06
10212.000000 -2.918573e-05 -8.009549e-07 -4.702759e-08 -9.393659e-07 2.760944e-05 -5.568757e-04 -4.242933e-05 -1.234679e-06
10217.000000 -2.916266e-05 -8.013013e-07 -5.978212e-08 -9.422859e-07 2.882059e-05 -5.616381e-04 -3.073677e-05 -8.538259e-06
10222.000000 -2.906592e-05 -8.044813e-07 -7.022176e-08 -9.410980e-07 2.322223e-05 -5.569432e-04 -3.131110e-05 -5.418608e-06
10227.000000 -2.896946e-05 -8.054091e-07 -7.670126e-08 -9.388115e-07 3.037646e-05 -5.498112e-04 -1.764214e-05 3.461418e-06
10232.000000 -2.886328e-05 -8.095729e-07 -7.934147e-08 -9.371189e-07 3.231003e-05 -5.560583e-04 -2.607319e-05 -9.777850e-06
10237.000000 -2.876422e-05 -8.156852e-07 -8.145864e-08 -9.365454e-07 3.218476e-05 -5.432127e-04 -3.383015e-05 -9.391733e-06
10242.000000 -2.877439e-05 -8.172737e-07 -8.310880e-08 -9.403073e-07 2.836954e-05 -5.306048e-04 -2.838035e-05 -1.226856e-05
10247.000000 -2.888616e-05 -8.123147e-07 -8.576909e-08 -9.485323e-07 2.598517e-05 -5.156071e-04 -4.136932e-05 -1.742387e-05
10252.000000 -2.886430e-05 -8.147258e-07 -8.537622e-08 -9.505619e-07 2.733488e-05 -5.144924e-04 -4.579759e-05 -2.001155e-05
10257.000000 -2.882398e-05 -8.157162e-07 -8.236470e-08 -9.518516e-07 2.118278e-05 -5.121467e-04 -4.056441e-05 -2.348395e-05
10262.000000 -2.871649e-05 -8.171986e-07 -8.211158e-08 -9.504046e-07 2.664186e-05 -5.145849e-04 -3.896116e-05 -1.746546e-05
10267.000000 -2.875695e-05 -8.216716e-07 -8.390337e-08 -9.544565e-07 2.347774e-05 -5.473132e-04 -4.389281e-05 -9.536888e-06
10272.000000 -2.874653e-05 -8.251380e-07 -8.452153e-08 -9.565999e-07 1.693291e-05 -5.517252e-04 -4.588190e-05 -6.975856e-06
10277.000000 -2.866439e-05 -8.285055e-07 -8.450504e-08 -9.561194e-07 3.332684e-05 -5.246108e-04 -5.767479e-05 -1.980910e-05
10282.000000 -2.856857e-05 -8.283580e-07 -8.343967e-08 -9.558050e-07 3.461104e-05 -5.167385e-04 -5.375040e-05 -1.871771e-05
10287.000000 -2.864122e-05 -8.330765e-07 -8.423839e-08 -9.613334e-07 2.360947e-05 -5.285045e-04 -5.613013e-05 -1.628119e-05
10292.000000 -2.855237e-05 -8.378169e-07 -8.668770e-08 -9.607605e-07 2.129009e-05 -5.095169e-04 -4.676053e-05 -9.865141e-06
10297.000000 -2.853244e-05 -8.413063e-07 -8.821180e-08 -9.625761e-07 3.442754e-05 -5.440647e-04 -4.666490e-05 -1.186081e-05
10302.000000 -2.857228e-05 -8.448765e-07 -8.838716e-08 -9.671178e-07 4.014053e-05 -5.356650e-04 -5.155586e-05 -1.211056e-05
10307.000000 -2.856223e-05 -8.476012e-07 -8.854080e-08 -9.697823e-07 2.674956e-05 -5.396648e-04 -4.688234e-05 -1.738061e-05
10312.000000 -2.854747e-05 -8.503649e-07 -8.871082e-08 -9.723150e-07 2.832690e-05 -5.378430e-04 -4.602936e-05 -1.103269e-05
10317.000000 -2.852194e-05 -8.526427e-07 -8.819663e-08 -9.753092e-07 3.241257e-05 -5.352648e-04 -4.860168e-05 -8.655175e-06
10322.000000 -2.849737e-05 -8.548134e-07 -8.777734e-08 -9.786146e-07 2.616468e-05 -5.157806e-04 -4.747625e-05 -6.960922e-06
10327.000000 -2.845338e-05 -8.568690e-07 -8.697276e-08 -9.814518e-07 2.511493e-05 -5.248689e-04 -4.216741e-05 -1.002645e-05
10332.000000 -2.833204e-05 -8.573739e-07 -8.637190e-08 -9.833726e-07 2.519343e-05 -5.368690e-04 -3.514392e-05 -7.894761e-06
10337.000000 -2.841965e-05 -8.624523e-07 -8.668263e-08 -9.917750e-07 2.540788e-05 -5.430714e-04 -3.226258e-05 -1.548569e-06
10341.000000 -2.833377e-05 -8.648750e-07 -8.740828e-08 -9.923205e-07 2.405671e-05 -5.334029e-04 -3.501924e-05 1.094716e-06
10344.000000 -2.832925e-05 -8.663199e-07 -8.846416e-08 -9.961017e-07 3.397502e-05 -5.671486e-04 -4.649676e-05 -1.080828e-05
10346.000000 -2.825762e-05 -8.677453e-07 -8.937482e-08 -9.961352e-07 3.604117e-05 -5.678618e-04 -5.227029e-05 -8.861467e-06
10347.000000 -2.817154e-05 -8.680968e-07 -9.010546e-08 -9.937433e-07 3.652113e-05 -5.696292e-04 -4.457080e-05 -1.565353e-05
10347.200000 -2.820434e-05 -8.692748e-07 -9.046323e-08 -9.955421e-07 3.259408e-05 -5.828938e-04 -4.793720e-05 -5.509187e-06
10347.400000 -2.819706e-05 -8.638541e-07 -8.986466e-08 -9.963451e-07 2.798140e-05 -5.689662e-04 -4.524085e-05 -2.579652e-06
10347.600000 -2.821069e-05 -8.725232e-07 -9.095582e-08 -9.963256e-07 2.020665e-05 -5.641054e-04 -4.325909e-05 -9.958588e-06
