# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.7454818868151
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -349.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.009766
# Detector.I1.voltage: -1650.001709
# Detector.I2.voltage: -1650.001953
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371181
# Scan.uid: a36d68a7-bcb7-40d1-9fe2-4a530e537582
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  08:23:49.554764
# Scan.end_time: 06/23/2023  08:24:21.986388
# Scan.name: Cu2O+Ga2O3-2nd PP+O2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-2nd
# Sample.comment: 
# Sample.position.x: -66.442995014
# Sample.position.y: 31.09896028
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 275.3808536529541
# SampleHeater.temperature2.readback: 278.8
# SampleHeater.voltage.setpoint: 0.6011143866454892
# SampleHeater.voltage.readback: 0.616
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.91
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.08544921875
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0895182266831398
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.048828125
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.01220703125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0244140625
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0244140625
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.962712e-05 -8.077397e-07 -2.505103e-07 -9.350536e-07 1.235520e-05 -4.569742e-04 -3.358027e-05 3.010535e-05
10172.000000 -2.943280e-05 -8.084365e-07 -2.493205e-07 -9.304151e-07 1.243664e-05 -4.225884e-04 -2.376461e-05 3.454358e-05
10177.000000 -2.935808e-05 -8.092601e-07 -2.471559e-07 -9.298442e-07 7.733258e-06 -4.199985e-04 -2.979664e-05 3.426131e-05
10182.000000 -2.924381e-05 -8.108959e-07 -2.438709e-07 -9.275713e-07 1.441705e-05 -4.116455e-04 -2.808544e-05 3.332608e-05
10187.000000 -2.927795e-05 -8.094141e-07 -2.347875e-07 -9.319229e-07 7.977604e-06 -4.175018e-04 -3.369500e-05 3.117695e-05
10192.000000 -2.944559e-05 -8.087136e-07 -2.154707e-07 -9.403673e-07 -4.731667e-06 -4.236458e-04 -4.045148e-05 3.752388e-05
10197.000000 -2.943148e-05 -8.097839e-07 -1.617834e-07 -9.421915e-07 2.498333e-06 -4.018508e-04 -4.598027e-05 4.140475e-05
10202.000000 -2.935335e-05 -8.128884e-07 -5.461425e-08 -9.422383e-07 2.246715e-06 -3.881732e-04 -3.960366e-05 4.502389e-05
10207.000000 -2.925967e-05 -8.169211e-07 -2.374539e-08 -9.416883e-07 8.342325e-06 -4.103621e-04 -3.824974e-05 3.413871e-05
10212.000000 -2.929430e-05 -8.177154e-07 -4.767939e-08 -9.454088e-07 8.274385e-06 -3.750272e-04 -3.456506e-05 4.522190e-05
10217.000000 -2.929599e-05 -8.191799e-07 -6.106009e-08 -9.482827e-07 -9.267220e-07 -3.776181e-04 -3.910915e-05 5.055470e-05
10222.000000 -2.923756e-05 -8.224710e-07 -7.150253e-08 -9.484555e-07 -2.016289e-06 -3.981453e-04 -3.690113e-05 4.631380e-05
10227.000000 -2.921964e-05 -8.219102e-07 -7.805861e-08 -9.496940e-07 -1.431745e-08 -4.096859e-04 -2.592089e-05 5.297064e-05
10232.000000 -2.912703e-05 -8.247458e-07 -8.080241e-08 -9.496159e-07 -1.996673e-06 -4.072111e-04 -3.241258e-05 4.744004e-05
10237.000000 -2.912938e-05 -8.282610e-07 -8.299943e-08 -9.528792e-07 7.746476e-06 -4.013190e-04 -3.440651e-05 4.314905e-05
10242.000000 -2.909516e-05 -8.308604e-07 -8.471893e-08 -9.545805e-07 6.225523e-06 -4.202372e-04 -3.446730e-05 3.394458e-05
10247.000000 -2.902194e-05 -8.317123e-07 -8.818801e-08 -9.547670e-07 1.108438e-05 -3.982496e-04 -2.616732e-05 3.574611e-05
10252.000000 -2.902446e-05 -8.324094e-07 -8.747635e-08 -9.575945e-07 7.355586e-06 -4.148573e-04 -2.645841e-05 3.406303e-05
10257.000000 -2.902546e-05 -8.337487e-07 -8.440964e-08 -9.606348e-07 -1.527072e-06 -4.564746e-04 -3.531246e-05 4.128044e-05
10262.000000 -2.894034e-05 -8.358791e-07 -8.380914e-08 -9.606096e-07 -1.354112e-06 -4.418296e-04 -3.528885e-05 4.143811e-05
10267.000000 -2.892334e-05 -8.429798e-07 -8.581965e-08 -9.621362e-07 4.883923e-06 -4.215735e-04 -3.276918e-05 4.480681e-05
10272.000000 -2.894209e-05 -8.446936e-07 -8.665223e-08 -9.651755e-07 5.679238e-06 -4.111730e-04 -3.728591e-05 4.238135e-05
10277.000000 -2.888103e-05 -8.465234e-07 -8.629361e-08 -9.661300e-07 8.041364e-07 -4.375146e-04 -2.200761e-05 4.071978e-05
10282.000000 -2.871925e-05 -8.480824e-07 -8.523490e-08 -9.630107e-07 1.034766e-07 -4.250872e-04 -2.378165e-05 3.687589e-05
10287.000000 -2.874927e-05 -8.534427e-07 -8.651957e-08 -9.669206e-07 -3.185151e-06 -4.175932e-04 -2.381269e-05 3.339406e-05
10292.000000 -2.872024e-05 -8.548717e-07 -8.896687e-08 -9.690271e-07 2.713750e-06 -4.275736e-04 -2.647328e-05 3.711038e-05
10297.000000 -2.870627e-05 -8.548571e-07 -8.999209e-08 -9.714596e-07 2.076431e-06 -4.618179e-04 -2.583583e-05 4.029349e-05
10302.000000 -2.871049e-05 -8.585019e-07 -9.010176e-08 -9.739239e-07 6.950440e-06 -4.755070e-04 -2.846561e-05 4.737881e-05
10307.000000 -2.864708e-05 -8.599512e-07 -9.015746e-08 -9.746575e-07 4.994939e-06 -4.583863e-04 -2.970233e-05 5.214109e-05
10312.000000 -2.861410e-05 -8.599953e-07 -9.005940e-08 -9.776723e-07 5.312137e-06 -4.641083e-04 -3.164216e-05 4.563796e-05
10317.000000 -2.856326e-05 -8.620403e-07 -8.964311e-08 -9.801092e-07 6.392051e-06 -4.677081e-04 -2.326318e-05 4.160666e-05
10322.000000 -2.854270e-05 -8.649396e-07 -8.902981e-08 -9.839105e-07 9.906883e-06 -4.747194e-04 -2.486637e-05 3.023517e-05
10327.000000 -2.848364e-05 -8.677464e-07 -8.832012e-08 -9.863732e-07 1.184924e-05 -4.770172e-04 -2.506797e-05 2.879253e-05
10332.000000 -2.842772e-05 -8.649321e-07 -8.724521e-08 -9.890214e-07 1.541550e-05 -4.865747e-04 -2.314702e-05 2.677196e-05
10337.000000 -2.849208e-05 -8.694384e-07 -8.753681e-08 -9.945790e-07 1.947724e-05 -4.795879e-04 -2.749491e-05 2.568219e-05
10341.000000 -2.846189e-05 -8.686666e-07 -8.773095e-08 -9.979865e-07 1.297589e-05 -4.623823e-04 -3.070499e-05 3.458649e-05
10344.000000 -2.844508e-05 -8.666576e-07 -8.842553e-08 -1.001448e-06 3.391164e-07 -4.351721e-04 -3.506588e-05 3.556970e-05
10346.000000 -2.844092e-05 -8.671477e-07 -8.933429e-08 -1.004844e-06 4.790165e-06 -4.398847e-04 -2.678795e-05 2.410254e-05
10347.000000 -2.841649e-05 -8.684642e-07 -8.990682e-08 -1.005638e-06 1.618626e-06 -4.719190e-04 -3.130176e-05 3.397504e-05
10347.200000 -2.838389e-05 -8.673856e-07 -8.999921e-08 -1.004567e-06 -4.641281e-06 -4.578329e-04 -4.010265e-05 3.114394e-05
10347.400000 -2.837909e-05 -8.711238e-07 -9.056065e-08 -1.004946e-06 -4.136952e-06 -4.344717e-04 -4.523863e-05 4.326835e-05
10347.600000 -2.837150e-05 -8.680829e-07 -9.019705e-08 -1.004955e-06 2.105182e-06 -4.339057e-04 -4.515668e-05 4.233036e-05
