# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.6886852971599
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -349.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.997681
# Detector.I1.voltage: -1650.000977
# Detector.I2.voltage: -1650.000488
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371137
# Scan.uid: 23d0a460-3be7-4ff3-89e2-bdad22583c7c
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  07:39:48.536003
# Scan.end_time: 06/23/2023  07:40:22.084750
# Scan.name: Cu2O+Ga2O3-2nd PP+O2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-2nd
# Sample.comment: 
# Sample.position.x: -66.442995014
# Sample.position.y: 31.099036574
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 30.04556229533376
# SampleHeater.temperature2.readback: 26.8
# SampleHeater.voltage.setpoint: 0.16579785316450144
# SampleHeater.voltage.readback: 0.162
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 13.23
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.09765625
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.01220703125
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.03662109375
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC9.setpoint: 7.0
# SampleGasHandlingSystem.MFC9.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1057942733168602
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.06103515625
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0732421875
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.03662109375
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.966908e-05 -7.995481e-07 -2.488062e-07 -9.275215e-07 1.162225e-05 -3.328220e-04 -2.886207e-05 3.399558e-05
10172.000000 -2.953164e-05 -7.949537e-07 -2.462809e-07 -9.248194e-07 1.017419e-05 -3.493095e-04 -2.512243e-05 2.603745e-05
10177.000000 -2.944631e-05 -7.952617e-07 -2.438109e-07 -9.239401e-07 1.107908e-05 -3.588999e-04 -1.848738e-05 2.657784e-05
10182.000000 -2.939057e-05 -7.948319e-07 -2.398299e-07 -9.261008e-07 4.368565e-06 -3.492372e-04 -1.909529e-05 3.246585e-05
10187.000000 -2.937660e-05 -7.954654e-07 -2.320438e-07 -9.286833e-07 1.019660e-05 -3.366439e-04 -1.651372e-05 4.040470e-05
10192.000000 -2.937414e-05 -8.009666e-07 -2.144319e-07 -9.295788e-07 6.761274e-06 -3.640076e-04 -1.599655e-05 3.661594e-05
10197.000000 -2.930481e-05 -8.054233e-07 -1.610556e-07 -9.289217e-07 2.431262e-06 -3.424555e-04 -2.335515e-05 3.743449e-05
10202.000000 -2.927888e-05 -8.069664e-07 -5.390104e-08 -9.305841e-07 1.018287e-05 -3.414447e-04 -1.988763e-05 3.410235e-05
10207.000000 -2.928882e-05 -8.075648e-07 -2.401228e-08 -9.338998e-07 1.519806e-05 -3.704277e-04 -2.260313e-05 3.364484e-05
10212.000000 -2.932248e-05 -8.073596e-07 -4.761227e-08 -9.383060e-07 1.301489e-05 -3.833779e-04 -9.832023e-06 3.795346e-05
10217.000000 -2.930271e-05 -8.085365e-07 -6.062697e-08 -9.400883e-07 1.235745e-05 -3.992524e-04 -2.211353e-05 2.943819e-05
10222.000000 -2.926443e-05 -8.109456e-07 -7.080408e-08 -9.418169e-07 1.073158e-05 -3.650699e-04 -2.917729e-05 3.308462e-05
10227.000000 -2.918403e-05 -8.143556e-07 -7.786094e-08 -9.411046e-07 7.526355e-06 -3.740857e-04 -2.837311e-05 3.798754e-05
10232.000000 -2.914407e-05 -8.155318e-07 -8.058614e-08 -9.424237e-07 5.761535e-06 -3.742721e-04 -3.506563e-05 3.910010e-05
10237.000000 -2.914802e-05 -8.173589e-07 -8.256884e-08 -9.455055e-07 1.606415e-05 -3.607014e-04 -4.007319e-05 2.977164e-05
10242.000000 -2.913580e-05 -8.180019e-07 -8.373948e-08 -9.482899e-07 1.168206e-05 -3.377272e-04 -2.917201e-05 3.433208e-05
10247.000000 -2.906294e-05 -8.190444e-07 -8.701388e-08 -9.487590e-07 1.034929e-05 -3.367743e-04 -2.399413e-05 3.461973e-05
10252.000000 -2.903545e-05 -8.227762e-07 -8.666129e-08 -9.502290e-07 1.094429e-05 -3.337422e-04 -2.368365e-05 4.058919e-05
10257.000000 -2.904541e-05 -8.257495e-07 -8.406235e-08 -9.540514e-07 1.105836e-05 -3.299893e-04 -2.542533e-05 4.894435e-05
10262.000000 -2.894879e-05 -8.265600e-07 -8.355294e-08 -9.531095e-07 1.722751e-05 -3.328453e-04 -3.579485e-05 4.001907e-05
10267.000000 -2.898035e-05 -8.324406e-07 -8.543688e-08 -9.571976e-07 2.447900e-05 -3.110255e-04 -3.157979e-05 4.597688e-05
10272.000000 -2.895013e-05 -8.376868e-07 -8.616524e-08 -9.593691e-07 2.190417e-05 -2.933966e-04 -2.928362e-05 4.705237e-05
10277.000000 -2.891484e-05 -8.389840e-07 -8.573936e-08 -9.611320e-07 2.025316e-05 -3.056146e-04 -2.188319e-05 4.843880e-05
10282.000000 -2.879168e-05 -8.393529e-07 -8.458333e-08 -9.594961e-07 1.736422e-05 -2.976269e-04 -2.148092e-05 5.477298e-05
10287.000000 -2.878937e-05 -8.452171e-07 -8.605853e-08 -9.617596e-07 1.821397e-05 -3.258835e-04 -3.010544e-05 5.920847e-05
10292.000000 -2.882592e-05 -8.468996e-07 -8.843511e-08 -9.657785e-07 1.201831e-05 -3.303298e-04 -2.957467e-05 5.367023e-05
10297.000000 -2.876956e-05 -8.501370e-07 -8.983557e-08 -9.661004e-07 1.550376e-06 -3.137363e-04 -2.056361e-05 4.553216e-05
10302.000000 -2.877010e-05 -8.537134e-07 -8.949056e-08 -9.693901e-07 4.515643e-06 -3.196985e-04 -1.762695e-05 4.985584e-05
10307.000000 -2.873699e-05 -8.556454e-07 -8.982319e-08 -9.710164e-07 1.085376e-05 -3.179270e-04 -1.396492e-05 5.285239e-05
10312.000000 -2.866949e-05 -8.588678e-07 -9.026214e-08 -9.715909e-07 8.061743e-06 -3.059076e-04 -1.736386e-05 5.237270e-05
10317.000000 -2.859347e-05 -8.617446e-07 -9.004730e-08 -9.716391e-07 1.409336e-05 -2.882952e-04 -1.374979e-05 4.916087e-05
10322.000000 -2.867308e-05 -8.643316e-07 -8.918748e-08 -9.794569e-07 1.966442e-05 -2.896931e-04 -1.773910e-05 4.830844e-05
10327.000000 -2.860379e-05 -8.676416e-07 -8.887829e-08 -9.804986e-07 1.351819e-05 -2.978946e-04 -2.534691e-05 4.420044e-05
10332.000000 -2.849897e-05 -8.662268e-07 -8.784279e-08 -9.821112e-07 1.911654e-05 -2.954196e-04 -2.329547e-05 4.315837e-05
10337.000000 -2.860202e-05 -8.721143e-07 -8.806663e-08 -9.902469e-07 1.910332e-05 -2.759616e-04 -2.423183e-05 4.264783e-05
10341.000000 -2.856839e-05 -8.737818e-07 -8.878180e-08 -9.939814e-07 9.401654e-06 -2.993932e-04 -2.726524e-05 4.230821e-05
10344.000000 -2.850818e-05 -8.728554e-07 -8.960583e-08 -9.964314e-07 5.859719e-06 -3.045759e-04 -2.215805e-05 4.636668e-05
10346.000000 -2.844899e-05 -8.715004e-07 -9.023186e-08 -9.976501e-07 1.686359e-05 -3.209580e-04 -2.495621e-05 4.851249e-05
10347.000000 -2.848748e-05 -8.712586e-07 -9.076796e-08 -1.002028e-06 1.170038e-05 -3.302237e-04 -2.735778e-05 3.952137e-05
10347.200000 -2.849025e-05 -8.712282e-07 -9.082939e-08 -1.002966e-06 1.249220e-05 -3.419558e-04 -3.273009e-05 3.261774e-05
10347.400000 -2.846453e-05 -8.712064e-07 -9.089513e-08 -1.001896e-06 1.078527e-05 -3.185708e-04 -3.966880e-05 3.881000e-05
10347.600000 -2.843204e-05 -8.709979e-07 -9.096910e-08 -1.000817e-06 4.485258e-06 -2.996836e-04 -4.133820e-05 3.218342e-05
